concept_code	display_name	applicability	current_weight	target_weight	change_status	comparison_group	anchor_code	rationale	exception_reference	source_reference
CUCUMBER	Gurke	APPLICABLE	1.0000	0.7500	CHANGED	FRUIT_VEGETABLES	FRUIT_VEGETABLES	Semantik: Frische Salatgurke mit hohem Wassergehalt und knackiger Textur; Einlege- und fermentierte Gurken sind getrennt. Vergleich: Fruchtgemüse (1.0000) in FRUIT_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.	ISSUE_278_CURRENT_SCOPE_CONTRADICTION	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CULANTRO	Culantro	APPLICABLE	0.2500	0.7500	CHANGED	FRESH_HERBS	BASIL	Semantik: Langblättriges Würzkraut mit gezähntem Rand und kräftigem korianderähnlichem Aroma; roh oder in Suppen und Eintöpfen verwendbar. Botanisch und kulinarisch nicht mit Koriandergrün gleichsetzen. Vergleich: Basilikum (0.7500) in FRESH_HERBS. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CULTURED_DAIRY	gesäuertes Milchprodukt	APPLICABLE	0.4500	1.0000	CHANGED	DAIRY_PRODUCTS	FRESH_DAIRY_PRODUCTS	Semantik: Offene Vorgabe für durch Milchsäurekulturen gesäuerte Milchprodukte; Fettgehalt und Konsistenz bleiben wählbar. Vergleich: frisches Milchprodukt (1.0000) in DAIRY_PRODUCTS. Entscheidungsgrund: Der drawable Oberbegriff lässt konkrete Rohstoff- oder Produktausprägung und Verwendung offen und dient als breiter Familienanker.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CUMBERLAND_SAUSAGE	Cumberland Sausage	APPLICABLE	0.6000	0.5000	CHANGED	SAUSAGE	SAUSAGE	Semantik: Grobe Schweinswurst nach Cumberland-Art mit deutlicher Pfeffer- und Kräuterwürzung. Traditionelle Ringform oder kleinere Würste sind zulässig; generische englische Breakfast Sausage und Bratwurst nicht. Vergleich: Wurst (1.0000) in SAUSAGE. Entscheidungsgrund: Rezeptur, Verarbeitung und typische Textur sind bei diesem benannten Produkt bereits wesentlich festgelegt; die Eigenständigkeit bleibt erhalten, die Familienverdichtung begrenzt aber seine relative Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CUMIN	Kreuzkümmel	APPLICABLE	0.6500	0.7500	CHANGED	SPICES	CUMIN	Semantik: Kreuzkümmelsamen mit warm-erdigem, intensiv würzigem Aroma; nicht echter Kümmel. Vergleich: Kreuzkümmel (0.7500) in SPICES. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CURED_MEAT	gepökeltes oder luftgetrocknetes Fleisch	APPLICABLE	0.4000	1.0000	CHANGED	MEAT	MEAT	Semantik: Offene Familie gepökelter, getrockneter oder vergleichbar gereifter Fleischprodukte; Tierart und Produktform bleiben offen. Vergleich: Fleisch (1.0000) in MEAT. Entscheidungsgrund: Der Oberbegriff lässt Tierart oder Zuschnitt und die spätere Garmethode offen und bildet damit den breiten Referenzpunkt der Fleischfamilie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CURRY_LEAVES	Curryblätter	APPLICABLE	0.3500	0.7500	CHANGED	FRESH_HERBS	BASIL	Semantik: Aromatische Blätter des Currybaums mit zitrisch-röstigem Aroma; frisch oder tiefgekühlt bevorzugt, nicht Currypulver. Vergleich: Basilikum (0.7500) in FRESH_HERBS. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CURRY_POWDER	Currypulver	APPLICABLE	0.5500	0.5000	CHANGED	SPICE_BLENDS	SPICE_BLENDS	Semantik: Zusammengesetzte Gewürzmischung nach Currypulver-Art; Zusammensetzung, Farbe und Schärfe können variieren. Vergleich: Gewürzmischung (1.0000) in SPICE_BLENDS. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CUSTARD	Custard	APPLICABLE	0.4500	0.5000	CHANGED	DAIRY_PRODUCTS	CONDENSED_MILK	Semantik: Verzehrfertige britische Dessertsoße mit glatter, dickflüssiger Konsistenz, typischerweise milchbasiert und mild vanillig. Custard Powder, deutscher Vanillepudding und gewöhnliche dünne Vanillesauce sind nicht gemeint. Vergleich: gezuckerte Kondensmilch (0.5000) in DAIRY_PRODUCTS. Entscheidungsgrund: Die verzehrfertige, vanillige Dessertsoße legt Süße, Konsistenz und Dessertfunktion gemeinsam fest und entspricht damit einer engen süßen Milchzubereitung, nicht einer offenen Milchkomponente.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
CUTTLEFISH	Sepia	APPLICABLE	0.3500	0.7500	CHANGED	MOLLUSCS	MOLLUSCS	Semantik: Sepia beziehungsweise echter Tintenfisch mit festem Fleisch und essbarer Tinte; nicht Kalmar oder Oktopus. Vergleich: Weichtiere (1.0000) in MOLLUSCS. Entscheidungsgrund: Die Art beziehungsweise Tiergruppe ist festgelegt, Zuschnitt, Würzung und mehrere Gartechniken bleiben aber wählbar; das trägt eine eigenständige, gegenüber der offenen Familie leicht verdichtete Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DAIKON	Daikon	APPLICABLE	0.6500	0.7500	CHANGED	RADISH	RADISH	Semantik: Großer milder weißer Rettich ostasiatischer Sorten; roh, gegart oder eingelegt verwendbar. Vergleich: Rettich (0.7500) in RADISH. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DAING	Daing	APPLICABLE	0.2500	0.5000	CHANGED	DRIED_FISH	DRIED_FISH	Semantik: Philippinische Familie getrockneter Fische in typischerweise aufgeschnittener beziehungsweise butterfly-artiger Form; Fischart und Salzgrad können variieren. Kein Synonym für eine bestimmte Fischart. Vergleich: getrockneter Fisch (0.7500) in DRIED_FISH. Entscheidungsgrund: Konservierung und konkrete Produktform prägen Geschmack, Textur oder weitere Verarbeitung bereits vor; innerhalb der Familie bleibt die Zutat eigenständig, aber enger als der unverarbeitete Rohstoff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DAIRY_PRODUCTS	Milchprodukte	NOT_APPLICABLE	1.0000	1.0000	UNCHANGED	STRUCTURE_ONLY	DAIRY_PRODUCTS	Reiner, nicht ziehbarer Strukturknoten mit Kindern, ohne eigene Availability, Novelty oder Rollen. Der historische technische Wert bleibt unverändert und dient ausdrücklich weder als fachlicher Zielwert noch als Anker für drawable Konzepte.	STRUCTURE_ONLY_NOT_APPLICABLE	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DANABLU	Danablu	APPLICABLE	0.4000	0.7500	CHANGED	BLUE_CHEESE	BLUE_CHEESE	Semantik: Dänischer, mit Blauschimmel gereifter Kuhmilchkäse mit geschützter geografischer Angabe; kräftig, pikant und deutlich salzig. Vergleich: Blauschimmelkäse (0.7500) in BLUE_CHEESE. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DANBO	Danbo	APPLICABLE	0.4500	0.7500	CHANGED	CHEESE	CHEESE	Semantik: Dänischer halbfester Kuhmilchkäse mit geschützter geografischer Angabe; je nach Reifegrad mild bis kräftiger, typischerweise leicht säuerlich. Nicht als Gouda-Variante modellieren. Vergleich: Käse (1.0000) in CHEESE. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DARK_CHOCOLATE	Zartbitterschokolade	APPLICABLE	0.5000	0.5000	UNCHANGED	CHOCOLATE	CHOCOLATE	Semantik: Schokolade mit hohem Kakaoanteil und ohne prägende Milchkomponente; Kakaoanteil und Süße bleiben offen. Vergleich: Schokolade (1.0000) in CHOCOLATE. Entscheidungsgrund: Produktform, Aromaprofil oder typische Funktion sind enger vorgegeben als beim Anker; die Zutat bleibt unterscheidbar, wird wegen dieser Bindung innerhalb der Familie aber kompakter gewichtet.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DARK_SOY_SAUCE	dunkle Sojasauce	APPLICABLE	0.5000	0.5000	UNCHANGED	SOY_SAUCE	SOY_SAUCE	Semantik: Dunkle, häufig dickere und leicht süßliche Sojasauce vor allem für Farbe und Tiefe; nicht helle Sojasauce. Vergleich: Sojasauce (0.5000) in SOY_SAUCE. Entscheidungsgrund: Farbe, dickere Textur und häufig zusätzliche Süße sind bereits gewählt; innerhalb der mit 0,50 bewerteten Sojasaucenfamilie entsteht dadurch keine größere Einsatzbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DASHI	Dashi	APPLICABLE	0.4500	0.7500	CHANGED	STOCKS	STOCKS	Semantik: Japanischer klarer Würzfond, typischerweise auf Kombu und/oder Bonitoflocken; Instant- und frisch angesetzte Varianten sind umfasst. Vergleich: Brühe oder Fond (1.0000) in STOCKS. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DATE	Dattel	APPLICABLE	0.6500	0.7500	CHANGED	FRUIT	FRUIT	Semantik: Dattel mit dichtem, karamellig-süßem Fruchtfleisch; frisch oder getrocknet verwendbar. Vergleich: Obst (1.0000) in FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DATE_SYRUP	Dattelsirup	APPLICABLE	0.4500	0.5000	CHANGED	SYRUP	SYRUP	Semantik: Dunkler konzentrierter Sirup aus Datteln mit fruchtig-karamelligem Geschmack; nicht Melasse. Vergleich: Sirup (1.0000) in SYRUP. Entscheidungsgrund: Verarbeitung, Aromaprofil oder fertige Produktfunktion sind bereits deutlich festgelegt; die Zutat ist eigenständig, aber weniger breit integrierbar als der neutrale Familienanker.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DIJON_MUSTARD	Dijon-Senf	APPLICABLE	0.6000	0.5000	CHANGED	MUSTARD	MUSTARD	Semantik: Feiner bis glatter, deutlich scharfer Senf nach Dijon-Art; nicht körniger Senf und nicht zwingend AOP-Herkunft. Vergleich: Senf (0.5000) in MUSTARD. Entscheidungsgrund: Die glatte, deutlich scharfe Dijon-Ausprägung ist enger als der bereits mit 0,50 bewertete Senf-Oberbegriff; ihre Eigenständigkeit rechtfertigt Gleichstand, nicht eine höhere Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DILL	Dill	APPLICABLE	0.6000	0.7500	CHANGED	FRESH_HERBS	BASIL	Semantik: Frische Dillspitzen mit anisartig-grünem Aroma; Stiele können mitverwendet werden, Dillsaat ist nicht gemeint. Vergleich: Basilikum (0.7500) in FRESH_HERBS. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DOENJANG	Doenjang	APPLICABLE	0.4500	0.5000	CHANGED	FERMENTED_SEASONINGS	FERMENTED_SEASONINGS	Semantik: Koreanische fermentierte Sojabohnenpaste mit kräftigem, salzig-erdigem Umami; nicht Miso oder Gochujang. Vergleich: fermentierte Würzzutat (1.0000) in FERMENTED_SEASONINGS. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DOUBANJIANG	Doubanjiang	APPLICABLE	0.4500	0.5000	CHANGED	CHILI_CONDIMENTS	CHILI_CONDIMENTS	Semantik: Chinesische fermentierte Bohnen-Chili-Paste, häufig auf Saubohnenbasis; salzig, scharf und ausgeprägt umamireich. Vergleich: Chilisauce oder -paste (1.0000) in CHILI_CONDIMENTS. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRAGON_FRUIT	Drachenfrucht	APPLICABLE	0.3500	0.7500	CHANGED	TROPICAL_FRUIT	TROPICAL_FRUIT	Semantik: Mild-süße Pitahaya mit saftigem, samenreichem Fruchtfleisch; rote und weiße Sorten sind umfasst. Vergleich: Tropenfrucht (1.0000) in TROPICAL_FRUIT. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_APRICOT	getrocknete Aprikosen	APPLICABLE	0.6000	0.7500	CHANGED	APRICOT	APRICOT	Semantik: Getrocknete Aprikosen mit konzentrierter Süße und zäher Textur; geschwefelte und ungeschwefelte Ware ist möglich. Vergleich: Aprikose (0.7500) in APRICOT. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_CHILI	getrocknete Chili	APPLICABLE	0.5000	1.0000	CHANGED	SPICES	CUMIN	Semantik: Ganze oder grob zerteilte getrocknete Chili mit konzentriertem Aroma; Pulver und feine Flocken sind damit nicht gemeint. Vergleich: Kreuzkümmel (0.7500) in SPICES. Entscheidungsgrund: Die Zeile lässt als drawable Gewürzfamilie konkrete Sorte, Form und Aromenausprägung offen; sie bildet daher den breiten Referenzpunkt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_FISH	getrockneter Fisch	APPLICABLE	0.3500	0.7500	CHANGED	PRESERVED_FISH	PRESERVED_FISH	Semantik: Offene Familie von Fischprodukten, deren wesentliche Konservierung durch Trocknung erfolgt; Salz kann, muss aber nicht beteiligt sein. Nicht bloß geräucherter oder konservierter Fisch ohne maßgebliche Trocknung. Vergleich: konservierter Fisch (1.0000) in PRESERVED_FISH. Entscheidungsgrund: Konservierung und konkrete Produktform prägen Geschmack, Textur oder weitere Verarbeitung bereits vor; innerhalb der Familie bleibt die Zutat eigenständig, aber enger als der unverarbeitete Rohstoff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_FRUIT	Trockenfrüchte	APPLICABLE	0.4500	1.0000	CHANGED	FRUIT	FRUIT	Semantik: Offene Vorgabe für durch Trocknung konzentriertes Obst; Sorte, Stückgröße und eventuelle Süßung bleiben wählbar. Vergleich: Obst (1.0000) in FRUIT. Entscheidungsgrund: Die Zeile ist eine breite drawable Rohstofffamilie und lässt Sorte sowie rohe, gegarte oder weiterverarbeitete Umsetzung offen; sie bleibt deshalb der volle Referenzpunkt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_SHRIMP	getrocknete Garnelen	APPLICABLE	0.4500	0.5000	CHANGED	SHRIMP	SHRIMP	Semantik: Durch Trocknung haltbar gemachte Garnelen, ganz oder grob zerkleinert; sie liefern konzentriertes Umami für Brühen, Füllungen, Toppings und Würzpasten. Nicht Garnelenpulver oder fermentierte Garnelenpaste. Vergleich: Garnelen (0.7500) in SHRIMP. Entscheidungsgrund: Konservierung oder stark festgelegte Produktform begrenzen Textur und Einsatz gegenüber frischer Rohware; die benannte Zutat bleibt dennoch ein eigenständiger Familienfall.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DRIED_WILD_MUSHROOMS	getrocknete Waldpilze	APPLICABLE	0.4500	0.7500	CHANGED	MUSHROOMS	MUSHROOMS	Semantik: Getrocknete aromatische Waldpilze, einzeln oder gemischt; nicht auf eine einzelne Pilzart festgelegt. Vergleich: Pilze (1.0000) in MUSHROOMS. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK	Ente	APPLICABLE	0.6000	0.7500	CHANGED	POULTRY	POULTRY	Semantik: Entenfleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; Haut und Fett können prägende Bestandteile sein. Vergleich: Geflügel (1.0000) in POULTRY. Entscheidungsgrund: Tierart oder Zuschnitt sind konkret, doch Würzung, Kombination und mehrere passende Gartechniken bleiben offen; diese eigenständige Kochbreite trägt die Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK_BREAST	Entenbrust	APPLICABLE	0.7000	0.7500	CHANGED	DUCK	DUCK	Semantik: Entenbrust mit dunklem Fleisch und typischer Fettschicht unter der Haut; mit oder ohne Haut verwendbar. Vergleich: Ente (0.7500) in DUCK. Entscheidungsgrund: Tierart oder Zuschnitt sind konkret, doch Würzung, Kombination und mehrere passende Gartechniken bleiben offen; diese eigenständige Kochbreite trägt die Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK_CONFIT	Entenconfit	APPLICABLE	0.3000	0.7500	CHANGED	DUCK	DUCK	Semantik: Gesalzene Ententeile, typischerweise Keule beziehungsweise vergleichbare Teilstücke, langsam in Entenfett gegart und traditionell darin konserviert. Nicht bloß Entenfleisch oder eine frisch gebratene Entenkeule. Vergleich: Ente (0.7500) in DUCK. Entscheidungsgrund: Tierart oder Zuschnitt sind konkret, doch Würzung, Kombination und mehrere passende Gartechniken bleiben offen; diese eigenständige Kochbreite trägt die Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK_EGG	Entenei	APPLICABLE	0.3000	0.7500	CHANGED	EGGS	EGGS	Semantik: Größeres, fettreicheres Ei der Ente; frisch zu garen, nicht bereits gesalzen oder fermentiert. Vergleich: Eier (1.0000) in EGGS. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK_FAT	Entenfett	APPLICABLE	0.3500	0.7500	CHANGED	COOKING_FATS	COOKING_FATS	Semantik: Ausgelassenes Entenfett mit charakteristischem Geflügelaroma zum Braten, Confieren oder Verfeinern. Vergleich: Kochfett (1.0000) in COOKING_FATS. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUCK_LEG	Entenkeule	APPLICABLE	0.6000	0.7500	CHANGED	DUCK	DUCK	Semantik: Entenkeule mit dunklem, bindegewebsreichem Fleisch; für Braten, Schmoren oder Confieren geeignet. Vergleich: Ente (0.7500) in DUCK. Entscheidungsgrund: Tierart oder Zuschnitt sind konkret, doch Würzung, Kombination und mehrere passende Gartechniken bleiben offen; diese eigenständige Kochbreite trägt die Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DULSE	Dulse	APPLICABLE	0.2500	0.7500	CHANGED	SEAWEED	SEAWEED	Semantik: Essbare rote Meeresalge mit salzigem, leicht rauchig-umamireichem Geschmack; meist getrocknet erhältlich. Vergleich: Algen (1.0000) in SEAWEED. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUMPLING_DOUGH	Dumpling-Teig	APPLICABLE	0.4500	0.7500	CHANGED	DUMPLING_WRAPPERS	DUMPLING_WRAPPERS	Semantik: Ungeschnittener Teig zur Herstellung von Dumpling-Hüllen; Zusammensetzung und Dicke bleiben offen. Vergleich: Teigblatt oder Dumpling-Hülle (1.0000) in DUMPLING_WRAPPERS. Entscheidungsgrund: Getreideart oder Produktform sind benannt, lassen aber süße und herzhafte Anwendungen sowie mehrere Garmethoden zu; diese Breite trägt die eigenständige Zwischenstufe.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
DUMPLING_WRAPPERS	Teigblatt oder Dumpling-Hülle	APPLICABLE	0.3500	1.0000	CHANGED	STARCHES	STARCHES	Semantik: Offene Vorgabe für dünne Teigblätter zum Füllen und Falten; Weizen-, Reis- und andere geeignete Hüllen sind möglich. Vergleich: stärkehaltige Zutat oder Sättigungsbeilage (1.0000) in STARCHES. Entscheidungsgrund: Der drawable Oberbegriff lässt Getreideart oder konkrete Stärkeform und spätere Technik offen und bleibt deshalb der breite Referenzpunkt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
EDAM	Edamer	APPLICABLE	0.7000	0.7500	CHANGED	CHEESE	CHEESE	Semantik: Halbfester Kuhmilchkäse nach Edamer Art; umfasst Edam/Edamer als Produkttyp und ist nicht auf die geschützte Herkunftsbezeichnung Edam Holland beschränkt. Vergleich: Käse (1.0000) in CHEESE. Entscheidungsgrund: Die konkrete Produktausprägung besitzt ein eigenes Profil, bleibt aber über mehrere Koch-, Back- oder Servierfunktionen einsetzbar; das trägt die Zwischenstufe gegenüber dem offenen Oberbegriff.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
EDAMAME	Edamame	APPLICABLE	0.7500	0.7500	UNCHANGED	POD_VEGETABLES	POD_VEGETABLES	Semantik: Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst; nicht reife trockene Sojabohnen. Vergleich: Hülsen- und Schotengemüse (1.0000) in POD_VEGETABLES. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
EDIBLE_CRAB	Taschenkrebs	APPLICABLE	0.4000	0.5000	CHANGED	CRAB	CRAB	Semantik: Kräftiges, leicht süßliches Fleisch. Ganze gekochte Tiere, Scheren sowie weißes oder braunes ausgelöstes Fleisch sind zulässig; bloße Krabbenaromen und Ersatzprodukte zählen nicht. Vergleich: Krabben (1.0000) in CRAB. Entscheidungsgrund: Konservierung oder stark festgelegte Produktform begrenzen Textur und Einsatz gegenüber frischer Rohware; die benannte Zutat bleibt dennoch ein eigenständiger Familienfall.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
EDIBLE_SNAILS	essbare Schnecken	APPLICABLE	0.2500	1.0000	CHANGED	MOLLUSCS	MOLLUSCS	Semantik: Offene Familie essbarer Land-, Süßwasser- und Meeresschnecken als küchenfertige Zutat; Art und Lebensraum bleiben wählbar. Nicht Muscheln oder andere Weichtiergruppen. Vergleich: Weichtiere (1.0000) in MOLLUSCS. Entscheidungsgrund: Die drawable Familienvorgabe lässt Art, Zuschnitt und Garmethode offen und bildet damit den breiten Referenzpunkt für konkrete Meeres- und Süßwasserprodukte.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
EEL	Aal	APPLICABLE	0.3000	0.7500	CHANGED	OILY_FISH	OILY_FISH	Semantik: Aal als fettreicher Fisch mit festem Fleisch; frisch, geräuchert oder anderweitig verarbeitet nur bei entsprechender Produktwahl. Vergleich: fettreicher Fisch (1.0000) in OILY_FISH. Entscheidungsgrund: Die Art beziehungsweise Tiergruppe ist festgelegt, Zuschnitt, Würzung und mehrere Gartechniken bleiben aber wählbar; das trägt eine eigenständige, gegenüber der offenen Familie leicht verdichtete Präsenz.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
