"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"proposed_availability_georgia"	"availability_note_georgia"	"availability_evidence_georgia"	"proposed_availability_tobias"	"availability_note_tobias"	"availability_evidence_tobias"	"review_flags"	"approval_status"
"FENNEL_SEED"	"Fenchelsaat"	"APPLICABLE"	"Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma; ganz oder gemahlen, nicht Fenchelknolle."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FENUGREEK"	"Bockshornklee"	"APPLICABLE"	"Bockshornkleesamen mit herb-würzigem, leicht bitterem Aroma; ganz oder gemahlen sparsam verwendbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"APPLICABLE"	"Salzig fermentierte schwarze Sojabohnen nach Douchi-Art; als Würzzutat gemeint, nicht gewöhnliche schwarze Bohnen."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_CUCUMBER"	"Salzgurke"	"APPLICABLE"	"Milchsauer in Salzlake fermentierte Gurke; bewusst von essigbasierter Gewürzgurke getrennt."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_SEASONINGS"	"fermentierte Würzzutat"	"APPLICABLE"	"Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten; Rohstoff und Konsistenz bleiben offen."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_TOFU"	"fermentierter Tofu"	"APPLICABLE"	"In Lake gereifte Tofuwürfel mit kräftigem, salzigem Aroma und cremiger Textur; als Würzmittel, nicht als fester Tofublock."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FETA"	"Feta"	"APPLICABLE"	"Salzlakenkäse nach Feta-Art aus Schafmilch mit möglichem Ziegenmilchanteil; krümelig, säuerlich und salzig."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FIG"	"Feige"	"APPLICABLE"	"Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch; frisch oder ungesüßt getrocknet verwendbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FINGERROOT"	"Fingerwurz"	"APPLICABLE"	"Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma; frisch, tiefgekühlt oder in Lake verwendbar. Nicht Ingwer oder Galgant."	"SPECIALTY"	"Georgia: Die definierte Produktform verlangt einen spezialisierten Anbieter beziehungsweise eine gezielte Fahrt nach Köln oder Düsseldorf, ist über diesen Weg aber mit vernünftiger Zuverlässigkeit beschaffbar."	"EV08|EV09"	"SPECIALTY"	"Tobias: Die definierte Produktform verlangt spezialisierten deutschen beziehungsweise europäischen Versand oder einen seltenen Fachanbieter; eine Georgienreise ist nur für haltbare passende Ware ein möglicher Zusatzweg."	"EV08|EV09"	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FIRM_TOFU"	"fester Tofu"	"APPLICABLE"	"Fester gepresster Tofu, der schneiden, braten und marinieren verträgt; nicht Seidentofu."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH"	"Fisch"	"APPLICABLE"	"Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	"REFERENCE_ANCHOR"	"APPROVED_REFERENCE_ANCHOR"
"FISH_MINT"	"Fischminze"	"APPLICABLE"	"Frische Fischminzenblätter mit intensiv kräuterigem, zitrisch-fischigem Aroma; vor allem roh in Kräutertellern, Salaten und zu Fleisch- oder Suppengerichten. Trotz des Namens keine Minzart."	"SPECIALTY"	"Georgia: Eine essbare Houttuynia-cordata-Pflanze ist über spezialisierten deutschen Pflanzenversand beschaffbar und deckt die freigegebene lebende Produktform ab."	"EV03"	"SPECIALTY"	"Tobias: Eine essbare Houttuynia-cordata-Pflanze ist über spezialisierten deutschen Pflanzenversand beschaffbar; der lebende Pflanzenweg ist transportfähiger als frische Kräuterware."	"EV03"	"REFERENCE_ANCHOR"	"APPROVED_REFERENCE_ANCHOR"
"FISH_ROE"	"Fischrogen"	"APPLICABLE"	"Offene Vorgabe für essbare Fischeier; Fischart, Körnung, Salzgrad und Verarbeitung bleiben offen."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_SAUCE"	"Fischsauce"	"APPLICABLE"	"Salzige fermentierte Würzsauce aus Fisch und Salz mit intensivem Umami; nicht Fischfond."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_STOCK"	"Fischfond"	"APPLICABLE"	"Brühe oder Fond auf Basis von Fischgräten und -abschnitten; nicht Dashi oder Fischsauce."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FIVE_SPICE"	"Fünf-Gewürze-Pulver"	"APPLICABLE"	"Chinesisch geprägte Gewürzmischung mit typischerweise Sternanis, Fenchel, Zimt, Nelke und Szechuanpfeffer; Mischungen variieren."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBREAD"	"Fladenbrot"	"APPLICABLE"	"Offene Familie flacher Brote, weich oder knusprig und mit oder ohne Triebmittel; konkrete Küche und Getreide bleiben offen."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBROD"	"Flatbrød"	"APPLICABLE"	"Sehr dünnes, trockenes und knuspriges norwegisches Fladenbrot nach Flatbrød-Art. Traditionelle Getreidebasis kann variieren. Nicht generisches Knäckebrot oder beliebiges weiches Fladenbrot."	"SPECIALTY"	"Georgia: Die definierte Produktform verlangt einen spezialisierten Anbieter beziehungsweise eine gezielte Fahrt nach Köln oder Düsseldorf, ist über diesen Weg aber mit vernünftiger Zuverlässigkeit beschaffbar."	"EV15"	"SPECIALTY"	"Tobias: Die definierte Produktform verlangt spezialisierten deutschen beziehungsweise europäischen Versand oder einen seltenen Fachanbieter; eine Georgienreise ist nur für haltbare passende Ware ein möglicher Zusatzweg."	"EV15"	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLAXSEED"	"Leinsamen"	"APPLICABLE"	"Leinsamen mit nussigem Geschmack und hoher Quell- beziehungsweise Bindefähigkeit; ganz oder geschrotet verwendbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLEUR_DE_SEL"	"Fleur de sel"	"APPLICABLE"	"Feine, an der Oberfläche von Salzgärten abgeschöpfte Meersalzkristalle nach Fleur-de-sel-Art; nicht gewöhnliches Tafelsalz und nicht beliebiges grobes Meersalz. Keine Herkunft aus Guérande wird vorausgesetzt."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOUR"	"Mehl"	"APPLICABLE"	"Offene Vorgabe für fein gemahlenes Getreide, Pseudogetreide oder Hülsenfrüchte; Rohstoff und Backeigenschaften bleiben wählbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOWER_VEGETABLES"	"Blütengemüse"	"APPLICABLE"	"Offene Vorgabe für Gemüse, dessen Blütenstand oder Blütenknospe im Mittelpunkt steht, etwa Brokkoli oder Artischocke."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FOIE_GRAS"	"Foie gras"	"APPLICABLE"	"Fettleberprodukt aus Ente oder Gans; umfasst rohe beziehungsweise zur weiteren Verarbeitung geeignete sowie klassische ganze oder Block-Produktformen. Nicht gewöhnliche Leber und nicht mit Leberpastete gleichsetzen."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRANKFURT_GREEN_SAUCE"	"Frankfurter Grüne Soße"	"APPLICABLE"	"Frankfurter Kräutersauce mit charakteristischer Sieben-Kräuter-Basis; weitere Bestandteile und genaue Rezeptur können variieren. Gemeint ist die zubereitete Sauce, nicht lediglich das Kräuterpäckchen."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FREEKEH"	"Freekeh"	"APPLICABLE"	"Grün geernteter, gerösteter und gebrochener Weizen mit rauchig-nussigem Geschmack und festem Biss."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRENCH_FRIES"	"Pommes frites"	"APPLICABLE"	"Pommes frites als eigenständige Kartoffel-Produktform: in Stäbchen geschnittene und frittierte beziehungsweise typischerweise vorfrittierte Kartoffeln. Umfasst auch handelsübliche tiefgekühlte Pommes; nicht beliebige Bratkartoffeln, Kartoffelspalten oder Chips."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_DAIRY_PRODUCTS"	"frisches Milchprodukt"	"APPLICABLE"	"Offene Vorgabe für frische, nicht gereifte Milchprodukte wie Milch, Sahne oder Frischkäse."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_HERBS"	"Kräuter und Würzblätter"	"NOT_APPLICABLE_STRUCTURE"	""	""	"Georgia: Reiner Strukturknoten ausdrücklich freigegeben."	""	""	"Tobias: Reiner Strukturknoten ausdrücklich freigegeben."	""	"STRUCTURE_NODE"	"APPROVED_NOT_APPLICABLE"
"FRESH_TURMERIC"	"frischer Kurkuma"	"APPLICABLE"	"Frisches Kurkuma-Rhizom mit erdig-pfeffrigem Aroma und starker gelber Färbung; nicht getrocknetes Pulver."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESHWATER_SNAILS"	"Süßwasserschnecken"	"APPLICABLE"	"Offene Vorgabe für essbare Süßwasserschnecken, ganz oder ausgelöst und küchenfertig gereinigt. Nicht Weinberg- oder Meeresschnecken und nicht bereits zubereitete Schneckensuppe."	"SPECIALTY"	"Georgia: Tiefgekühltes Apfelschneckenfleisch wird von einem deutschen Asia-Spezialversand angeboten; die Kühlware bleibt Spezialbeschaffung."	"EV02"	"SPECIALTY"	"Tobias: Tiefgekühltes Apfelschneckenfleisch ist über deutschen Asia-Spezialversand beschaffbar; erforderlich sind Spezialbestellung und belastbare Tiefkühlzustellung nach Rostock."	"EV02"	"REFERENCE_ANCHOR"	"APPROVED_REFERENCE_ANCHOR"
"FRIED_ONIONS"	"Röstzwiebeln"	"APPLICABLE"	"Knusprig frittierte Röstzwiebeln als fertige Zutat beziehungsweise Topping; nicht lediglich frisch angebratene Zwiebel."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FROG_LEGS"	"Froschschenkel"	"APPLICABLE"	"Essbare Froschschenkel mit zartem, mildem Fleisch; frisch oder tiefgekühlt als ganze Schenkelpaare beziehungsweise Teilstücke verwendbar."	"SPECIALTY"	"Georgia: Haushaltsübliche tiefgekühlte Froschschenkel sind bei einem deutschen Asia-Spezialversand mit kurzer Lieferzeit gelistet."	"EV01"	"SPECIALTY"	"Tobias: Haushaltsübliche tiefgekühlte Froschschenkel sind bei einem deutschen Asia-Spezialversand gelistet und mit geeigneter Tiefkühlzustellung nach Rostock beschaffbar."	"EV01"	"REFERENCE_ANCHOR"	"APPROVED_REFERENCE_ANCHOR"
"FRUIT"	"Obst"	"APPLICABLE"	"Offene Vorgabe für kulinarisch als Obst verwendete Früchte; Art, Säure, Süße und Textur bleiben bewusst wählbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRUIT_DUMPLING"	"Obstknödel"	"APPLICABLE"	"Süßer gekochter oder gedämpfter Knödel mit Fruchtfüllung; Teig kann unter anderem Hefe-, Quark- oder Kartoffelteig sein, die verwendete Frucht variiert."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FRUIT_VEGETABLES"	"Fruchtgemüse"	"APPLICABLE"	"Offene Vorgabe für botanische Früchte, die herzhaft als Gemüse verwendet werden, etwa Tomate, Paprika oder Kürbis."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GAC_FRUIT"	"Gấc-Frucht"	"APPLICABLE"	"Reife Gấc-Frucht beziehungsweise ihr tief orange-rotes Fruchtfleisch um die Samen; vor allem zum Färben und mild-fruchtigen Aromatisieren von Klebreis und Festgebäck. Nicht Drachenfrucht oder bloße Lebensmittelfarbe."	"SPECIALTY"	"Georgia: Exaktes tiefgekühltes Gấc-Fruchtfleisch ist bei einem deutschen Asia-Spezialversand gelistet; Drachenfrucht oder Farbstoff gelten nicht."	"EV25"	"SPECIALTY"	"Tobias: Exaktes tiefgekühltes Gấc-Fruchtfleisch ist bei einem deutschen Asia-Spezialversand gelistet; eine belastbare Tiefkühlzustellung nach Rostock bleibt Teil der Spezialbeschaffung."	"EV25"	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GALANGAL"	"Galgant"	"APPLICABLE"	"Südostasiatisches Rhizom mit zitrisch-pfeffrigem, harzigem Aroma; frisch oder tiefgekühlt, nicht mit Ingwer gleichsetzen."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GAME_MEAT"	"Wildfleisch"	"APPLICABLE"	"Offene Vorgabe für Fleisch jagdbarer Wildtiere; Tierart, Zuschnitt und Intensität bleiben bewusst wählbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GARAM_MASALA"	"Garam Masala"	"APPLICABLE"	"Indische Gewürzmischung aus warm-aromatischen Gewürzen; Zusammensetzung und Verwendung als ganze oder gemahlene Mischung variieren."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC"	"Knoblauch"	"APPLICABLE"	"Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_BUTTER"	"Knoblauchbutter"	"APPLICABLE"	"Butterzubereitung mit Knoblauch als prägendem Aroma; weitere Kräuter sind möglich, aber nicht erforderlich."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_CHIVES"	"Knoblauch-Schnittlauch"	"APPLICABLE"	"Flaches asiatisches Schnittlauchgewächs mit deutlichem Knoblaucharoma; auch Knoblauch-Schnittlauch genannt."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_POWDER"	"Knoblauchpulver"	"APPLICABLE"	"Getrockneter gemahlener oder granulierter Knoblauch mit konzentriertem Aroma; nicht frischer Knoblauch oder Knoblauchsalz."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
