"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability"
"CARROT","Karotte","SPECIFIC","ROOT_VEGETABLES","","Karotte als süßlich-erdiges Wurzelgemüse; Farbe und Größe bleiben offen.","APPLICABLE"
"CASHEW","Cashewkerne","SPECIFIC","NUTS","CASHEW_BUTTER","Cremig-milde Cashewkerne; roh, geröstet oder ungesalzen verwendbar.","APPLICABLE"
"CASHEW_BUTTER","Cashewmus","SPECIFIC","CASHEW|NUT_AND_SEED_PASTES","","Fein vermahlene Cashewpaste mit cremiger Textur; ungesüßte und leicht gesüßte Varianten sind umfasst.","APPLICABLE"
"CASSAVA","Maniok","SPECIFIC","ROOT_VEGETABLES|STARCHES","","Stärkereiche Maniokwurzel, die nur geschält und ausreichend gegart verwendet wird; nicht Tapiokastärke.","APPLICABLE"
"CATFISH","Wels","SPECIFIC","WHITE_FISH","","Wels als festfleischiger Süßwasserfisch; Art und Zuschnitt bleiben offen.","APPLICABLE"
"CAULIFLOWER","Blumenkohl","SPECIFIC","CABBAGE_VEGETABLES|FLOWER_VEGETABLES","","Kohlgemüse mit dichtem, hellem Blütenstand; Blätter und Strunk können kulinarisch mitverwendet werden.","APPLICABLE"
"CAVA","Cava","SPECIFIC","COOKING_ALCOHOL","","Schaumwein der geschützten Ursprungsbezeichnung Cava, überwiegend in Spanien nach traditioneller Flaschengärung erzeugt; Süßegrad und Reife können variieren. Nicht generischer Schaumwein, Champagner oder Prosecco.","APPLICABLE"
"CAYENNE_PEPPER","Cayennepfeffer","SPECIFIC","CHILI_POWDER","","Fein gemahlenes scharfes Chilipulver nach Cayenne-Art; trotz des Namens kein echter Pfeffer.","APPLICABLE"
"CELERIAC","Knollensellerie","SPECIFIC","ROOT_VEGETABLES","","Knollensellerie mit festem, intensiv sellerieartigem Fleisch; nicht Staudensellerie.","APPLICABLE"
"CELERY_STALK","Staudensellerie","SPECIFIC","STEM_VEGETABLES","","Staudensellerie mit knackigen Blattstielen und frischem Selleriearoma; nicht Knollensellerie.","APPLICABLE"
"CHAMPIGNON","frische Champignons","OPEN","CHAMPIGNONS","BROWN_CHAMPIGNON|WHITE_CHAMPIGNON","Frischer Zuchtchampignon ohne Festlegung auf die weiße oder braune Form; konservierte Champignons und andere Speisepilze sind nicht gemeint.","APPLICABLE"
"CHAMPIGNONS","Champignons","OPEN","MUSHROOMS","CANNED_CHAMPIGNONS|CHAMPIGNON","Offene Champignonfamilie einschließlich frischer und konservierter Produktformen; nicht sämtliche Speisepilze.","APPLICABLE"
"CHANTERELLE","Pfifferlinge","SPECIFIC","MUSHROOMS","","Pfifferlinge mit festem Biss und pfeffrig-fruchtigem Waldpilzaroma; frisch, tiefgekühlt oder getrocknet verwendbar.","APPLICABLE"
"CHARD","Mangold","SPECIFIC","LEAFY_GREENS","","Mangold mit fleischigen Stielen und großen Blättern; beide Teile sind essbar und benötigen oft unterschiedliche Garzeiten.","APPLICABLE"
"CHEDDAR","Cheddar","SPECIFIC","CHEESE","","Fester bis halbfester Kuhmilchkäse nach Cheddar-Art; Reifegrad reicht von mild-cremig bis kräftig-würzig.","APPLICABLE"
"CHEESE","Käse","OPEN","CULTURED_DAIRY","BLUE_CHEESE|BRIE|BRUNOST|CAMEMBERT|CHEDDAR|CREAM_CHEESE|DANBO|EDAM|FETA|GOAT_CHEESE|GOUDA|GRUYERE|HALLOUMI|HARZER_CHEESE|HERVE_CHEESE|MANCHEGO|MASCARPONE|MOZZARELLA|OLOMOUC_TVARUZKY|PANEER|PARMESAN|PECORINO|RICOTTA","Offene Vorgabe für Käse; Milchart, Textur, Reife und Intensität bleiben als echte Auswahlentscheidung offen.","APPLICABLE"
"CHERRY","Kirsche","SPECIFIC","STONE_FRUIT","SOUR_CHERRY","Süßkirsche als frische oder ungesüßt tiefgekühlte Steinfrucht; Sauerkirsche bleibt getrennt.","APPLICABLE"
"CHERRY_TOMATO","Kirschtomaten","SPECIFIC","TOMATO","","Kleine süße Tomaten mit hohem Schalenanteil; Farbe und konkrete Sorte bleiben offen.","APPLICABLE"
"CHERVIL","Kerbel","SPECIFIC","FRESH_HERBS","","Frischer Kerbel als fein-aromatisches Küchenkraut. Nicht Kerbelwurzel und nicht getrocknete Kräutermischung.","APPLICABLE"
"CHESTNUT","Esskastanien","SPECIFIC","NUTS|STARCHES","","Stärkereiche Esskastanien mit süßlich-nussigem Geschmack; gegart, vakuumiert oder als ungesüßtes Püree verwendbar.","APPLICABLE"
"CHIA_SEEDS","Chiasamen","SPECIFIC","SEEDS","","Kleine quellfähige Samen, die Flüssigkeit gelartig binden; hell oder dunkel verwendbar.","APPLICABLE"
"CHICKEN","Hähnchen","SPECIFIC","POULTRY","CHICKEN_BREAST|CHICKEN_DRUMSTICKS|CHICKEN_FEET|CHICKEN_LIVER|CHICKEN_THIGH|CHICKEN_WINGS","Hähnchenfleisch ohne Festlegung auf einen Zuschnitt; ganzes Tier und unterschiedliche Teilstücke sind umfasst.","APPLICABLE"
"CHICKEN_BREAST","Hähnchenbrust","SPECIFIC","CHICKEN","","Mageres helles Brustfleisch vom Hähnchen; mit oder ohne Haut und Knochen verwendbar.","APPLICABLE"
"CHICKEN_DRUMSTICKS","Hähnchenunterkeulen","SPECIFIC","CHICKEN","","Unterer Teil der Hähnchenkeule mit Knochen und dunklem Fleisch; nicht die vollständige Keule.","APPLICABLE"
"CHICKEN_FEET","Hühnerfüße","SPECIFIC","CHICKEN|OFFAL","","Küchenfertig gereinigte Hühnerfüße mit hohem Haut-, Sehnen- und Knorpelanteil; frisch oder tiefgekühlt verwendbar. Nicht bereits marinierte, eingelegte oder vollständig zubereitete Snackprodukte.","APPLICABLE"
"CHICKEN_LIVER","Hähnchenleber","SPECIFIC","CHICKEN|OFFAL","","Kleine zarte Geflügelleber mit kräftigem, aber milderem Aroma als Rinderleber.","APPLICABLE"
"CHICKEN_STOCK","Hühnerbrühe","SPECIFIC","STOCKS","","Brühe oder Fond auf Hühnerbasis; selbst gekocht oder als schlichtes Fertigprodukt verwendbar.","APPLICABLE"
"CHICKEN_THIGH","Hähnchenschenkel","SPECIFIC","CHICKEN","","Saftiges dunkles Fleisch vom Hähnchenschenkel; ausgelöst oder mit Knochen und Haut verwendbar.","APPLICABLE"
"CHICKEN_WINGS","Hähnchenflügel","SPECIFIC","CHICKEN","","Hähnchenflügel mit Haut, Knochen und hohem Kollagenanteil; ganz oder in Gelenkstücke geteilt.","APPLICABLE"
"CHICKPEA_FLOUR","Kichererbsenmehl","SPECIFIC","CHICKPEAS|FLOUR","","Fein gemahlene trockene Kichererbsen mit nussigem Geschmack und guter Bindewirkung; nicht Weizenmehl.","APPLICABLE"
"CHICKPEAS","Kichererbsen","SPECIFIC","LEGUMES","CHICKPEA_FLOUR","Kichererbsen mit nussigem Geschmack und mehlig-cremiger Textur; getrocknet oder vorgegart verwendbar.","APPLICABLE"
"CHICORY","Chicorée","SPECIFIC","SALAD_GREENS","","Chicorée als kompakter, blass getriebener Blattsalat mit charakteristischer Bitterkeit; roh und gegart verwendbar.","APPLICABLE"
"CHILI","frische Chili","OPEN","FRUIT_VEGETABLES","BIRDS_EYE_CHILI|HABANERO|JALAPENO|PADRON_PEPPER|POBLANO|SERRANO_CHILI","Frische Chili als Fruchtgemüse; trockene, pulverisierte und eingelegte Formen sind damit nicht gemeint.","APPLICABLE"
"CHILI_CONDIMENTS","Chilisauce oder -paste","OPEN","READY_SAUCES_AND_PASTES","CHILI_CRISP|CHILI_OIL|DOUBANJIANG|GOCHUJANG|HARISSA|NAM_PRIK_PAO|SAMBAL|SRIRACHA","Offene Vorgabe für verzehrfertige Chilisaucen oder -pasten; Stil, Fermentation und Schärfe bleiben wählbar.","APPLICABLE"
"CHILI_CRISP","Chili-Crisp","SPECIFIC","CHILI_CONDIMENTS","","Ölbasierte Chiliwürze mit knusprigen Chili-, Zwiebel- oder Gewürzbestandteilen; nicht bloß Chiliöl.","APPLICABLE"
"CHILI_FLAKES","Chiliflocken","OPEN","DRIED_CHILI","GOCHUGARU|PUL_BIBER","Getrocknete Chiliflocken mit variabler Sorte, Schärfe und regionaler Würzung; nicht fein gemahlenes Chilipulver.","APPLICABLE"
"CHILI_OIL","Chiliöl","SPECIFIC","CHILI_CONDIMENTS|OILS","","Mit Chili aromatisiertes Speiseöl, klar oder mit Sediment; nicht automatisch knuspriges Chili-Crisp.","APPLICABLE"
"CHILI_POWDER","Chilipulver","OPEN","DRIED_CHILI","CAYENNE_PEPPER|KASHMIRI_CHILI_POWDER|PIMENT_D_ESPELETTE","Reines oder sortentypisches Chilipulver; keine zusammengesetzte Gewürzmischung.","APPLICABLE"
"CHIPOTLE","Chipotle","SPECIFIC","DRIED_CHILI","","Geräucherte und getrocknete reife Jalapeño mit mittlerer Schärfe; ganz, gemahlen oder in schlichter Adobo-Konserve verwendbar.","APPLICABLE"
"CHIVES","Schnittlauch","SPECIFIC","ALLIUM_VEGETABLES|FRESH_HERBS","","Feine hohle Schnittlauchröhrchen mit mildem Zwiebelaroma; nicht Knoblauch-Schnittlauch.","APPLICABLE"
"CHOCOLATE","Schokolade","OPEN","COCOA_PRODUCTS|CONFECTIONERY","CHOCOLATE_HAGELSLAG|DARK_CHOCOLATE|MILK_CHOCOLATE|WHITE_CHOCOLATE","Offene Schokoladenfamilie für dunkle, Milch- und weiße Schokolade; Kakaopulver ist nicht umfasst.","APPLICABLE"
"CHOCOLATE_HAGELSLAG","Schoko-Hagelslag","SPECIFIC","CHOCOLATE","","Niederländische Schokoladenstreusel insbesondere als Brotbelag; nicht beliebige Backdekoration und nicht Frucht-, Anis- oder andere Hagelslag-Varianten.","APPLICABLE"
"CHORIZO","Chorizo","SPECIFIC","CURED_MEAT|PORK|SAUSAGE","","Kräftig gewürzte Wurst der Chorizo-Familie; frische mexikanische und gereifte iberische Formen sind mögliche Ausprägungen.","APPLICABLE"
"CIDER","Cider","SPECIFIC","COOKING_ALCOHOL","","Vergorener Apfelwein, still oder perlend und trocken bis süß; nicht Apfelsaft oder Apfelessig.","APPLICABLE"
"CILANTRO","Koriandergrün","SPECIFIC","FRESH_HERBS","","Frisches Blattgrün des Korianders mit markant zitrisch-würzigem Aroma; nicht Koriandersaat.","APPLICABLE"
"CINNAMON","Zimt","SPECIFIC","SPICES","","Getrocknete Zimtrinde als Stange oder gemahlen; Ceylon- und Cassia-Typen sind umfasst.","APPLICABLE"
"CITRUS_FRUIT","Zitrusfrucht","OPEN","FRUIT","CALAMANSI|GRAPEFRUIT|LEMON|LIME|MANDARIN|ORANGE|POMELO|YUZU","Offene Vorgabe für Zitrusfrüchte; Saft, Fruchtfleisch und unbehandelte Schale können je nach Wahl genutzt werden.","APPLICABLE"
"CLAMS","Venusmuscheln","SPECIFIC","BIVALVES","","Venusmuscheln beziehungsweise vergleichbare kleine essbare Muscheln; frisch, tiefgekühlt oder ausgelöst verwendbar.","APPLICABLE"
"CLOUDBERRY","Moltebeere","SPECIFIC","BERRIES","CLOUDBERRY_PRESERVES","Moltebeeren (Rubus chamaemorus), frisch oder ungesüßt tiefgekühlt. Nicht gesüßte Moltebeerkonfitüre, Likör oder lediglich Moltebeer-Aroma.","APPLICABLE"
"CLOUDBERRY_PRESERVES","Moltebeerkonfitüre/-kompott","SPECIFIC","CLOUDBERRY|PRESERVED_PRODUCE","","Gesüßte Moltebeerzubereitung wie Konfitüre, Kompott oder vergleichbarer Fruchtaufstrich. Nicht bloßes Moltebeer-Aroma oder Moltebeerlikör.","APPLICABLE"
"CLOVES","Gewürznelken","SPECIFIC","SPICES","","Getrocknete Blütenknospen mit sehr intensivem warm-süßlichem Aroma; ganz oder gemahlen sparsam verwenden.","APPLICABLE"
"COCKLES","Herzmuscheln","SPECIFIC","BIVALVES","","Essbare Herzmuscheln (Cockles), frisch, tiefgekühlt oder naturbelassen konserviert; nicht Venusmuscheln, Miesmuscheln oder Jakobsmuscheln.","APPLICABLE"
"COCOA_POWDER","Kakaopulver","SPECIFIC","COCOA_PRODUCTS","","Entfettetes oder teilentfettetes Kakaopulver, ungesüßt und zum Backen oder Würzen geeignet; kein kakaohaltiges Getränkepulver.","APPLICABLE"
"COCOA_PRODUCTS","Kakao oder Schokolade","OPEN","","CHOCOLATE|COCOA_POWDER|TABLEA","Offene Familie für Kakaoerzeugnisse von Kakaopulver bis Schokoladenprodukten; konkrete Form und Süße bleiben offen.","APPLICABLE"
"COCONUT","Kokosnuss","SPECIFIC","COCONUT_PRODUCTS|TROPICAL_FRUIT","MACAPUNO","Kokosnuss beziehungsweise frisches Kokosfleisch; Kokosmilch, -wasser und -öl sind getrennte Produktformen.","APPLICABLE"
"COCONUT_CREAM","Kokoscreme","SPECIFIC","COCONUT_PRODUCTS","","Dickflüssige, fettreiche Kokosextraktion mit höherem Fettanteil als Kokosmilch; nicht gesüßte Cream of Coconut.","APPLICABLE"
"COCONUT_FLAKES","Kokosraspeln","SPECIFIC","COCONUT_PRODUCTS","","Getrocknete Kokosraspeln oder -chips, bevorzugt ungesüßt; nicht frisches Kokosfleisch.","APPLICABLE"
"COCONUT_MILK","Kokosmilch","SPECIFIC","COCONUT_PRODUCTS","","Weiße Emulsion aus zerkleinertem Kokosfleisch und Wasser; nicht Kokosdrink oder Kokoswasser.","APPLICABLE"
"COCONUT_OIL","Kokosöl","SPECIFIC","COCONUT_PRODUCTS|OILS","","Bei Raumtemperatur häufig festes Kokosfett; raffiniert neutral oder nativ kokosaromatisch verwendbar.","APPLICABLE"
"COCONUT_PRODUCTS","Kokoszutat","OPEN","","COCONUT|COCONUT_CREAM|COCONUT_FLAKES|COCONUT_MILK|COCONUT_OIL|COCONUT_VINEGAR|COCONUT_WATER|NATA_DE_COCO","Offene Familie für Kokosfrucht, Kokoswasser, daraus gewonnene Emulsionen, Fett und weitere verarbeitete Kokosprodukte.","APPLICABLE"
"COCONUT_VINEGAR","Kokosessig","OPEN","COCONUT_PRODUCTS|VINEGAR","","Offene Kokosessigfamilie für natürlich fermentierten Essig auf Kokoswasser- und/oder Kokospalmensaftbasis. Nicht gewöhnlicher Branntweinessig mit Kokosaroma.","APPLICABLE"
"COCONUT_WATER","Kokoswasser","SPECIFIC","COCONUT_PRODUCTS","","Klare Flüssigkeit aus dem Inneren junger Kokosnüsse; nicht Kokosmilch oder gesüßter Kokosdrink.","APPLICABLE"
"COD","Kabeljau","SPECIFIC","WHITE_FISH","STOCKFISH","Kabeljau als mildes, blättriges Weißfischfleisch; frisch oder tiefgekühlt, nicht gesalzen und getrocknet.","APPLICABLE"
"COFFEE","Kaffee","SPECIFIC","","","Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat.","APPLICABLE"
"COGNAC","Cognac","SPECIFIC","BRANDY","","Geschützter französischer Weinbrand aus Cognac mit charakteristisch gereiftem Aroma; nicht beliebiger Brandy oder Weinbrand.","APPLICABLE"
"COM_ME","Mẻ oder Cơm mẻ","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES|RICE_PRODUCTS","","Milchsauer fermentierte vietnamesische Reiswürze mit breiig-cremiger Konsistenz und ausgeprägter, komplexer Säure. Als Säuerungs- und Würzmittel gemeint; nicht Reisessig, Reiswein oder fermentierter süßer Reis.","APPLICABLE"
"CONDENSED_MILK","gezuckerte Kondensmilch","SPECIFIC","DAIRY_PRODUCTS|SWEETENERS","","Stark eingedickte und gezuckerte Kuhmilch mit sirupartiger Konsistenz; nicht ungesüßte Kondensmilch.","APPLICABLE"
"CONFECTIONERY","Süßware","OPEN","","BRUSSELS_WAFFLE|CHOCOLATE|KOLACHE|LIEGE_WAFFLE|LIQUORICE|MARZIPAN|SPECULOOS|STROOPWAFEL|TURRON","Offene Familie verzehrfertiger Süßwaren wie Bonbons, Lakritz oder Marzipan; reine Süßungsmittel und Backgrundstoffe sind nicht automatisch umfasst.","NOT_APPLICABLE_STRUCTURE"
"COOKED_HAM","Kochschinken","SPECIFIC","HAM","","Gepökelter und gegarter Schinken mit saftiger Textur; nicht luftgetrockneter Rohschinken.","APPLICABLE"
"COOKING_ALCOHOL","Kochalkohol","OPEN","","AQUAVIT|BEER|BRANDY|CALVADOS|CAVA|CIDER|JENEVER|MARSALA|MIRIN|PASTIS|PORT_WINE|RED_WINE|RUM|SAKE|SHAOXING_WINE|SHERRY|SLIVOVICE|WHITE_WINE","Offene Vorgabe für alkoholische Getränke, deren Aroma beim Kochen genutzt wird; Bier, Wein und Spirituosen sind mögliche Wege.","APPLICABLE"
"COOKING_FATS","Kochfett","OPEN","","BUTTER|DUCK_FAT|GHEE|LARD|OILS","Offene Vorgabe für zum Braten, Garen oder Verfeinern geeignete Fette und Öle; tierische und pflanzliche Formen sind umfasst.","APPLICABLE"
"CORIANDER_ROOT","Korianderwurzel","SPECIFIC","SPICES","","Wurzelansatz des Korianders mit konzentriert erdig-pfeffrigem Aroma, besonders für Würzpasten und Marinaden. Gemeint sind frische oder tiefgekühlte Wurzeln, nicht Koriandergrün oder -saat.","APPLICABLE"
"CORIANDER_SEED","Koriandersaat","SPECIFIC","SPICES","","Getrocknete Korianderfrüchte mit warmem, zitrisch-nussigem Aroma; ganz oder gemahlen, nicht Koriandergrün.","APPLICABLE"
"CORN","Mais","SPECIFIC","GRAINS","CORNMEAL|MASA_HARINA|POLENTA","Mais als Körnerprodukt, frisch, tiefgekühlt oder schlicht konserviert; Mehl, Stärke und Polenta sind getrennte Formen.","APPLICABLE"
"CORNMEAL","Maismehl","SPECIFIC","CORN","","Gemahlener Mais mit feiner bis grober Körnung; nicht reine Maisstärke und nicht zwingend vorgekochte Polenta.","APPLICABLE"
"CORNSTARCH","Maisstärke","SPECIFIC","STARCH_BINDERS","","Feine geschmacksneutrale Stärke aus Mais zum Binden und für Teige; nicht Maismehl.","APPLICABLE"
"COUSCOUS","Couscous","SPECIFIC","GRAINS","","Kleine angefeuchtete und gerollte Hartweizengrießkörner; gemeint ist das trockene Grundprodukt, nicht das fertige Gericht.","APPLICABLE"
"CRAB","Krabben oder Krebsfleisch","SPECIFIC","CRUSTACEANS","","Essbares Fleisch von Krabben oder Krebsen; ganzes Tier, Scheren- oder ausgelöstes Fleisch sind möglich.","APPLICABLE"
"CRANBERRY","Cranberry","SPECIFIC","BERRIES","","Herb-saure Cranberry; frisch, ungesüßt tiefgekühlt oder getrocknet verwendbar, wobei Trockenware oft gesüßt ist.","APPLICABLE"
"CRAYFISH","Flusskrebse","SPECIFIC","CRUSTACEANS","","Kleine Süßwasserkrebse mit festem, süßlichem Fleisch; ganz oder als ausgelöstes Schwanzfleisch verwendbar.","APPLICABLE"
"CREAM","Sahne","SPECIFIC","FRESH_DAIRY_PRODUCTS","","Flüssiger Milchrahm zum Kochen oder Schlagen; Fettstufe bleibt offen, gesäuerte Produkte sind getrennt.","APPLICABLE"
"CREAM_CHEESE","Frischkäse","SPECIFIC","CHEESE|FRESH_DAIRY_PRODUCTS","","Ungereifter streichfähiger Frischkäse mit mild-säuerlichem Geschmack; natur oder neutral gewürzt verwendbar.","APPLICABLE"
"CREME_FRAICHE","Crème fraîche","SPECIFIC","CULTURED_DAIRY","","Fettreicher gesäuerter Rahm mit cremiger Konsistenz und guter Kochstabilität; nicht saure Sahne.","APPLICABLE"
"CRISPBREAD","Knäckebrot","SPECIFIC","BREAD","","Trockenes, knuspriges Dauerbrot mit dünner oder luftiger Struktur; Getreidemischung bleibt offen.","APPLICABLE"
"CROISSANT","Croissant","SPECIFIC","BAKED_GOODS","","Ungefüllte klassische Croissant-Viennoiserie mit blättriger, fettreicher Teigstruktur; nicht Pain au chocolat, gefülltes Croissant oder beliebiges Hörnchen.","APPLICABLE"
"CRUSTACEANS","Krustentiere","OPEN","INVERTEBRATES|SHELLFISH","CRAB|CRAYFISH|LOBSTER|SHRIMP","Offene Vorgabe für Krebstiere wie Garnelen, Krabben, Hummer oder Flusskrebse; nicht Muscheln oder Tintenfische.","APPLICABLE"
"CUCUMBER","Gurke","SPECIFIC","FRUIT_VEGETABLES","FERMENTED_CUCUMBER|PICKLED_CUCUMBER","Frische Salatgurke mit hohem Wassergehalt und knackiger Textur; Einlege- und fermentierte Gurken sind getrennt.","APPLICABLE"
"CULANTRO","Culantro oder Sägeblattkoriander","SPECIFIC","FRESH_HERBS","","Langblättriges Würzkraut mit gezähntem Rand und kräftigem korianderähnlichem Aroma; roh oder in Suppen und Eintöpfen verwendbar. Botanisch und kulinarisch nicht mit Koriandergrün gleichsetzen.","APPLICABLE"
"CULTURED_DAIRY","gesäuertes Milchprodukt","OPEN","DAIRY_PRODUCTS","BUTTERMILK|CHEESE|CREME_FRAICHE|KEFIR|QUARK|SOUR_CREAM|YOGURT","Offene Vorgabe für durch Milchsäurekulturen gesäuerte Milchprodukte; Fettgehalt und Konsistenz bleiben wählbar.","APPLICABLE"
"CUMIN","Kreuzkümmel","SPECIFIC","SPICES","","Kreuzkümmelsamen mit warm-erdigem, intensiv würzigem Aroma; nicht echter Kümmel.","APPLICABLE"
"CURED_MEAT","gepökeltes oder luftgetrocknetes Fleisch","OPEN","MEAT","BACON|CHORIZO|FENALAR|HAM|KASSELER|NDUJA|PANCETTA|PINNEKJOTT|SALAMI|SOBRASADA","Offene Familie gepökelter, getrockneter oder vergleichbar gereifter Fleischprodukte; Tierart und Produktform bleiben offen.","APPLICABLE"
"CURRY_LEAVES","Curryblätter","SPECIFIC","FRESH_HERBS","","Aromatische Blätter des Currybaums mit zitrisch-röstigem Aroma; frisch oder tiefgekühlt bevorzugt, nicht Currypulver.","APPLICABLE"
"CURRY_POWDER","Currypulver","SPECIFIC","SPICE_BLENDS","","Zusammengesetzte Gewürzmischung nach Currypulver-Art; Zusammensetzung, Farbe und Schärfe können variieren.","APPLICABLE"
"CUTTLEFISH","Sepia","SPECIFIC","MOLLUSCS|SEAFOOD","","Sepia beziehungsweise echter Tintenfisch mit festem Fleisch und essbarer Tinte; nicht Kalmar oder Oktopus.","APPLICABLE"
"DAIKON","Daikon","SPECIFIC","RADISH","","Großer milder weißer Rettich ostasiatischer Sorten; roh, gegart oder eingelegt verwendbar.","APPLICABLE"
"DAING","Daing","OPEN","DRIED_FISH","","Philippinische Familie getrockneter Fische in typischerweise aufgeschnittener beziehungsweise butterfly-artiger Form; Fischart und Salzgrad können variieren. Kein Synonym für eine bestimmte Fischart.","APPLICABLE"
"DAIRY_PRODUCTS","Milchprodukte","OPEN","","BUTTER|CONDENSED_MILK|CULTURED_DAIRY|FRESH_DAIRY_PRODUCTS|GHEE","Offene Familie von Milchprodukten wie Milch, Rahm, fermentierten Erzeugnissen, Butter und Käse; Eier und pflanzliche Alternativen sind nicht gemeint.","NOT_APPLICABLE_STRUCTURE"
"DANABLU","Danablu","SPECIFIC","BLUE_CHEESE","","Dänischer, mit Blauschimmel gereifter Kuhmilchkäse mit geschützter geografischer Angabe; kräftig, pikant und deutlich salzig.","APPLICABLE"
"DANBO","Danbo","SPECIFIC","CHEESE","","Dänischer halbfester Kuhmilchkäse mit geschützter geografischer Angabe; je nach Reifegrad mild bis kräftiger, typischerweise leicht säuerlich. Nicht als Gouda-Variante modellieren.","APPLICABLE"
"DARK_CHOCOLATE","Zartbitterschokolade","SPECIFIC","CHOCOLATE","","Schokolade mit hohem Kakaoanteil und ohne prägende Milchkomponente; Kakaoanteil und Süße bleiben offen.","APPLICABLE"
"DARK_SOY_SAUCE","dunkle Sojasauce","SPECIFIC","SOY_SAUCE","","Dunkle, häufig dickere und leicht süßliche Sojasauce vor allem für Farbe und Tiefe; nicht helle Sojasauce.","APPLICABLE"
"DASHI","Dashi","SPECIFIC","STOCKS","","Japanischer klarer Würzfond, typischerweise auf Kombu und/oder Bonitoflocken; Instant- und frisch angesetzte Varianten sind umfasst.","APPLICABLE"
"DATE","Dattel","SPECIFIC","FRUIT","","Dattel mit dichtem, karamellig-süßem Fruchtfleisch; frisch oder getrocknet verwendbar.","APPLICABLE"
"DATE_SYRUP","Dattelsirup","SPECIFIC","SYRUP","","Dunkler konzentrierter Sirup aus Datteln mit fruchtig-karamelligem Geschmack; nicht Melasse.","APPLICABLE"
"DIJON_MUSTARD","Dijon-Senf","SPECIFIC","MUSTARD","","Feiner bis glatter, deutlich scharfer Senf nach Dijon-Art; nicht körniger Senf und nicht zwingend AOP-Herkunft.","APPLICABLE"
"DILL","Dill","SPECIFIC","FRESH_HERBS","","Frische Dillspitzen mit anisartig-grünem Aroma; Stiele können mitverwendet werden, Dillsaat ist nicht gemeint.","APPLICABLE"
"DOENJANG","Doenjang","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","","Koreanische fermentierte Sojabohnenpaste mit kräftigem, salzig-erdigem Umami; nicht Miso oder Gochujang.","APPLICABLE"
"DOUBANJIANG","Doubanjiang","SPECIFIC","CHILI_CONDIMENTS|FERMENTED_SEASONINGS","","Chinesische fermentierte Bohnen-Chili-Paste, häufig auf Saubohnenbasis; salzig, scharf und ausgeprägt umamireich.","APPLICABLE"
"DRAGON_FRUIT","Drachenfrucht","SPECIFIC","TROPICAL_FRUIT","","Mild-süße Pitahaya mit saftigem, samenreichem Fruchtfleisch; rote und weiße Sorten sind umfasst.","APPLICABLE"
"DRIED_APRICOT","getrocknete Aprikosen","SPECIFIC","APRICOT|DRIED_FRUIT","","Getrocknete Aprikosen mit konzentrierter Süße und zäher Textur; geschwefelte und ungeschwefelte Ware ist möglich.","APPLICABLE"
"DRIED_CHILI","getrocknete Chili","OPEN","SPICES","ANCHO_CHILI|CHILI_FLAKES|CHILI_POWDER|CHIPOTLE","Ganze oder grob zerteilte getrocknete Chili mit konzentriertem Aroma; Pulver und feine Flocken sind damit nicht gemeint.","APPLICABLE"
"DRIED_FISH","getrockneter Fisch","OPEN","PRESERVED_FISH","BONITO_FLAKES|DAING|STOCKFISH","Offene Familie von Fischprodukten, deren wesentliche Konservierung durch Trocknung erfolgt; Salz kann, muss aber nicht beteiligt sein. Nicht bloß geräucherter oder konservierter Fisch ohne maßgebliche Trocknung.","APPLICABLE"
"DRIED_FRUIT","Trockenfrüchte","OPEN","FRUIT","DRIED_APRICOT|PRUNE|RAISIN","Offene Vorgabe für durch Trocknung konzentriertes Obst; Sorte, Stückgröße und eventuelle Süßung bleiben wählbar.","APPLICABLE"
"DRIED_SHRIMP","getrocknete Garnelen","SPECIFIC","SHRIMP","","Durch Trocknung haltbar gemachte Garnelen, ganz oder grob zerkleinert; sie liefern konzentriertes Umami für Brühen, Füllungen, Toppings und Würzpasten. Nicht Garnelenpulver oder fermentierte Garnelenpaste.","APPLICABLE"
"DRIED_WILD_MUSHROOMS","getrocknete Waldpilze","SPECIFIC","MUSHROOMS","","Getrocknete aromatische Waldpilze, einzeln oder gemischt; nicht auf eine einzelne Pilzart festgelegt.","APPLICABLE"
"DUCK","Ente","SPECIFIC","POULTRY","DUCK_BREAST|DUCK_CONFIT|DUCK_LEG","Entenfleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; Haut und Fett können prägende Bestandteile sein.","APPLICABLE"
"DUCK_BREAST","Entenbrust","SPECIFIC","DUCK","","Entenbrust mit dunklem Fleisch und typischer Fettschicht unter der Haut; mit oder ohne Haut verwendbar.","APPLICABLE"
"DUCK_CONFIT","Entenconfit","SPECIFIC","DUCK","","Gesalzene Ententeile, typischerweise Keule beziehungsweise vergleichbare Teilstücke, langsam in Entenfett gegart und traditionell darin konserviert. Nicht bloß Entenfleisch oder eine frisch gebratene Entenkeule.","APPLICABLE"
"DUCK_EGG","Entenei","SPECIFIC","EGGS","SALTED_DUCK_EGG","Größeres, fettreicheres Ei der Ente; frisch zu garen, nicht bereits gesalzen oder fermentiert.","APPLICABLE"
