"concept_code"	"display_name"	"review_applicability"	"previous_availability_georgia"	"proposed_availability_georgia"	"changed_georgia"	"previous_availability_tobias"	"proposed_availability_tobias"	"changed_tobias"	"person_difference"	"comparison_flags"
"COCONUT_PRODUCTS"	"Kokoszutat"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COCONUT_VINEGAR"	"Kokosessig"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"COCONUT_WATER"	"Kokoswasser"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COD"	"Kabeljau"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COFFEE"	"Kaffee"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COGNAC"	"Cognac"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COM_ME"	"Mẻ oder Cơm mẻ"	"APPLICABLE"	"DIFFICULT"	"UNAVAILABLE"	"YES"	"DIFFICULT"	"UNAVAILABLE"	"YES"	"NO"	""
"CONDENSED_MILK"	"gezuckerte Kondensmilch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CONFECTIONERY"	"Süßware"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"STRUCTURE_NODE"
"COOKED_HAM"	"Kochschinken"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COOKING_ALCOHOL"	"Kochalkohol"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COOKING_FATS"	"Kochfett"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CORIANDER_ROOT"	"Korianderwurzel"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"CORIANDER_SEED"	"Koriandersaat"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CORN"	"Mais"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CORNMEAL"	"Maismehl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CORNSTARCH"	"Maisstärke"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"COUSCOUS"	"Couscous"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CRAB"	"Krabben oder Krebsfleisch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"CRANBERRY"	"Cranberry"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"CRAYFISH"	"Flusskrebse"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"CREAM"	"Sahne"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CREAM_CHEESE"	"Frischkäse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CREME_FRAICHE"	"Crème fraîche"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CRISPBREAD"	"Knäckebrot"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CROISSANT"	"Croissant"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CRUSTACEANS"	"Krustentiere"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CUCUMBER"	"Gurke"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CULANTRO"	"Culantro oder Sägeblattkoriander"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"CULTURED_DAIRY"	"gesäuertes Milchprodukt"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CUMIN"	"Kreuzkümmel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CURED_MEAT"	"gepökeltes oder luftgetrocknetes Fleisch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CURRY_LEAVES"	"Curryblätter"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"SPECIALTY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"CURRY_POWDER"	"Currypulver"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"CUTTLEFISH"	"Sepia"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"DAIKON"	"Daikon"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"DAING"	"Daing"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"YES"	"DIFFICULT"	"DIFFICULT"	"NO"	"NO"	""
"DAIRY_PRODUCTS"	"Milchprodukte"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"STRUCTURE_NODE"
"DANABLU"	"Danablu"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DANBO"	"Danbo"	"APPLICABLE"	"DIFFICULT"	"PLANNED"	"YES"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DARK_CHOCOLATE"	"Zartbitterschokolade"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DARK_SOY_SAUCE"	"dunkle Sojasauce"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DASHI"	"Dashi"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DATE"	"Dattel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DATE_SYRUP"	"Dattelsirup"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"PLANNED"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"DIJON_MUSTARD"	"Dijon-Senf"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DILL"	"Dill"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DOENJANG"	"Doenjang"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DOUBANJIANG"	"Doubanjiang"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DRAGON_FRUIT"	"Drachenfrucht"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"DRIED_APRICOT"	"getrocknete Aprikosen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DRIED_CHILI"	"getrocknete Chili"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DRIED_FISH"	"getrockneter Fisch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DRIED_FRUIT"	"Trockenfrüchte"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DRIED_SHRIMP"	"getrocknete Garnelen"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"DRIED_WILD_MUSHROOMS"	"getrocknete Waldpilze"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DUCK"	"Ente"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"DUCK_BREAST"	"Entenbrust"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"DUCK_CONFIT"	"Entenconfit"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"DUCK_EGG"	"Entenei"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"DUCK_FAT"	"Entenfett"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"DUCK_LEG"	"Entenkeule"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"DULSE"	"Dulse"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"DUMPLING_DOUGH"	"Dumpling-Teig"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"YES"	"NO"	""
"DUMPLING_WRAPPERS"	"Teigblatt oder Dumpling-Hülle"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EDAM"	"Edamer"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EDAMAME"	"Edamame"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EDIBLE_SNAILS"	"essbare Schnecken"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"EEL"	"Aal"	"APPLICABLE"	"DIFFICULT"	"PLANNED"	"YES"	"DIFFICULT"	"EASY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"EGG"	"Ei"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EGG_NOODLES"	"Eiernudeln"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EGGPLANT"	"Aubergine"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EGGS"	"Eier"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"EGUSI_SEEDS"	"Egusi-Samen"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"ELDERBERRY"	"Holunderbeeren"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"ENDIVE"	"Endivie"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"ENOKI"	"Enoki"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"ESCARGOT"	"Weinbergschnecken"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"EVAPORATED_MILK"	"Kondensmilch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FARRO"	"Emmer oder Farro"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"FENALAR"	"Fenalår"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"FENNEL"	"Fenchel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FENNEL_SEED"	"Fenchelsaat"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FENUGREEK"	"Bockshornklee"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"FERMENTED_CUCUMBER"	"Salzgurke"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"EASY"	"EASY"	"NO"	"NO"	""
"FERMENTED_SEASONINGS"	"fermentierte Würzzutat"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FERMENTED_TOFU"	"fermentierter Tofu"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"FETA"	"Feta"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FIG"	"Feige"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FINGERROOT"	"Fingerwurz"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"FIRM_TOFU"	"fester Tofu"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FISH"	"Fisch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FISH_MINT"	"Fischminze"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"FISH_ROE"	"Fischrogen"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"EASY"	"PLANNED"	"YES"	"NO"	""
"FISH_SAUCE"	"Fischsauce"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FISH_STOCK"	"Fischfond"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"FIVE_SPICE"	"Fünf-Gewürze-Pulver"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"FLATBREAD"	"Fladenbrot"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FLATBROD"	"Flatbrød"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"YES"	"NO"	""
"FLAXSEED"	"Leinsamen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FLEUR_DE_SEL"	"Fleur de sel"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FLOUR"	"Mehl"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FLOWER_VEGETABLES"	"Blütengemüse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FOIE_GRAS"	"Foie gras"	"APPLICABLE"	"DIFFICULT"	"PLANNED"	"YES"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"FRANKFURT_GREEN_SAUCE"	"Frankfurter Grüne Soße"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"SPECIALTY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"FREEKEH"	"Freekeh"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"FRENCH_FRIES"	"Pommes frites"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FRESH_DAIRY_PRODUCTS"	"frisches Milchprodukt"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FRESH_HERBS"	"Kräuter und Würzblätter"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"STRUCTURE_NODE"
"FRESH_TURMERIC"	"frischer Kurkuma"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"FRESHWATER_SNAILS"	"Süßwasserschnecken"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"FRIED_ONIONS"	"Röstzwiebeln"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FROG_LEGS"	"Froschschenkel"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"FRUIT"	"Obst"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"FRUIT_DUMPLING"	"Obstknödel"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"FRUIT_VEGETABLES"	"Fruchtgemüse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GAC_FRUIT"	"Gấc-Frucht"	"APPLICABLE"	"DIFFICULT"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"GALANGAL"	"Galgant"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"GAME_MEAT"	"Wildfleisch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GARAM_MASALA"	"Garam Masala"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GARLIC"	"Knoblauch"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GARLIC_BUTTER"	"Knoblauchbutter"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GARLIC_CHIVES"	"Knoblauch-Schnittlauch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"SPECIALTY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"GARLIC_POWDER"	"Knoblauchpulver"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GHEE"	"Ghee"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GINGER"	"Ingwer"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GIO_LUA"	"Giò lụa oder Chả lụa"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"SPECIALTY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"GLASS_NOODLES"	"Glasnudeln"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GNOCCHI"	"Gnocchi"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GOAT"	"Ziegenfleisch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"GOAT_CHEESE"	"Ziegenkäse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GOCHUGARU"	"Gochugaru"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"GOCHUJANG"	"Gochujang"	"APPLICABLE"	"EASY"	"PLANNED"	"YES"	"EASY"	"PLANNED"	"YES"	"NO"	""
"GOOSE"	"Gans"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"GOOSEBERRY"	"Stachelbeere"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"GOUDA"	"Gouda"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GRAINS"	"Getreide oder Pseudogetreide"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GRAPE"	"Weintrauben"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GRAPEFRUIT"	"Grapefruit"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GRAVLAX"	"Gravlax"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEK_YOGURT"	"griechischer Joghurt"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_ASPARAGUS"	"grüner Spargel"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"GREEN_BEANS"	"grüne Bohnen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_BELL_PEPPER"	"grüne Paprika"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_PAPAYA"	"grüne Papaya"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"GREEN_PEAS"	"grüne Erbsen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_PEPPER"	"grüne Pfefferkörner"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_RICE_FLAKES"	"Cốm oder grüne Reisflocken"	"APPLICABLE"	"DIFFICULT"	"DIFFICULT"	"NO"	"DIFFICULT"	"DIFFICULT"	"NO"	"NO"	""
"GREEN_SPLIT_PEAS"	"grüne Schälerbsen"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GREEN_TEA"	"grüner Tee"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"GRUYERE"	"Gruyère"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"PLANNED"	"EASY"	"YES"	"NO"	""
"GUAVA"	"Guave"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"HABANERO"	"Habanero"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HADDOCK"	"Schellfisch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"EASY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"HAKE"	"Seehecht"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"HALIBUT"	"Heilbutt"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"HALLOUMI"	"Halloumi"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HAM"	"Schinken"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HARISSA"	"Harissa"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"PLANNED"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"HARZER_CHEESE"	"Harzer Käse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HAZELNUT"	"Haselnüsse"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HEMP_SEEDS"	"Hanfsamen"	"APPLICABLE"	"PLANNED"	"EASY"	"YES"	"PLANNED"	"EASY"	"YES"	"NO"	""
"HERB_BUTTER"	"Kräuterbutter"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HERBES_DE_PROVENCE"	"Kräuter der Provence"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HERRING"	"Hering"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HERVE_CHEESE"	"Herve-Käse"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"YES"	"NO"	""
"HIJIKI"	"Hijiki"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"DIFFICULT"	"PLANNED"	"YES"	"NO"	""
"HOISIN_SAUCE"	"Hoisinsauce"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HOKKAIDO_SQUASH"	"Hokkaido-Kürbis"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HOLY_BASIL"	"Krapao"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"YES"	"DIFFICULT"	"SPECIALTY"	"YES"	"NO"	""
"HONEY"	"Honig"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HONEYDEW_MELON"	"Honigmelone"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HORSERADISH"	"Meerrettich"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HOT_MUSTARD"	"scharfer Senf"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"HOT_PAPRIKA_POWDER"	"Paprikapulver rosenscharf"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
"IBERICO_HAM"	"Jamón ibérico"	"APPLICABLE"	"PLANNED"	"PLANNED"	"NO"	"PLANNED"	"PLANNED"	"NO"	"NO"	""
"INVERTEBRATES"	"wirbellose Tiere"	"APPLICABLE"	"EASY"	"EASY"	"NO"	"EASY"	"EASY"	"NO"	"NO"	""
