"concept_code","georgia_before","tobias_before","recommended_georgia","recommended_tobias","audit_reason","evidence_focus","audit_status"
"GOAT","PLANNED","SPECIALTY","DIFFICULT","DIFFICULT","Die formgenaue Nachprüfung ergibt keinen breiten Spezialmarkt: Ein deutschlandweiter Ziegenfleischanbieter versendet ohne Temperaturkontrolle, der zweite belegte Weg ist auf einen Dresdner Laden begrenzt. Diese Kühl- und Reichweitenhürden tragen DIFFICULT für beide Profile.","MAS Impex auf Temperaturführung und Tukwila auf Liefergebiet sowie tatsächliche Erreichbarkeit aus Bornheim und Rostock prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"GOAT_CHEESE","PLANNED","EASY","EASY","EASY","Für Ziegenkäse ist die erlaubte Form „Käse aus Ziegenmilch; Frischkäse, Weichkäse und gereifte feste Formen sind mögliche Ausprägungen.“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Ziegenkäse und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"GRAVLAX","PLANNED","EASY","PLANNED","PLANNED","Bei Gravlax ist die Form „Mit Salz, Zucker und meist Dill trocken gebeizter roher Lachs“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Gravlax; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"GREEN_PEPPER","PLANNED","EASY","EASY","EASY","Für grüne Pfefferkörner ist die erlaubte Form „Unreif geerntete Pfefferfrüchte, frisch, gefriergetrocknet oder in Lake“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für grüne Pfefferkörner und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"GREEN_SPLIT_PEAS","PLANNED","EASY","EASY","EASY","Für grüne Schälerbsen ist die erlaubte Form „Getrocknete grüne geschälte und halbierte Erbsen mit mild-erdigem Geschmack“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für grüne Schälerbsen und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"GREEN_TEA","EASY","PLANNED","EASY","EASY","Für grüner Tee ist die erlaubte Form „Nicht oder nur wenig oxidierter Tee mit grasigem bis nussigem Profil“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für grüner Tee und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"HARISSA","PLANNED","SPECIALTY","PLANNED","SPECIALTY","Der effektive menschlich freigegebene Anker AV2-027 ist verbindlich: Für Georgia konkret planbarer regionaler Fachmarkt; für Tobias breit verfügbarer aber gezielt einschlägiger Spezialmarkt. Dieser konkrete Ankerweg rechtfertigt den Personenunterschied; eine katalogweite Übertragung auf Verwandte wäre unzulässig.","Anker AV2-027 als Kontrollsatz beibehalten; bei späterer Evidenzpflege den dort benannten konkreten Profilweg und die exakte Form „Nordafrikanische Chilipaste mit Gewürzen und häufig Knoblauch“ dokumentieren.","ANCHOR_PROFILE_DIFFERENCE_CONFIRMED"
"HERRING","PLANNED","EASY","PLANNED","PLANNED","Für Hering belegt der Rostocker Vorteil einen gezielten Fischmarktweg, aber keine hohe Trefferquote in mehreren gewöhnlichen Supermärkten. Nach der verbindlichen Profilregel trägt ein dedizierter Fischhändler höchstens PLANNED; deshalb gilt PLANNED für Georgia und Tobias.","Den allgemeinen deutschen Fischfachhandel oder robuste Seafood-Versandwege für die exakte Form von Hering belegen; dedizierten Fischmarkt und generische Kettenseite nicht als EASY-Nachweis verwenden.","ALIGNMENT_CORRECTION_REQUIRED"
"HERVE_CHEESE","PLANNED","DIFFICULT","DIFFICULT","DIFFICULT","Die exakte Form „Belgischer AOP-Weichkäse aus Kuhmilch mit gewaschener Rinde“ von Herve-Käse bleibt an wenige nationale, produktformspezifische oder frische/gekühlte Wege gebunden. Ohne konkret belegten breiteren Personenweg gilt der Engpass für Georgia und Tobias gleichermaßen.","Mindestens einen realen positiven Weg und eine negative Marktbreitenprüfung für Herve-Käse; Bestand, Formverwechslung, Ein-Wochen-Lieferung und Kühl-/Frischelogistik je Person dokumentieren.","ALIGNMENT_CORRECTION_REQUIRED"
"JALAPENO","EASY","PLANNED","PLANNED","PLANNED","Bei Jalapeño ist die Form „Dickfleischige frische Chili mit milder bis mittlerer Schärfe“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Jalapeño; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"JASMINE_RICE","PLANNED","EASY","EASY","EASY","Für Jasminreis ist die erlaubte Form „Duftender südostasiatischer Langkornreis mit weicherem, leicht haftendem Korn“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Jasminreis und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"JUNIPER_BERRIES","PLANNED","EASY","EASY","EASY","Für Wacholderbeeren ist die erlaubte Form „Getrocknete Wacholderbeeren als kräftiges Würzmittel insbesondere für Kohl-, Wild-, Fleisch-, Fisch- und Schmorgerichte“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Wacholderbeeren und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"KIMCHI","PLANNED","SPECIALTY","PLANNED","PLANNED","Bei Kimchi ist die Form „Koreanisches milchsauer fermentiertes Gemüse, meist Chinakohl oder Rettich, mit kräftiger Würzung“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Kimchi; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"LEMONGRASS","PLANNED","EASY","PLANNED","PLANNED","Bei Zitronengras ist die Form „Faserige aromatische Halme mit klarem Zitronenduft“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Zitronengras; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"LIEGE_SYRUP","PLANNED","DIFFICULT","DIFFICULT","DIFFICULT","Die exakte Form „Dick eingekochter belgischer Apfel-/Birnen-Fruchtsirup beziehungsweise Fruchtaufstrich nach Lütticher Tradition“ von Sirop de Liège bleibt an wenige nationale, produktformspezifische oder frische/gekühlte Wege gebunden. Ohne konkret belegten breiteren Personenweg gilt der Engpass für Georgia und Tobias gleichermaßen.","Mindestens einen realen positiven Weg und eine negative Marktbreitenprüfung für Sirop de Liège; Bestand, Formverwechslung, Ein-Wochen-Lieferung und Kühl-/Frischelogistik je Person dokumentieren.","ALIGNMENT_CORRECTION_REQUIRED"
"LIEGE_WAFFLE","PLANNED","SPECIALTY","PLANNED","PLANNED","Bei Lütticher Waffel ist die Form „Kleinere, kompakte belgische Waffel nach Lütticher Art mit eingebackenem Perl- beziehungsweise Hagelzucker und typischerweise karamellisierten…“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Lütticher Waffel; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"LIGHT_SOY_SAUCE","PLANNED","EASY","PLANNED","PLANNED","Bei helle Sojasauce ist die Form „Dünnflüssige salzige Sojasauce für Würze und Umami“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für helle Sojasauce; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"LINGONBERRY","PLANNED","EASY","PLANNED","PLANNED","Bei Preiselbeeren ist die Form „Preiselbeeren mit herber Säure; frisch oder ungesüßt tiefgekühlt gemeint, nicht Konfitüre.“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Preiselbeeren; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"LINGONBERRY_PRESERVES","PLANNED","EASY","EASY","EASY","Für Preiselbeer-Konfitüre/-kompott ist die erlaubte Form „Gesüßte Preiselbeerzubereitung wie Konfitüre, Kompott oder gerührte Preiselbeeren“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Preiselbeer-Konfitüre/-kompott und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"MACADAMIA","PLANNED","EASY","EASY","EASY","Für Macadamianüsse ist die erlaubte Form „Sehr fettreiche, cremig-knackige Macadamianüsse mit mild-buttrigem Geschmack“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Macadamianüsse und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"MACAPUNO","DIFFICULT","DIFFICULT","SPECIALTY","SPECIALTY","Konserviertes Macapuno wird aktuell von mehr als einem breit aufgestellten Asia-Händler regulär geführt und ist ohne Kühlkette versendbar; die zulässige konservierte Form erweitert den Markt über einen fragilen Einzelimport hinaus.","Asiafoodland, Asia Foodstore und weitere unabhängige Händler auf Wiederholbestand, Endkundenversand und echtes Macapuno prüfen; Nata de coco und gewöhnliches Kokosfleisch ausschließen.","EQUAL_CASE_CORRECTION_REQUIRED"
"MACKEREL","PLANNED","EASY","PLANNED","PLANNED","Für Makrele belegt der Rostocker Vorteil einen gezielten Fischmarktweg, aber keine hohe Trefferquote in mehreren gewöhnlichen Supermärkten. Nach der verbindlichen Profilregel trägt ein dedizierter Fischhändler höchstens PLANNED; deshalb gilt PLANNED für Georgia und Tobias.","Den allgemeinen deutschen Fischfachhandel oder robuste Seafood-Versandwege für die exakte Form von Makrele belegen; dedizierten Fischmarkt und generische Kettenseite nicht als EASY-Nachweis verwenden.","ALIGNMENT_CORRECTION_REQUIRED"
"MARJORAM","EASY","PLANNED","EASY","EASY","Für Majoran ist die erlaubte Form „Majoranblätter mit warmem, leicht süßlichem und herbem Aroma“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Majoran und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"MATJES","EASY","PLANNED","EASY","EASY","Für Matjes ist die erlaubte Form „Mild gesalzener und enzymatisch gereifter Hering beziehungsweise Matjes“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Matjes und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"MEAT_ASPIC","PLANNED","EASY","EASY","EASY","Für Fleischsülze ist die erlaubte Form „Kalt schnittfähiges Fleischprodukt aus gegarten Fleischstücken in natürlichem oder zugesetztem Aspik beziehungsweise Gelee“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Fleischsülze und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"MEMBRILLO","PLANNED","SPECIALTY","SPECIALTY","SPECIALTY","Für Quittenpaste scheidet der allgemeine Handel bei der Form „Feste bis schnittfähige süße Quittenpaste (dulce de membrillo) aus eingekochter Quitte“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Quittenpaste, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"MILKFISH","SPECIALTY","SPECIALTY","DIFFICULT","DIFFICULT","Für ganzen oder filetierten TK-Milchfisch sind nur wenige, überwiegend philippinisch geprägte Wege sichtbar; ein Angebot weist ausdrücklich Versandrisiko aus. Das erfüllt keine breite SPECIALTY-Marktpräsenz.","Unabhängige TK-Bangus-Endkundenwege, Liefergebiet, Kühlkette, Bestandsrhythmus und Varianten prüfen; Händlerseiten desselben Importkanals nicht mehrfach zählen.","EQUAL_CASE_CORRECTION_REQUIRED"
"MIRIN","PLANNED","SPECIALTY","SPECIALTY","SPECIALTY","Für Mirin scheidet der allgemeine Handel bei der Form „Süßer japanischer Reiswürzwein mit Alkohol und ausgeprägter Süße“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Mirin, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"MOLLUSCS","PLANNED","EASY","PLANNED","PLANNED","Für Weichtiere belegt der Rostocker Vorteil einen gezielten Fischmarktweg, aber keine hohe Trefferquote in mehreren gewöhnlichen Supermärkten. Nach der verbindlichen Profilregel trägt ein dedizierter Fischhändler höchstens PLANNED; deshalb gilt PLANNED für Georgia und Tobias.","Den allgemeinen deutschen Fischfachhandel oder robuste Seafood-Versandwege für die exakte Form von Weichtiere belegen; dedizierten Fischmarkt und generische Kettenseite nicht als EASY-Nachweis verwenden.","ALIGNMENT_CORRECTION_REQUIRED"
"MONKFISH","PLANNED","EASY","PLANNED","PLANNED","Bei Seeteufel ist die Form „Seeteufel mit festem, magerem und nahezu grätenfreiem Fleisch“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Seeteufel; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"MORCILLA","PLANNED","SPECIALTY","SPECIALTY","SPECIALTY","Für Morcilla scheidet der allgemeine Handel bei der Form „Spanische Blutwurstfamilie mit regional stark variierenden Rezepturen, etwa mit Zwiebel, Reis oder Nüssen“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Morcilla, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"MORINGA_LEAVES","SPECIALTY","DIFFICULT","SPECIALTY","SPECIALTY","Zwei unabhängige deutsche Direktdomains führen die zulässige getrocknete Blattware auf Lager und liefern per Standardversand deutschlandweit. Derselbe haltbare Weg ist für Georgia und Tobias nutzbar; ein personenspezifischer Frische- oder Transportengpass besteht für diese erlaubte Form nicht.","Asia Foodstore und 1000Kräuter als unabhängige Standardversandwege für naturbelassene beziehungsweise geschnittene Moringablätter; kulinarische Blattware gegen Kapseln, Samen und Öl abgrenzen und Marktbreite beider Domains fortlaufend prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"MSG","PLANNED","SPECIALTY","PLANNED","PLANNED","Bei Mononatriumglutamat ist die Form „Reines Mononatriumglutamat als kristalline Umami-Würze“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Mononatriumglutamat; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"MUOI_TOM","DIFFICULT","SPECIALTY","SPECIALTY","SPECIALTY","Für Muối tôm scheidet der allgemeine Handel bei der Form „Vietnamesische trockene Würzmischung aus Salz, Chili und getrockneten Garnelen, häufig zusätzlich mit Knoblauch, Zucker oder Zitronengras“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Muối tôm, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"MUSSELS","PLANNED","EASY","PLANNED","PLANNED","Für Miesmuscheln belegt der Rostocker Vorteil einen gezielten Fischmarktweg, aber keine hohe Trefferquote in mehreren gewöhnlichen Supermärkten. Nach der verbindlichen Profilregel trägt ein dedizierter Fischhändler höchstens PLANNED; deshalb gilt PLANNED für Georgia und Tobias.","Den allgemeinen deutschen Fischfachhandel oder robuste Seafood-Versandwege für die exakte Form von Miesmuscheln belegen; dedizierten Fischmarkt und generische Kettenseite nicht als EASY-Nachweis verwenden.","ALIGNMENT_CORRECTION_REQUIRED"
"MUSTARD_SEED","PLANNED","EASY","EASY","EASY","Für Senfsaat ist die erlaubte Form „Ganze Senfsamen mit nussiger bis stechend-scharfer Wirkung“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Senfsaat und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"NATTO","SPECIALTY","DIFFICULT","SPECIALTY","DIFFICULT","Der effektive menschlich freigegebene Anker AV2-037 ist verbindlich: Georgia kann große japanisch-asiatische Kühl-/TK-Sortimente gezielt erreichen; Tobias hängt von wenigen geeigneten Kühlwegen ab. Dieser konkrete Ankerweg rechtfertigt den Personenunterschied; eine katalogweite Übertragung auf Verwandte wäre unzulässig.","Anker AV2-037 als Kontrollsatz beibehalten; bei späterer Evidenzpflege den dort benannten konkreten Profilweg und die exakte Form „Japanische fermentierte Sojabohnen mit klebrigen Fäden und kräftigem, erdig-würzigem Aroma“ dokumentieren.","ANCHOR_PROFILE_DIFFERENCE_CONFIRMED"
"NECTARINE","PLANNED","EASY","PLANNED","PLANNED","Bei Nektarine ist die Form „Glattschalige Steinfrucht aus der Pfirsichfamilie mit saftigem süß-säuerlichem Fleisch“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Nektarine; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"NORA_PEPPER","SPECIALTY","PLANNED","SPECIALTY","SPECIALTY","Für Ñora-Paprika scheidet der allgemeine Handel bei der Form „Kleine runde, reif rot geerntete und getrocknete spanische Paprika (ñora), meist eingeweicht beziehungsweise ausgeschabt als Würzzutat verwendet“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Ñora-Paprika, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"NUT_AND_SEED_PASTES","PLANNED","EASY","EASY","EASY","Für Nuss- oder Samenpaste ist die erlaubte Form „Offene Familie fein vermahlener Nuss- oder Samenpasten“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Nuss- oder Samenpaste und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"OFFAL","PLANNED","EASY","PLANNED","PLANNED","Bei Innereien ist die Form „Offene Vorgabe für essbare Innereien und verwandte Schlachtteile“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Innereien; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"OILY_FISH","PLANNED","EASY","EASY","EASY","Für fettreicher Fisch ist die erlaubte Form „Offene Vorgabe für fettreiche Fischarten mit kräftigerem Geschmack und saftigem Fleisch“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für fettreicher Fisch und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"OKRA","PLANNED","SPECIALTY","SPECIALTY","SPECIALTY","Für Okra scheidet der allgemeine Handel bei der Form „Junge Okraschoten mit grasig-mildem Geschmack“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Okra, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"OYSTER_MUSHROOM","PLANNED","EASY","EASY","EASY","Für Austernpilze ist die erlaubte Form „Austernseitling mit breitem Hut, zart-faseriger Textur und mildem Umami“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Austernpilze und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"PANCETTA","PLANNED","EASY","PLANNED","PLANNED","Bei Pancetta ist die Form „Italienischer gepökelter, meist ungeräucherter Schweinebauch“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Pancetta; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"PANEER","PLANNED","SPECIALTY","SPECIALTY","SPECIALTY","Für Paneer scheidet der allgemeine Handel bei der Form „Ungereifter indischer Frischkäse mit fester, nicht schmelzender Textur“ aus; mehrere einschlägige Spezialwege tragen aber einen breiten Spezialmarkt. Region oder Demografie allein begründen weder PLANNED noch einen Personenunterschied.","Mehrere unabhängige breit aufgestellte Spezialhändler für Paneer, regulären Bestand, haushaltsübliche Menge und passenden Deutschlandversand beziehungsweise erreichbare Filiale prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"PANGASIUS","EASY","PLANNED","EASY","EASY","Für Pangasius ist die erlaubte Form „Milder weißfleischiger Süßwasserfisch, meist als grätenarmes Filet erhältlich“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Pangasius und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"PASSION_FRUIT","PLANNED","EASY","PLANNED","PLANNED","Bei Passionsfrucht ist die Form „Passionsfrucht mit aromatischem süß-saurem Fruchtmark und knackigen essbaren Kernen“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Passionsfrucht; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
