concept_code,display_name,active,random_draw_enabled,challenge_specificity,current_cooking_novelty,current_availability_georgia,current_availability_tobias,current_base_draw_weight,direct_parent_codes,direct_child_codes,curator_note,proposed_review_applicability,proposed_cooking_novelty,proposed_availability_georgia,proposed_availability_tobias,proposed_base_draw_weight_review,review_rationale,evidence,approval_status
DOENJANG,Doenjang,true,true,SPECIFIC,3,EASY,PLANNED,0.4500,FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES,,"Koreanische fermentierte Sojabohnenpaste mit kräftigem, salzig-erdigem Umami; nicht Miso oder Gochujang.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DOUBANJIANG,Doubanjiang,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,CHILI_CONDIMENTS|FERMENTED_SEASONINGS,,"Chinesische fermentierte Bohnen-Chili-Paste, häufig auf Saubohnenbasis; salzig, scharf und ausgeprägt umamireich.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRAGON_FRUIT,Drachenfrucht,true,true,SPECIFIC,3,PLANNED,PLANNED,0.3500,TROPICAL_FRUIT,,"Mild-süße Pitahaya mit saftigem, samenreichem Fruchtfleisch; rote und weiße Sorten sind umfasst.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_APRICOT,getrocknete Aprikosen,true,true,SPECIFIC,1,EASY,EASY,0.6000,APRICOT|DRIED_FRUIT,,Getrocknete Aprikosen mit konzentrierter Süße und zäher Textur; geschwefelte und ungeschwefelte Ware ist möglich.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_CHILI,getrocknete Chili,true,true,OPEN,2,EASY,EASY,0.5000,SPICES,ANCHO_CHILI|CHILI_FLAKES|CHILI_POWDER|CHIPOTLE,Ganze oder grob zerteilte getrocknete Chili mit konzentriertem Aroma; Pulver und feine Flocken sind damit nicht gemeint.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_FISH,getrockneter Fisch,true,true,OPEN,3,PLANNED,PLANNED,0.3500,PRESERVED_FISH,BONITO_FLAKES|DAING|STOCKFISH,"Offene Familie von Fischprodukten, deren wesentliche Konservierung durch Trocknung erfolgt; Salz kann, muss aber nicht beteiligt sein. Nicht bloß geräucherter oder konservierter Fisch ohne maßgebliche Trocknung.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_FRUIT,Trockenfrüchte,true,true,OPEN,2,EASY,EASY,0.4500,FRUIT,DRIED_APRICOT|PRUNE|RAISIN,"Offene Vorgabe für durch Trocknung konzentriertes Obst; Sorte, Stückgröße und eventuelle Süßung bleiben wählbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_SHRIMP,getrocknete Garnelen,true,true,SPECIFIC,3,EASY,PLANNED,0.4500,SHRIMP,,"Durch Trocknung haltbar gemachte Garnelen, ganz oder grob zerkleinert; sie liefern konzentriertes Umami für Brühen, Füllungen, Toppings und Würzpasten. Nicht Garnelenpulver oder fermentierte Garnelenpaste.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DRIED_WILD_MUSHROOMS,getrocknete Waldpilze,true,true,SPECIFIC,2,EASY,EASY,0.4500,MUSHROOMS,,"Getrocknete aromatische Waldpilze, einzeln oder gemischt; nicht auf eine einzelne Pilzart festgelegt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK,Ente,true,true,SPECIFIC,2,PLANNED,PLANNED,0.6000,POULTRY,DUCK_BREAST|DUCK_CONFIT|DUCK_LEG,"Entenfleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; Haut und Fett können prägende Bestandteile sein.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK_BREAST,Entenbrust,true,true,SPECIFIC,2,EASY,EASY,0.7000,DUCK,,Entenbrust mit dunklem Fleisch und typischer Fettschicht unter der Haut; mit oder ohne Haut verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK_CONFIT,Entenconfit,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,DUCK,,"Gesalzene Ententeile, typischerweise Keule beziehungsweise vergleichbare Teilstücke, langsam in Entenfett gegart und traditionell darin konserviert. Nicht bloß Entenfleisch oder eine frisch gebratene Entenkeule.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK_EGG,Entenei,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,EGGS,SALTED_DUCK_EGG,"Größeres, fettreicheres Ei der Ente; frisch zu garen, nicht bereits gesalzen oder fermentiert.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK_FAT,Entenfett,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,COOKING_FATS,,"Ausgelassenes Entenfett mit charakteristischem Geflügelaroma zum Braten, Confieren oder Verfeinern.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUCK_LEG,Entenkeule,true,true,SPECIFIC,2,PLANNED,PLANNED,0.6000,DUCK,,"Entenkeule mit dunklem, bindegewebsreichem Fleisch; für Braten, Schmoren oder Confieren geeignet.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DULSE,Dulse,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.2500,SEAWEED,,"Essbare rote Meeresalge mit salzigem, leicht rauchig-umamireichem Geschmack; meist getrocknet erhältlich.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUMPLING_DOUGH,Dumpling-Teig,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,DUMPLING_WRAPPERS,,Ungeschnittener Teig zur Herstellung von Dumpling-Hüllen; Zusammensetzung und Dicke bleiben offen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
DUMPLING_WRAPPERS,Teigblatt oder Dumpling-Hülle,true,true,OPEN,3,EASY,EASY,0.3500,STARCHES,DUMPLING_DOUGH|RICE_PAPER|WONTON_WRAPPERS,"Offene Vorgabe für dünne Teigblätter zum Füllen und Falten; Weizen-, Reis- und andere geeignete Hüllen sind möglich.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EDAM,Edamer,true,true,SPECIFIC,1,EASY,EASY,0.7000,CHEESE,,Halbfester Kuhmilchkäse nach Edamer Art; umfasst Edam/Edamer als Produkttyp und ist nicht auf die geschützte Herkunftsbezeichnung Edam Holland beschränkt.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EDAMAME,Edamame,true,true,SPECIFIC,2,EASY,EASY,0.7500,POD_VEGETABLES|SOYBEANS,,"Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst; nicht reife trockene Sojabohnen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EDIBLE_SNAILS,essbare Schnecken,true,true,OPEN,4,PLANNED,PLANNED,0.2500,MOLLUSCS,FRESHWATER_SNAILS|LAND_SNAILS|SEA_SNAILS,"Offene Familie essbarer Land-, Süßwasser- und Meeresschnecken als küchenfertige Zutat; Art und Lebensraum bleiben wählbar. Nicht Muscheln oder andere Weichtiergruppen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EEL,Aal,true,true,SPECIFIC,4,DIFFICULT,DIFFICULT,0.3000,OILY_FISH,,"Aal als fettreicher Fisch mit festem Fleisch; frisch, geräuchert oder anderweitig verarbeitet nur bei entsprechender Produktwahl.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EGG,Ei,true,true,SPECIFIC,1,EASY,EASY,0.9000,EGGS,,Ein einzelnes Hühnerei als allgemein verfügbare Kochzutat; Eier anderer Tierarten sind damit nicht gemeint.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EGGPLANT,Aubergine,true,true,SPECIFIC,1,EASY,EASY,1.0000,FRUIT_VEGETABLES,THAI_EGGPLANT,"Aubergine mit schwammigem, beim Garen cremig werdendem Fruchtfleisch; Sorte und Farbe bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EGGS,Eier,true,true,OPEN,1,EASY,EASY,0.7000,,DUCK_EGG|EGG|QUAIL_EGG,"Offene Vorgabe für Vogeleier; Art, Größe und Zubereitungsfunktion werden bewusst nicht festgelegt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EGG_NOODLES,Eiernudeln,true,true,SPECIFIC,1,EASY,EASY,0.8500,NOODLES,,Nudeln mit Ei als prägendem Teigbestandteil; Form und Dicke bleiben offen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EGUSI_SEEDS,Egusi-Samen,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.2000,SEEDS,,"Ölreiche Samen bestimmter westafrikanischer Melonenarten, meist gemahlen zum Binden und Aromatisieren; nicht Kürbiskerne.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ELDERBERRY,Holunderbeeren,true,true,SPECIFIC,3,PLANNED,PLANNED,0.3000,BERRIES,,"Reife Holunderbeeren mit herb-säuerlichem Aroma; nur gegart verwenden, nicht rohe unreife Beeren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ENDIVE,Endivie,true,true,SPECIFIC,2,PLANNED,PLANNED,0.6000,SALAD_GREENS,,Endivienblätter mit knackiger Textur und deutlicher Bitterkeit; glatte und krause Formen sind umfasst.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ENOKI,Enoki,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,MUSHROOMS,,"Langstielige, kleinhütige Enoki-Pilze mit zartem Biss und mildem Geschmack; kultivierte helle Ware ist üblich.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ESCARGOT,Weinbergschnecken,true,true,SPECIFIC,5,PLANNED,PLANNED,0.2000,LAND_SNAILS,,"Essbare Landschnecken nach Weinbergschnecken-/Escargot-Art, küchenfertig ausgelöst oder im Gehäuse; frisch, tiefgekühlt oder konserviert. Nicht Meer- oder Süßwasserschnecken.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
EVAPORATED_MILK,Kondensmilch,true,true,SPECIFIC,1,EASY,EASY,0.6000,FRESH_DAIRY_PRODUCTS,,"Ungesüßte, durch Wasserentzug konzentrierte Milch; nicht gezuckerte Kondensmilch.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FARRO,Emmer oder Farro,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,GRAINS,,Emmer beziehungsweise als Farro verkauftes geschältes Weizenkorn mit nussigem Geschmack und festem Biss.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FENALAR,Fenalår,true,true,SPECIFIC,4,DIFFICULT,DIFFICULT,0.2000,CURED_MEAT,,"Gesalzene und luftgetrocknete Keule von Schaf oder Lamm nach norwegischer Fenalår-Art. Nicht beliebiges Trockenfleisch, Schinken oder bereits zubereitetes Gericht.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FENNEL,Fenchel,true,true,SPECIFIC,2,EASY,EASY,0.8000,STEM_VEGETABLES,,Fenchelknolle mit knackiger bis zarter Textur und mildem Anisaroma; Grün kann mitverwendet werden.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FENNEL_SEED,Fenchelsaat,true,true,SPECIFIC,2,EASY,EASY,0.4500,SPICES,,"Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma; ganz oder gemahlen, nicht Fenchelknolle.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FENUGREEK,Bockshornklee,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,SPICES,,"Bockshornkleesamen mit herb-würzigem, leicht bitterem Aroma; ganz oder gemahlen sparsam verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FERMENTED_BLACK_BEANS,fermentierte schwarze Bohnen,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,BLACK_BEANS|FERMENTED_SEASONINGS,,"Salzig fermentierte schwarze Sojabohnen nach Douchi-Art; als Würzzutat gemeint, nicht gewöhnliche schwarze Bohnen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FERMENTED_CUCUMBER,Salzgurke,true,true,SPECIFIC,2,PLANNED,EASY,0.6000,CUCUMBER|PRESERVED_PRODUCE,,Milchsauer in Salzlake fermentierte Gurke; bewusst von essigbasierter Gewürzgurke getrennt.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FERMENTED_SEASONINGS,fermentierte Würzzutat,true,true,OPEN,2,EASY,EASY,0.4000,SAUCES_AND_PASTES,BAGOONG|COM_ME|DOENJANG|DOUBANJIANG|FERMENTED_BLACK_BEANS|FERMENTED_TOFU|FISH_SAUCE|GOCHUJANG|HOISIN_SAUCE|MAM_NEM|MISO|PLA_RA|SHRIMP_PASTE|SOUR_RYE_STARTER|SOY_SAUCE|TAI_PLA|VIETNAMESE_SOYBEAN_PASTE|WORCESTERSHIRE_SAUCE|YEAST_EXTRACT,"Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten; Rohstoff und Konsistenz bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FERMENTED_TOFU,fermentierter Tofu,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,FERMENTED_SEASONINGS|TOFU,STINKY_TOFU,"In Lake gereifte Tofuwürfel mit kräftigem, salzigem Aroma und cremiger Textur; als Würzmittel, nicht als fester Tofublock.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FETA,Feta,true,true,SPECIFIC,1,EASY,EASY,0.7000,CHEESE,,"Salzlakenkäse nach Feta-Art aus Schafmilch mit möglichem Ziegenmilchanteil; krümelig, säuerlich und salzig.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FIG,Feige,true,true,SPECIFIC,1,EASY,EASY,0.6500,FRUIT,,"Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch; frisch oder ungesüßt getrocknet verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FINGERROOT,Fingerwurz,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,SPICES,,"Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma; frisch, tiefgekühlt oder in Lake verwendbar. Nicht Ingwer oder Galgant.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FIRM_TOFU,fester Tofu,true,true,SPECIFIC,1,EASY,EASY,0.9000,TOFU,,"Fester gepresster Tofu, der schneiden, braten und marinieren verträgt; nicht Seidentofu.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FISH,Fisch,true,true,OPEN,1,EASY,EASY,0.8000,SEAFOOD,CARP|FISH_ROE|MILKFISH|OILY_FISH|PRESERVED_FISH|SURIMI|SWORDFISH|TUNA|WHITE_FISH,"Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FISH_MINT,Fischminze,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.1500,FRESH_HERBS,,"Frische Fischminzenblätter mit intensiv kräuterigem, zitrisch-fischigem Aroma; vor allem roh in Kräutertellern, Salaten und zu Fleisch- oder Suppengerichten. Trotz des Namens keine Minzart.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FISH_ROE,Fischrogen,true,true,OPEN,3,EASY,EASY,0.3000,FISH,SALMON_ROE|TROUT_ROE,"Offene Vorgabe für essbare Fischeier; Fischart, Körnung, Salzgrad und Verarbeitung bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FISH_SAUCE,Fischsauce,true,true,SPECIFIC,2,EASY,EASY,0.6000,FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES,,Salzige fermentierte Würzsauce aus Fisch und Salz mit intensivem Umami; nicht Fischfond.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FISH_STOCK,Fischfond,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,STOCKS,,Brühe oder Fond auf Basis von Fischgräten und -abschnitten; nicht Dashi oder Fischsauce.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FIVE_SPICE,Fünf-Gewürze-Pulver,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,SPICE_BLENDS,,"Chinesisch geprägte Gewürzmischung mit typischerweise Sternanis, Fenchel, Zimt, Nelke und Szechuanpfeffer; Mischungen variieren.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLATBREAD,Fladenbrot,true,true,OPEN,1,EASY,EASY,0.7000,BREAD,FLATBROD|LEFSE|PITA,"Offene Familie flacher Brote, weich oder knusprig und mit oder ohne Triebmittel; konkrete Küche und Getreide bleiben offen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLATBROD,Flatbrød,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,FLATBREAD,,"Sehr dünnes, trockenes und knuspriges norwegisches Fladenbrot nach Flatbrød-Art. Traditionelle Getreidebasis kann variieren. Nicht generisches Knäckebrot oder beliebiges weiches Fladenbrot.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLAXSEED,Leinsamen,true,true,SPECIFIC,1,EASY,EASY,0.5500,SEEDS,,Leinsamen mit nussigem Geschmack und hoher Quell- beziehungsweise Bindefähigkeit; ganz oder geschrotet verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLEUR_DE_SEL,Fleur de sel,true,true,SPECIFIC,2,EASY,EASY,0.3500,SPICES,,"Feine, an der Oberfläche von Salzgärten abgeschöpfte Meersalzkristalle nach Fleur-de-sel-Art; nicht gewöhnliches Tafelsalz und nicht beliebiges grobes Meersalz. Keine Herkunft aus Guérande wird vorausgesetzt.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLOUR,Mehl,true,false,OPEN,1,EASY,EASY,0.5500,STARCHES,BUCKWHEAT_FLOUR|CHICKPEA_FLOUR|RICE_FLOUR|RYE_FLOUR|WHEAT_FLOUR,"Offene Vorgabe für fein gemahlenes Getreide, Pseudogetreide oder Hülsenfrüchte; Rohstoff und Backeigenschaften bleiben wählbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FLOWER_VEGETABLES,Blütengemüse,true,true,OPEN,2,EASY,EASY,0.5000,VEGETABLES,ARTICHOKE|BANANA_BLOSSOM|BROCCOLI|CAULIFLOWER|ROMANESCO,"Offene Vorgabe für Gemüse, dessen Blütenstand oder Blütenknospe im Mittelpunkt steht, etwa Brokkoli oder Artischocke.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FOIE_GRAS,Foie gras,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.1500,OFFAL|POULTRY,,Fettleberprodukt aus Ente oder Gans; umfasst rohe beziehungsweise zur weiteren Verarbeitung geeignete sowie klassische ganze oder Block-Produktformen. Nicht gewöhnliche Leber und nicht mit Leberpastete gleichsetzen.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRANKFURT_GREEN_SAUCE,Frankfurter Grüne Soße,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3000,READY_SAUCES_AND_PASTES,,"Frankfurter Kräutersauce mit charakteristischer Sieben-Kräuter-Basis; weitere Bestandteile und genaue Rezeptur können variieren. Gemeint ist die zubereitete Sauce, nicht lediglich das Kräuterpäckchen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FREEKEH,Freekeh,true,true,SPECIFIC,4,PLANNED,DIFFICULT,0.3500,GRAINS,,"Grün geernteter, gerösteter und gebrochener Weizen mit rauchig-nussigem Geschmack und festem Biss.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRENCH_FRIES,Pommes frites,true,true,SPECIFIC,1,EASY,EASY,0.6500,POTATO,,"Pommes frites als eigenständige Kartoffel-Produktform: in Stäbchen geschnittene und frittierte beziehungsweise typischerweise vorfrittierte Kartoffeln. Umfasst auch handelsübliche tiefgekühlte Pommes; nicht beliebige Bratkartoffeln, Kartoffelspalten oder Chips.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRESHWATER_SNAILS,Süßwasserschnecken,true,true,OPEN,5,DIFFICULT,DIFFICULT,0.1200,EDIBLE_SNAILS|SHELLFISH,,"Offene Vorgabe für essbare Süßwasserschnecken, ganz oder ausgelöst und küchenfertig gereinigt. Nicht Weinberg- oder Meeresschnecken und nicht bereits zubereitete Schneckensuppe.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRESH_DAIRY_PRODUCTS,frisches Milchprodukt,true,false,OPEN,1,EASY,EASY,0.5000,DAIRY_PRODUCTS,CREAM|CREAM_CHEESE|EVAPORATED_MILK|MILK|YOGURT,"Offene Vorgabe für frische, nicht gereifte Milchprodukte wie Milch, Sahne oder Frischkäse.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRESH_HERBS,Kräuter und Würzblätter,true,false,OPEN,1,,,0.6500,,BANANA_LEAVES|BASIL|BAY_LEAF|CHERVIL|CHIVES|CILANTRO|CULANTRO|CURRY_LEAVES|DILL|FISH_MINT|GARLIC_CHIVES|KAFFIR_LIME_LEAVES|LA_LOT_LEAVES|LEMONGRASS|LOVAGE|MARJORAM|MINT|OREGANO|PANDAN_LEAVES|PARSLEY|PERILLA_LEAVES|RICE_PADDY_HERB|ROSEMARY|SAGE|TARRAGON|THYME|VIETNAMESE_CORIANDER,Offene Vorgabe für frische Küchenkräuter und aromatische Würzblätter; konkrete Pflanze und Intensität bleiben offen.,NOT_APPLICABLE_STRUCTURE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,PROPOSED_NOT_APPLICABLE
FRESH_TURMERIC,frischer Kurkuma,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4000,SPICES,,Frisches Kurkuma-Rhizom mit erdig-pfeffrigem Aroma und starker gelber Färbung; nicht getrocknetes Pulver.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRIED_ONIONS,Röstzwiebeln,true,true,SPECIFIC,1,EASY,EASY,0.6500,ONION,,Knusprig frittierte Röstzwiebeln als fertige Zutat beziehungsweise Topping; nicht lediglich frisch angebratene Zwiebel.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FROG_LEGS,Froschschenkel,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.1200,MEAT,,"Essbare Froschschenkel mit zartem, mildem Fleisch; frisch oder tiefgekühlt als ganze Schenkelpaare beziehungsweise Teilstücke verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRUIT,Obst,true,true,OPEN,1,EASY,EASY,0.4500,,BERRIES|CITRUS_FRUIT|DATE|DRIED_FRUIT|FIG|GRAPE|KIWI|MELONS|PERSIMMON|POMEGRANATE|POME_FRUIT|STONE_FRUIT|TROPICAL_FRUIT,"Offene Vorgabe für kulinarisch als Obst verwendete Früchte; Art, Säure, Süße und Textur bleiben bewusst wählbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRUIT_DUMPLING,Obstknödel,true,true,OPEN,2,PLANNED,PLANNED,0.4500,STARCHES,,"Süßer gekochter oder gedämpfter Knödel mit Fruchtfüllung; Teig kann unter anderem Hefe-, Quark- oder Kartoffelteig sein, die verwendete Frucht variiert.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
FRUIT_VEGETABLES,Fruchtgemüse,true,true,OPEN,1,EASY,EASY,0.6000,VEGETABLES,BELL_PEPPER|BITTER_MELON|CHILI|CUCUMBER|EGGPLANT|OKRA|PEA_EGGPLANT|PUMPKIN|TOMATILLO|TOMATO|ZUCCHINI,"Offene Vorgabe für botanische Früchte, die herzhaft als Gemüse verwendet werden, etwa Tomate, Paprika oder Kürbis.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GAC_FRUIT,Gấc-Frucht,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.1500,TROPICAL_FRUIT,,Reife Gấc-Frucht beziehungsweise ihr tief orange-rotes Fruchtfleisch um die Samen; vor allem zum Färben und mild-fruchtigen Aromatisieren von Klebreis und Festgebäck. Nicht Drachenfrucht oder bloße Lebensmittelfarbe.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GALANGAL,Galgant,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,SPICES,,"Südostasiatisches Rhizom mit zitrisch-pfeffrigem, harzigem Aroma; frisch oder tiefgekühlt, nicht mit Ingwer gleichsetzen.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GAME_MEAT,Wildfleisch,true,true,OPEN,3,EASY,EASY,0.4500,MEAT,MOOSE|RABBIT|REINDEER|VENISON|WILD_BOAR,"Offene Vorgabe für Fleisch jagdbarer Wildtiere; Tierart, Zuschnitt und Intensität bleiben bewusst wählbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GARAM_MASALA,Garam Masala,true,true,SPECIFIC,2,EASY,EASY,0.5000,SPICE_BLENDS,,Indische Gewürzmischung aus warm-aromatischen Gewürzen; Zusammensetzung und Verwendung als ganze oder gemahlene Mischung variieren.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GARLIC,Knoblauch,true,true,SPECIFIC,1,EASY,EASY,0.7500,ALLIUM_VEGETABLES,BLACK_GARLIC,"Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
GARLIC_BUTTER,Knoblauchbutter,true,true,SPECIFIC,1,EASY,EASY,0.6500,BUTTER,,"Butterzubereitung mit Knoblauch als prägendem Aroma; weitere Kräuter sind möglich, aber nicht erforderlich.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
