"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class_georgia"	"market_basis_georgia"	"proposed_availability_georgia"	"availability_note_georgia"	"evidence_requirement_georgia"	"availability_evidence_georgia"	"market_class_tobias"	"market_basis_tobias"	"proposed_availability_tobias"	"availability_note_tobias"	"evidence_requirement_tobias"	"availability_evidence_tobias"	"review_flags"	"approval_status"
"CASSAVA"	"Maniok"	"APPLICABLE"	"Stärkereiche Maniokwurzel, die nur geschält und ausreichend gegart verwendet wird; nicht Tapiokastärke."	"SPECIALTY_BROAD"	"Katalogpfad Wurzel- und Knollengemüse → stärkehaltige Zutat oder Sättigungsbeilage → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Tapiokastärke«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler Asiatischer Lebensmittelladen – Maniok sowie Asia4Friends – Gemüse."	"SPECIALTY"	"Maniok ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler Asiatischer Lebensmittelladen – Maniok sowie Asia4Friends – Gemüse."	"REQUIRED"	"AV2N-A-0034|AV2N-A-0035"	"SPECIALTY_BROAD"	"Tobias prüft „Maniok“ in Rostock über Asia4Friends – Gemüse und Asiatischer Lebensmittelladen – Maniok, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Frischeversand ausweist."	"SPECIALTY"	"Maniok: Rostocker Bezugsweg über Asia4Friends – Gemüse und Asiatischer Lebensmittelladen – Maniok; dokumentiert sind eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Frischeversand."	"REQUIRED"	"AV2N-A-0034|AV2N-A-0035"	"EVIDENCE_REQUIRED|RESEARCH_REQUIRED|SPECIALTY_MARKET_BREADTH|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CATFISH"	"Wels"	"APPLICABLE"	"Wels als festfleischiger Süßwasserfisch; Art und Zuschnitt bleiben offen."	"GENERAL_BROAD"	"Ahrenhorster – frisches Wallerfilet ohne Haut und Bauch belegt: Ahrenhorster bietet frisches Wallerfilet aus deutscher Aquakultur im Warenkorb an, verarbeitet es am Vortag und verschickt die vakuumierten Filets mit Kühlpacks per DPD Food Express. Der Bezug erfolgt über Deutschland; Wunschtermin per DPD Food Express, Verarbeitung am Vortag; maßgeblich ist CHILLED_SHIPPING. Belegt ist enthäutetes Filet in einer Vorratsbox ab zwei Kilogramm, nicht jeder offene Welszuschnitt; Liefertermine bleiben bestellabhängig."	"PLANNED"	"Wels: Ahrenhorster bietet frisches Wallerfilet aus deutscher Aquakultur im Warenkorb an, verarbeitet es am Vortag und verschickt die vakuumierten Filets mit Kühlpacks per DPD Food Express."	"OPTIONAL"	"AV2N-A-0036"	"GENERAL_BROAD"	"Ahrenhorster – frisches Wallerfilet ohne Haut und Bauch belegt: Ahrenhorster bietet frisches Wallerfilet aus deutscher Aquakultur im Warenkorb an, verarbeitet es am Vortag und verschickt die vakuumierten Filets mit Kühlpacks per DPD Food Express. Der Bezug erfolgt über Deutschland; Wunschtermin per DPD Food Express, Verarbeitung am Vortag; maßgeblich ist CHILLED_SHIPPING. Belegt ist enthäutetes Filet in einer Vorratsbox ab zwei Kilogramm, nicht jeder offene Welszuschnitt; Liefertermine bleiben bestellabhängig."	"PLANNED"	"Wels: Ahrenhorster bietet frisches Wallerfilet aus deutscher Aquakultur im Warenkorb an, verarbeitet es am Vortag und verschickt die vakuumierten Filets mit Kühlpacks per DPD Food Express."	"REQUIRED"	"AV2N-A-0036"	"RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAULIFLOWER"	"Blumenkohl"	"APPLICABLE"	"Kohlgemüse mit dichtem, hellem Blütenstand; Blätter und Strunk können kulinarisch mitverwendet werden."	"GENERAL_LOCAL"	"Katalogpfad Kohlgemüse → Blütengemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »Blätter und Strunk können kulinarisch mitverwendet werden«. Regelweg in Bornheim über die gewöhnliche Bornheimer Auslage »Obst- und Gemüseabteilung«."	"EASY"	"Blumenkohl: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Blumenkohl“ führt der Rostocker Marktweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Blumenkohl: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAVA"	"Cava"	"APPLICABLE"	"Schaumwein der geschützten Ursprungsbezeichnung Cava, überwiegend in Spanien nach traditioneller Flaschengärung erzeugt; Süßegrad und Reife können variieren. Nicht generischer Schaumwein, Champagner oder Prosecco."	"GENERAL_BROAD"	"Spanischer Schaumwein mit Cava-Bezeichnung im allgemeinen Versand; vomFASS listet Cava Brut Reserva Stars aktuell verfügbar und mit deutscher Standardlieferung."	"PLANNED"	"Cava: Spanischer Schaumwein mit Cava-Bezeichnung im allgemeinen Versand; vomFASS listet Cava Brut Reserva Stars aktuell verfügbar und mit deutscher Standardlieferung."	"REQUIRED"	"AV2N-A-0037"	"GENERAL_BROAD"	"Spanischer Cava Reserva im allgemeinen Versand; vomFASS weist Cava Brut Reserva Stars aktuell als verfügbar mit kurzer Deutschlandlieferung aus."	"PLANNED"	"Cava: Spanischer Cava Reserva im allgemeinen Versand; vomFASS weist Cava Brut Reserva Stars aktuell als verfügbar mit kurzer Deutschlandlieferung aus."	"OPTIONAL"	"AV2N-A-0037"	"BORDERLINE_PLANNED|EVIDENCE_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CAYENNE_PEPPER"	"Cayennepfeffer"	"APPLICABLE"	"Fein gemahlenes scharfes Chilipulver nach Cayenne-Art; trotz des Namens kein echter Pfeffer."	"GENERAL_LOCAL"	"Katalogpfad Chilipulver → getrocknete Chili → Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »trotz des Namens kein echter Pfeffer«. Regelweg in Bornheim über das örtliche Sortiment »Gewürz- und Trockenwürzregal« beim Wocheneinkauf in Bornheim."	"EASY"	"Cayennepfeffer: gewöhnlicher lokaler Bezugsweg über den Bereich »Gewürz- und Trockenwürzregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Beim Einkauf von „Cayennepfeffer“ nutzt Tobias das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Cayennepfeffer: gewöhnlicher lokaler Bezugsweg über den Bereich »Cayennepfeffer«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CELERIAC"	"Knollensellerie"	"APPLICABLE"	"Knollensellerie mit festem, intensiv sellerieartigem Fleisch; nicht Staudensellerie."	"GENERAL_LOCAL"	"Katalogpfad Wurzel- und Knollengemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Staudensellerie«. Regelweg in Bornheim über die gewöhnliche Bornheimer Auslage »Obst- und Gemüseabteilung«."	"EASY"	"Knollensellerie: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Die Beschaffung von „Knollensellerie“ erfolgt in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Knollensellerie: gewöhnlicher lokaler Bezugsweg über den Bereich »Knollensellerie«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CELERY_STALK"	"Staudensellerie"	"APPLICABLE"	"Staudensellerie mit knackigen Blattstielen und frischem Selleriearoma; nicht Knollensellerie."	"GENERAL_LOCAL"	"Katalogpfad Stängelgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht Knollensellerie«. Regelweg in Bornheim über den Bereich »Obst- und Gemüseabteilung« eines gewöhnlichen Bornheimer Vollsortimenters."	"EASY"	"Staudensellerie: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Beim Einkauf von „Staudensellerie“ nutzt Tobias die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Staudensellerie: gewöhnlicher lokaler Bezugsweg über den Bereich »Staudensellerie«."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHAMPIGNON"	"frische Champignons"	"APPLICABLE"	"Frischer Zuchtchampignon ohne Festlegung auf die weiße oder braune Form; konservierte Champignons und andere Speisepilze sind nicht gemeint."	"GENERAL_LOCAL"	"Katalogpfad Champignons → Pilze → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »konservierte Champignons und andere Speisepilze sind nicht gemeint«. Regelweg in Bornheim über nahe Supermarktfilialen in Bornheim mit dem Bereich »Obst- und Gemüseabteilung«."	"EASY"	"frische Champignons: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „frische Champignons“ führt der Rostocker Marktweg über den Pilzbereich der Obst- und Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"frische Champignons: Rostocker Bezugsweg über den Pilzbereich der Obst- und Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHAMPIGNONS"	"Champignons"	"APPLICABLE"	"Offene Champignonfamilie einschließlich frischer und konservierter Produktformen; nicht sämtliche Speisepilze."	"GENERAL_LOCAL"	"Katalogpfad Pilze → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht sämtliche Speisepilze«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«."	"EASY"	"Champignons: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Die Beschaffung von „Champignons“ erfolgt in Rostock über den Pilzbereich der Obst- und Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Champignons: gewöhnlicher lokaler Bezugsweg über den Bereich »Champignons«."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHANTERELLE"	"Pfifferlinge"	"APPLICABLE"	"Pfifferlinge mit festem Biss und pfeffrig-fruchtigem Waldpilzaroma; frisch, tiefgekühlt oder getrocknet verwendbar."	"GENERAL_BROAD"	"Violey – BioGourmet Pfifferlinge getrocknet 20 g belegt formgenau: Violey führt formgenaue getrocknete Pfifferlinge als haltbare 20-g-Packung mit positiv ausgewiesenem Bestand. Für Georgia in Bornheim gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; Logistik STANDARD_SHIPPING. Die stabile Route nutzt die zulässige Trockenform; frische Pfifferlinge bleiben saison- und marktbestandsabhängig."	"PLANNED"	"Pfifferlinge: Violey führt formgenaue getrocknete Pfifferlinge als haltbare 20-g-Packung mit positiv ausgewiesenem Bestand."	"REQUIRED"	"AV2N-A-0038|AV2N-P-0004"	"GENERAL_BROAD"	"Violey – BioGourmet Pfifferlinge getrocknet 20 g belegt formgenau: Violey führt formgenaue getrocknete Pfifferlinge als haltbare 20-g-Packung mit positiv ausgewiesenem Bestand. Für Tobias in Rostock gilt: Deutschlandweiter Standardversand nach Bornheim und Rostock; Logistik STANDARD_SHIPPING. Die stabile Route nutzt die zulässige Trockenform; frische Pfifferlinge bleiben saison- und marktbestandsabhängig."	"PLANNED"	"Pfifferlinge: Violey führt formgenaue getrocknete Pfifferlinge als haltbare 20-g-Packung mit positiv ausgewiesenem Bestand."	"REQUIRED"	"AV2N-A-0038|AV2N-P-0004"	"BORDERLINE_PLANNED|EVIDENCE_REQUIRED|FORM_SENSITIVE|RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHARD"	"Mangold"	"APPLICABLE"	"Mangold mit fleischigen Stielen und großen Blättern; beide Teile sind essbar und benötigen oft unterschiedliche Garzeiten."	"GENERAL_BROAD"	"Katalogpfad Blattgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »beide Teile sind essbar und benötigen oft unterschiedliche Garzeiten«. Allgemein planbarer, aber nicht lokal garantierter Weg über eine konkrete Vorbestellung oder Bestandsabfrage für Gemüse oder Pilz."	"PLANNED"	"Mangold ist über eine konkrete Vorbestellung oder Bestandsabfrage für Gemüse oder Pilz im allgemeinen deutschen Handel planbar, lokal aber kein verlässlicher Standardartikel."	"OPTIONAL"	""	"GENERAL_BROAD"	"Für „Mangold“ wird das Angebot über gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler kontrolliert."	"PLANNED"	"Mangold: Für „Mangold“ wird das Angebot über gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler kontrolliert."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHEDDAR"	"Cheddar"	"APPLICABLE"	"Fester bis halbfester Kuhmilchkäse nach Cheddar-Art; Reifegrad reicht von mild-cremig bis kräftig-würzig."	"GENERAL_LOCAL"	"Katalogpfad Käse → gesäuertes Milchprodukt → Milchprodukte. Warengruppe Käse, formrelevanter Prüfhinweis aus der vollständigen Definition: »Reifegrad reicht von mild-cremig bis kräftig-würzig«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Käsekühlung oder Käsetheke«."	"EASY"	"Cheddar: gewöhnlicher lokaler Bezugsweg über den Bereich »Käsekühlung oder Käsetheke«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Beim Einkauf von „Cheddar“ nutzt Tobias die Käsekühlung oder Käsetheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Cheddar: gewöhnlicher lokaler Bezugsweg über den Bereich »Cheddar«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHEESE"	"Käse"	"APPLICABLE"	"Offene Vorgabe für Käse; Milchart, Textur, Reife und Intensität bleiben als echte Auswahlentscheidung offen."	"GENERAL_LOCAL"	"Katalogpfad gesäuertes Milchprodukt → Milchprodukte. Warengruppe Käse, formrelevanter Prüfhinweis aus der vollständigen Definition: »Milchart, Textur, Reife und Intensität bleiben als echte Auswahlentscheidung offen«. Regelweg in Bornheim über den Bereich »Käsekühlung oder Käsetheke« eines gewöhnlichen Bornheimer Vollsortimenters."	"EASY"	"Käse: gewöhnlicher lokaler Bezugsweg über den Bereich »Käsekühlung oder Käsetheke«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Käse“ in Rostock über die Käsekühlung oder Käsetheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Käse: Rostocker Bezugsweg über die Käsekühlung oder Käsetheke eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERRY"	"Kirsche"	"APPLICABLE"	"Süßkirsche als frische oder ungesüßt tiefgekühlte Steinfrucht; Sauerkirsche bleibt getrennt."	"GENERAL_LOCAL"	"Katalogpfad Steinobst → Obst. Warengruppe Obst, formrelevanter Prüfhinweis aus der vollständigen Definition: »Sauerkirsche bleibt getrennt«. Regelweg in Bornheim über den Bereich »Obst- und Gemüseabteilung« eines gewöhnlichen Bornheimer Vollsortimenters."	"EASY"	"Kirsche: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Kirsche“ wird das Angebot über den Obst- oder Tiefkühlobstbereich eines gewöhnlichen großen Rostocker Supermarkts kontrolliert."	"EASY"	"Kirsche: gewöhnlicher lokaler Bezugsweg über den Bereich »Kirsche«."	"OPTIONAL"	""	"FORM_SENSITIVE|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERRY_TOMATO"	"Kirschtomaten"	"APPLICABLE"	"Kleine süße Tomaten mit hohem Schalenanteil; Farbe und konkrete Sorte bleiben offen."	"GENERAL_LOCAL"	"Katalogpfad Tomate → Fruchtgemüse → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »Farbe und konkrete Sorte bleiben offen«. Regelweg in Bornheim über die gewöhnliche Bornheimer Auslage »Obst- und Gemüseabteilung«."	"EASY"	"Kirschtomaten: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Kirschtomaten“ wird das Angebot über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts kontrolliert."	"EASY"	"Kirschtomaten: gewöhnlicher lokaler Bezugsweg über den Bereich »Kirschtomaten«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHERVIL"	"Kerbel"	"APPLICABLE"	"Frischer Kerbel als fein-aromatisches Küchenkraut. Nicht Kerbelwurzel und nicht getrocknete Kräutermischung."	"GENERAL_BROAD"	"Früchte-Kontor belegt frischen Bundkerbel mit deutschlandweitem vorgekühltem Standard- oder Kühlversand; REWE und OBI ergänzen allgemeine, standortabhängige Kettenlistings. fruits & friends ist passiv und zählt nicht positiv."	"PLANNED"	"Frischer Kerbel ist über einen aktiven Gemüseversender sowie ergänzende allgemeine Kettenlistings planbar; Saison und lokaler Bestand bleiben variabel."	"REQUIRED"	"AV2N-A-0039|AV2N-P-0005|AV2N-R-0003|AV2N-R-0004|AV2N-R-0005"	"GENERAL_BROAD"	"Früchte-Kontor belegt frischen Bundkerbel mit deutschlandweitem vorgekühltem Standard- oder Kühlversand; REWE und OBI ergänzen allgemeine, standortabhängige Kettenlistings. fruits & friends ist passiv und zählt nicht positiv."	"PLANNED"	"Frischer Kerbel ist über einen aktiven Gemüseversender sowie ergänzende allgemeine Kettenlistings planbar; Saison und lokaler Bestand bleiben variabel."	"REQUIRED"	"AV2N-A-0039|AV2N-P-0005|AV2N-R-0003|AV2N-R-0004|AV2N-R-0005"	"EVIDENCE_REQUIRED|FORM_SENSITIVE|NARROW_ROUTE|NICHE_IMPORT|RATING_RECONCILED_V2|RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHESTNUT"	"Esskastanien"	"APPLICABLE"	"Stärkereiche Esskastanien mit süßlich-nussigem Geschmack; gegart, vakuumiert oder als ungesüßtes Püree verwendbar."	"GENERAL_BROAD"	"Kleine Abtei – gekochte vakuumierte Maronen 200 g belegt formgenau: Kleine Abtei bietet gekochte, geschälte und vakuumierte Edelkastanien ohne Wasser- oder Salzzusatz sofort ab Lager an. Für Georgia in Bornheim gilt: Versand nach Deutschland und Österreich; 1–3 Werktage; Logistik STANDARD_SHIPPING. Der haltbare Weg belegt die gegarte Form, nicht frische Saisonmaronen oder gesüßte Kastaniencreme."	"PLANNED"	"Esskastanien: Kleine Abtei bietet gekochte, geschälte und vakuumierte Edelkastanien ohne Wasser- oder Salzzusatz sofort ab Lager an."	"OPTIONAL"	"AV2N-A-0040|AV2N-P-0006"	"GENERAL_BROAD"	"Kleine Abtei – gekochte vakuumierte Maronen 200 g belegt formgenau: Kleine Abtei bietet gekochte, geschälte und vakuumierte Edelkastanien ohne Wasser- oder Salzzusatz sofort ab Lager an. Für Tobias in Rostock gilt: Versand nach Deutschland und Österreich; 1–3 Werktage; Logistik STANDARD_SHIPPING. Der haltbare Weg belegt die gegarte Form, nicht frische Saisonmaronen oder gesüßte Kastaniencreme."	"PLANNED"	"Esskastanien: Kleine Abtei bietet gekochte, geschälte und vakuumierte Edelkastanien ohne Wasser- oder Salzzusatz sofort ab Lager an."	"REQUIRED"	"AV2N-A-0040|AV2N-P-0006"	"RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHIA_SEEDS"	"Chiasamen"	"APPLICABLE"	"Kleine quellfähige Samen, die Flüssigkeit gelartig binden; hell oder dunkel verwendbar."	"GENERAL_LOCAL"	"Katalogpfad Kerne und Samen. Warengruppe Nuss, Saat oder Mus, formrelevanter Prüfhinweis aus der vollständigen Definition: »hell oder dunkel verwendbar«. Regelweg in Bornheim über das örtliche Sortiment »Nuss-, Saaten- oder Nussmusregal« beim Wocheneinkauf in Bornheim."	"EASY"	"Chiasamen: gewöhnlicher lokaler Bezugsweg über den Bereich »Nuss-, Saaten- oder Nussmusregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Die Beschaffung von „Chiasamen“ erfolgt in Rostock über das Nuss-, Saaten-, Back- oder Brotaufstrichregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Chiasamen: gewöhnlicher lokaler Bezugsweg über den Bereich »Chiasamen«."	"OPTIONAL"	""	"RATING_RECONCILED_V2|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN"	"Hähnchen"	"APPLICABLE"	"Hähnchenfleisch ohne Festlegung auf einen Zuschnitt; ganzes Tier und unterschiedliche Teilstücke sind umfasst."	"GENERAL_LOCAL"	"Katalogpfad Geflügel → Fleisch. Warengruppe Fleisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganzes Tier und unterschiedliche Teilstücke sind umfasst«. Regelweg in Bornheim über die gewöhnliche Bornheimer Auslage »Fleischkühlung oder Bedientheke«."	"EASY"	"Hähnchen: Gängige Hähnchenformen gehören zum gewöhnlichen lokalen Supermarktsortiment."	"OPTIONAL"	"AV2E-003"	"GENERAL_LOCAL"	"Hähnchen: Gängige Hähnchenformen gehören zum gewöhnlichen lokalen Supermarktsortiment."	"EASY"	"Hähnchen: Gängige Hähnchenformen gehören zum gewöhnlichen lokalen Supermarktsortiment."	"OPTIONAL"	"AV2E-003"	"REFERENCE_ANCHOR|REFERENCE_ANCHOR_V2|TOBIAS_ROSTOCK_PROFILE"	"RATING_APPROVED_NOTE_PROPOSED_REFERENCE_ANCHOR_V2"
"CHICKEN_BREAST"	"Hähnchenbrust"	"APPLICABLE"	"Mageres helles Brustfleisch vom Hähnchen; mit oder ohne Haut und Knochen verwendbar."	"GENERAL_LOCAL"	"Katalogpfad Hähnchen → Geflügel → Fleisch. Warengruppe Fleisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »mit oder ohne Haut und Knochen verwendbar«. Regelweg in Bornheim über den Bereich »Fleischkühlung oder Bedientheke« eines gewöhnlichen Bornheimer Vollsortimenters."	"EASY"	"Hähnchenbrust: gewöhnlicher lokaler Bezugsweg über den Bereich »Fleischkühlung oder Bedientheke«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Hähnchenbrust“ führt der Rostocker Marktweg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Hähnchenbrust: Rostocker Bezugsweg über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_DRUMSTICKS"	"Hähnchenunterkeulen"	"APPLICABLE"	"Unterer Teil der Hähnchenkeule mit Knochen und dunklem Fleisch; nicht die vollständige Keule."	"GENERAL_LOCAL"	"Katalogpfad Hähnchen → Geflügel → Fleisch. Warengruppe Fleisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht die vollständige Keule«. Regelweg in Bornheim über nahe Supermarktfilialen in Bornheim mit dem Bereich »Fleischkühlung oder Bedientheke«."	"EASY"	"Hähnchenunterkeulen: gewöhnlicher lokaler Bezugsweg über den Bereich »Fleischkühlung oder Bedientheke«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Die Beschaffung von „Hähnchenunterkeulen“ erfolgt in Rostock über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Hähnchenunterkeulen: gewöhnlicher lokaler Bezugsweg über den Bereich »Hähnchenunterkeulen«."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHICKEN_FEET"	"Hühnerfüße"	"APPLICABLE"	"Küchenfertig gereinigte Hühnerfüße mit hohem Haut-, Sehnen- und Knorpelanteil; frisch oder tiefgekühlt verwendbar. Nicht bereits marinierte, eingelegte oder vollständig zubereitete Snackprodukte."	"SPECIALTY_BROAD"	"Katalogpfad Hähnchen → Innereien → Geflügel → Fleisch. Warengruppe Fleisch, formrelevanter Prüfhinweis aus der vollständigen Definition: »Nicht bereits marinierte, eingelegte oder vollständig zubereitete Snackprodukte«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler AsianBrand – Hühnerfüße tiefgefroren sowie Asia Moin – Hühnerfüße."	"SPECIALTY"	"Hühnerfüße ist im einschlägigen Spezialmarkt breit etabliert; dokumentierte reguläre Wege sind die voneinander unabhängigen Händler AsianBrand – Hühnerfüße tiefgefroren sowie Asia Moin – Hühnerfüße."	"REQUIRED"	"AV2N-A-0041|AV2N-A-0042"	"SPECIALTY_BROAD"	"Tobias prüft „Hühnerfüße“ in Rostock über Asia Moin – Hühnerfüße und AsianBrand – Hühnerfüße tiefgefroren, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Tiefkühlversand ausweist."	"SPECIALTY"	"Hühnerfüße: Rostocker Bezugsweg über Asia Moin – Hühnerfüße und AsianBrand – Hühnerfüße tiefgefroren; dokumentiert sind eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Tiefkühlversand."	"REQUIRED"	"AV2N-A-0041|AV2N-A-0042"	"EVIDENCE_REQUIRED|FORM_SENSITIVE|RESEARCH_REQUIRED|SPECIALTY_MARKET_BREADTH|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
