"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability","availability_profile","product_form_context"
"DARK_SOY_SAUCE","dunkle Sojasauce","SPECIFIC","SOY_SAUCE","","Dunkle, häufig dickere und leicht süßliche Sojasauce vor allem für Farbe und Tiefe; nicht helle Sojasauce.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Dunkle, häufig dickere und leicht süßliche Sojasauce vor allem für Farbe und Tiefe; nicht helle Sojasauce."
"DASHI","Dashi","SPECIFIC","STOCKS","","Japanischer klarer Würzfond, typischerweise auf Kombu und/oder Bonitoflocken; Instant- und frisch angesetzte Varianten sind umfasst.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Japanischer klarer Würzfond, typischerweise auf Kombu und/oder Bonitoflocken; Instant- und frisch angesetzte Varianten sind umfasst."
"DATE","Dattel","SPECIFIC","FRUIT","","Dattel mit dichtem, karamellig-süßem Fruchtfleisch; frisch oder getrocknet verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Dattel mit dichtem, karamellig-süßem Fruchtfleisch; frisch oder getrocknet verwendbar."
"DATE_SYRUP","Dattelsirup","SPECIFIC","SYRUP","","Dunkler konzentrierter Sirup aus Datteln mit fruchtig-karamelligem Geschmack; nicht Melasse.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Dunkler konzentrierter Sirup aus Datteln mit fruchtig-karamelligem Geschmack; nicht Melasse."
"DIJON_MUSTARD","Dijon-Senf","SPECIFIC","MUSTARD","","Feiner bis glatter, deutlich scharfer Senf nach Dijon-Art; nicht körniger Senf und nicht zwingend AOP-Herkunft.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Feiner bis glatter, deutlich scharfer Senf nach Dijon-Art; nicht körniger Senf und nicht zwingend AOP-Herkunft."
"DILL","Dill","SPECIFIC","FRESH_HERBS","","Frische Dillspitzen mit anisartig-grünem Aroma; Stiele können mitverwendet werden, Dillsaat ist nicht gemeint.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Frische Dillspitzen mit anisartig-grünem Aroma; Stiele können mitverwendet werden, Dillsaat ist nicht gemeint."
"DOENJANG","Doenjang","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","","Koreanische fermentierte Sojabohnenpaste mit kräftigem, salzig-erdigem Umami; nicht Miso oder Gochujang.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Koreanische fermentierte Sojabohnenpaste mit kräftigem, salzig-erdigem Umami; nicht Miso oder Gochujang."
"DOUBANJIANG","Doubanjiang","SPECIFIC","CHILI_CONDIMENTS|FERMENTED_SEASONINGS","","Chinesische fermentierte Bohnen-Chili-Paste, häufig auf Saubohnenbasis; salzig, scharf und ausgeprägt umamireich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Chinesische fermentierte Bohnen-Chili-Paste, häufig auf Saubohnenbasis; salzig, scharf und ausgeprägt umamireich."
"DRAGON_FRUIT","Drachenfrucht","SPECIFIC","TROPICAL_FRUIT","","Mild-süße Pitahaya mit saftigem, samenreichem Fruchtfleisch; rote und weiße Sorten sind umfasst.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Mild-süße Pitahaya mit saftigem, samenreichem Fruchtfleisch; rote und weiße Sorten sind umfasst."
"DRIED_APRICOT","getrocknete Aprikosen","SPECIFIC","APRICOT|DRIED_FRUIT","","Getrocknete Aprikosen mit konzentrierter Süße und zäher Textur; geschwefelte und ungeschwefelte Ware ist möglich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Getrocknete Aprikosen mit konzentrierter Süße und zäher Textur; geschwefelte und ungeschwefelte Ware ist möglich."
"DRIED_CHILI","getrocknete Chili","OPEN","SPICES","ANCHO_CHILI|CHILI_FLAKES|CHILI_POWDER|CHIPOTLE","Ganze oder grob zerteilte getrocknete Chili mit konzentriertem Aroma; Pulver und feine Flocken sind damit nicht gemeint.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ganze oder grob zerteilte getrocknete Chili mit konzentriertem Aroma; Pulver und feine Flocken sind damit nicht gemeint."
"DRIED_FISH","getrockneter Fisch","OPEN","PRESERVED_FISH","BONITO_FLAKES|DAING|STOCKFISH","Offene Familie von Fischprodukten, deren wesentliche Konservierung durch Trocknung erfolgt; Salz kann, muss aber nicht beteiligt sein. Nicht bloß geräucherter oder konservierter Fisch ohne maßgebliche Trocknung.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Familie von Fischprodukten, deren wesentliche Konservierung durch Trocknung erfolgt; Salz kann, muss aber nicht beteiligt sein. Nicht bloß geräucherter oder konservierter Fisch ohne maßgebliche Trocknung."
"DRIED_FRUIT","Trockenfrüchte","OPEN","FRUIT","DRIED_APRICOT|PRUNE|RAISIN","Offene Vorgabe für durch Trocknung konzentriertes Obst; Sorte, Stückgröße und eventuelle Süßung bleiben wählbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für durch Trocknung konzentriertes Obst; Sorte, Stückgröße und eventuelle Süßung bleiben wählbar."
"DRIED_SHRIMP","getrocknete Garnelen","SPECIFIC","SHRIMP","","Durch Trocknung haltbar gemachte Garnelen, ganz oder grob zerkleinert; sie liefern konzentriertes Umami für Brühen, Füllungen, Toppings und Würzpasten. Nicht Garnelenpulver oder fermentierte Garnelenpaste.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Durch Trocknung haltbar gemachte Garnelen, ganz oder grob zerkleinert; sie liefern konzentriertes Umami für Brühen, Füllungen, Toppings und Würzpasten. Nicht Garnelenpulver oder fermentierte Garnelenpaste."
"DRIED_WILD_MUSHROOMS","getrocknete Waldpilze","SPECIFIC","MUSHROOMS","","Getrocknete aromatische Waldpilze, einzeln oder gemischt; nicht auf eine einzelne Pilzart festgelegt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Getrocknete aromatische Waldpilze, einzeln oder gemischt; nicht auf eine einzelne Pilzart festgelegt."
"DUCK","Ente","SPECIFIC","POULTRY","DUCK_BREAST|DUCK_CONFIT|DUCK_LEG","Entenfleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; Haut und Fett können prägende Bestandteile sein.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Entenfleisch ohne Festlegung auf Brust, Keule oder ganzes Tier; Haut und Fett können prägende Bestandteile sein."
"DUCK_BREAST","Entenbrust","SPECIFIC","DUCK","","Entenbrust mit dunklem Fleisch und typischer Fettschicht unter der Haut; mit oder ohne Haut verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Entenbrust mit dunklem Fleisch und typischer Fettschicht unter der Haut; mit oder ohne Haut verwendbar."
"DUCK_CONFIT","Entenconfit","SPECIFIC","DUCK","","Gesalzene Ententeile, typischerweise Keule beziehungsweise vergleichbare Teilstücke, langsam in Entenfett gegart und traditionell darin konserviert. Nicht bloß Entenfleisch oder eine frisch gebratene Entenkeule.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Gesalzene Ententeile, typischerweise Keule beziehungsweise vergleichbare Teilstücke, langsam in Entenfett gegart und traditionell darin konserviert. Nicht bloß Entenfleisch oder eine frisch gebratene Entenkeule."
"DUCK_EGG","Entenei","SPECIFIC","EGGS","SALTED_DUCK_EGG","Größeres, fettreicheres Ei der Ente; frisch zu garen, nicht bereits gesalzen oder fermentiert.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Größeres, fettreicheres Ei der Ente; frisch zu garen, nicht bereits gesalzen oder fermentiert."
"DUCK_FAT","Entenfett","SPECIFIC","COOKING_FATS","","Ausgelassenes Entenfett mit charakteristischem Geflügelaroma zum Braten, Confieren oder Verfeinern.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ausgelassenes Entenfett mit charakteristischem Geflügelaroma zum Braten, Confieren oder Verfeinern."
"DUCK_LEG","Entenkeule","SPECIFIC","DUCK","","Entenkeule mit dunklem, bindegewebsreichem Fleisch; für Braten, Schmoren oder Confieren geeignet.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Entenkeule mit dunklem, bindegewebsreichem Fleisch; für Braten, Schmoren oder Confieren geeignet."
"DULSE","Dulse","SPECIFIC","SEAWEED","","Essbare rote Meeresalge mit salzigem, leicht rauchig-umamireichem Geschmack; meist getrocknet erhältlich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Essbare rote Meeresalge mit salzigem, leicht rauchig-umamireichem Geschmack; meist getrocknet erhältlich."
"DUMPLING_DOUGH","Dumpling-Teig","SPECIFIC","DUMPLING_WRAPPERS","","Ungeschnittener Teig zur Herstellung von Dumpling-Hüllen; Zusammensetzung und Dicke bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ungeschnittener Teig zur Herstellung von Dumpling-Hüllen; Zusammensetzung und Dicke bleiben offen."
"DUMPLING_WRAPPERS","Teigblatt oder Dumpling-Hülle","OPEN","STARCHES","DUMPLING_DOUGH|RICE_PAPER|WONTON_WRAPPERS","Offene Vorgabe für dünne Teigblätter zum Füllen und Falten; Weizen-, Reis- und andere geeignete Hüllen sind möglich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für dünne Teigblätter zum Füllen und Falten; Weizen-, Reis- und andere geeignete Hüllen sind möglich."
"EDAM","Edamer","SPECIFIC","CHEESE","","Halbfester Kuhmilchkäse nach Edamer Art; umfasst Edam/Edamer als Produkttyp und ist nicht auf die geschützte Herkunftsbezeichnung Edam Holland beschränkt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Halbfester Kuhmilchkäse nach Edamer Art; umfasst Edam/Edamer als Produkttyp und ist nicht auf die geschützte Herkunftsbezeichnung Edam Holland beschränkt."
"EDAMAME","Edamame","SPECIFIC","POD_VEGETABLES|SOYBEANS","","Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst; nicht reife trockene Sojabohnen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Unreif geerntete grüne Sojabohnen, meist in der Schote blanchiert oder ausgelöst; nicht reife trockene Sojabohnen."
"EDIBLE_SNAILS","essbare Schnecken","OPEN","MOLLUSCS","FRESHWATER_SNAILS|LAND_SNAILS|SEA_SNAILS","Offene Familie essbarer Land-, Süßwasser- und Meeresschnecken als küchenfertige Zutat; Art und Lebensraum bleiben wählbar. Nicht Muscheln oder andere Weichtiergruppen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Familie essbarer Land-, Süßwasser- und Meeresschnecken als küchenfertige Zutat; Art und Lebensraum bleiben wählbar. Nicht Muscheln oder andere Weichtiergruppen."
"EEL","Aal","SPECIFIC","OILY_FISH","","Aal als fettreicher Fisch mit festem Fleisch; frisch, geräuchert oder anderweitig verarbeitet nur bei entsprechender Produktwahl.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Aal als fettreicher Fisch mit festem Fleisch; frisch, geräuchert oder anderweitig verarbeitet nur bei entsprechender Produktwahl."
"EGG","Ei","SPECIFIC","EGGS","","Ein einzelnes Hühnerei als allgemein verfügbare Kochzutat; Eier anderer Tierarten sind damit nicht gemeint.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ein einzelnes Hühnerei als allgemein verfügbare Kochzutat; Eier anderer Tierarten sind damit nicht gemeint."
"EGG_NOODLES","Eiernudeln","SPECIFIC","NOODLES","","Nudeln mit Ei als prägendem Teigbestandteil; Form und Dicke bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Nudeln mit Ei als prägendem Teigbestandteil; Form und Dicke bleiben offen."
"EGGPLANT","Aubergine","SPECIFIC","FRUIT_VEGETABLES","THAI_EGGPLANT","Aubergine mit schwammigem, beim Garen cremig werdendem Fruchtfleisch; Sorte und Farbe bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Aubergine mit schwammigem, beim Garen cremig werdendem Fruchtfleisch; Sorte und Farbe bleiben offen."
"EGGS","Eier","OPEN","","DUCK_EGG|EGG|QUAIL_EGG","Offene Vorgabe für Vogeleier; Art, Größe und Zubereitungsfunktion werden bewusst nicht festgelegt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für Vogeleier; Art, Größe und Zubereitungsfunktion werden bewusst nicht festgelegt."
"EGUSI_SEEDS","Egusi-Samen","SPECIFIC","SEEDS","","Ölreiche Samen bestimmter westafrikanischer Melonenarten, meist gemahlen zum Binden und Aromatisieren; nicht Kürbiskerne.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ölreiche Samen bestimmter westafrikanischer Melonenarten, meist gemahlen zum Binden und Aromatisieren; nicht Kürbiskerne."
"ELDERBERRY","Holunderbeeren","SPECIFIC","BERRIES","","Reife Holunderbeeren mit herb-säuerlichem Aroma; nur gegart verwenden, nicht rohe unreife Beeren.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Reife Holunderbeeren mit herb-säuerlichem Aroma; nur gegart verwenden, nicht rohe unreife Beeren."
"ENDIVE","Endivie","SPECIFIC","SALAD_GREENS","","Endivienblätter mit knackiger Textur und deutlicher Bitterkeit; glatte und krause Formen sind umfasst.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Endivienblätter mit knackiger Textur und deutlicher Bitterkeit; glatte und krause Formen sind umfasst."
"ENOKI","Enoki","SPECIFIC","MUSHROOMS","","Langstielige, kleinhütige Enoki-Pilze mit zartem Biss und mildem Geschmack; kultivierte helle Ware ist üblich.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Langstielige, kleinhütige Enoki-Pilze mit zartem Biss und mildem Geschmack; kultivierte helle Ware ist üblich."
"ESCARGOT","Weinbergschnecken","SPECIFIC","LAND_SNAILS","","Essbare Landschnecken nach Weinbergschnecken-/Escargot-Art, küchenfertig ausgelöst oder im Gehäuse; frisch, tiefgekühlt oder konserviert. Nicht Meer- oder Süßwasserschnecken.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Essbare Landschnecken nach Weinbergschnecken-/Escargot-Art, küchenfertig ausgelöst oder im Gehäuse; frisch, tiefgekühlt oder konserviert. Nicht Meer- oder Süßwasserschnecken."
"EVAPORATED_MILK","Kondensmilch","SPECIFIC","FRESH_DAIRY_PRODUCTS","","Ungesüßte, durch Wasserentzug konzentrierte Milch; nicht gezuckerte Kondensmilch.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Ungesüßte, durch Wasserentzug konzentrierte Milch; nicht gezuckerte Kondensmilch."
"FARRO","Emmer oder Farro","SPECIFIC","GRAINS","","Emmer beziehungsweise als Farro verkauftes geschältes Weizenkorn mit nussigem Geschmack und festem Biss.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Emmer beziehungsweise als Farro verkauftes geschältes Weizenkorn mit nussigem Geschmack und festem Biss."
"FENALAR","Fenalår","SPECIFIC","CURED_MEAT","","Gesalzene und luftgetrocknete Keule von Schaf oder Lamm nach norwegischer Fenalår-Art. Nicht beliebiges Trockenfleisch, Schinken oder bereits zubereitetes Gericht.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Gesalzene und luftgetrocknete Keule von Schaf oder Lamm nach norwegischer Fenalår-Art. Nicht beliebiges Trockenfleisch, Schinken oder bereits zubereitetes Gericht."
"FENNEL","Fenchel","SPECIFIC","STEM_VEGETABLES","","Fenchelknolle mit knackiger bis zarter Textur und mildem Anisaroma; Grün kann mitverwendet werden.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fenchelknolle mit knackiger bis zarter Textur und mildem Anisaroma; Grün kann mitverwendet werden."
"FENNEL_SEED","Fenchelsaat","SPECIFIC","SPICES","","Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma; ganz oder gemahlen, nicht Fenchelknolle.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Getrocknete Fenchelfrüchte mit süßlich-anisartigem Aroma; ganz oder gemahlen, nicht Fenchelknolle."
"FENUGREEK","Bockshornklee","SPECIFIC","SPICES","","Bockshornkleesamen mit herb-würzigem, leicht bitterem Aroma; ganz oder gemahlen sparsam verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Bockshornkleesamen mit herb-würzigem, leicht bitterem Aroma; ganz oder gemahlen sparsam verwendbar."
"FERMENTED_BLACK_BEANS","fermentierte schwarze Bohnen","SPECIFIC","BLACK_BEANS|FERMENTED_SEASONINGS","","Salzig fermentierte schwarze Sojabohnen nach Douchi-Art; als Würzzutat gemeint, nicht gewöhnliche schwarze Bohnen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Salzig fermentierte schwarze Sojabohnen nach Douchi-Art; als Würzzutat gemeint, nicht gewöhnliche schwarze Bohnen."
"FERMENTED_CUCUMBER","Salzgurke","SPECIFIC","CUCUMBER|PRESERVED_PRODUCE","","Milchsauer in Salzlake fermentierte Gurke; bewusst von essigbasierter Gewürzgurke getrennt.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Milchsauer in Salzlake fermentierte Gurke; bewusst von essigbasierter Gewürzgurke getrennt."
"FERMENTED_SEASONINGS","fermentierte Würzzutat","OPEN","SAUCES_AND_PASTES","BAGOONG|COM_ME|DOENJANG|DOUBANJIANG|FERMENTED_BLACK_BEANS|FERMENTED_TOFU|FISH_SAUCE|GOCHUJANG|HOISIN_SAUCE|MAM_NEM|MISO|PLA_RA|SHRIMP_PASTE|SOUR_RYE_STARTER|SOY_SAUCE|TAI_PLA|VIETNAMESE_SOYBEAN_PASTE|WORCESTERSHIRE_SAUCE|YEAST_EXTRACT","Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten; Rohstoff und Konsistenz bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Familie fermentierter Würzsaucen, Pasten und vergleichbarer Zutaten; Rohstoff und Konsistenz bleiben offen."
"FERMENTED_TOFU","fermentierter Tofu","SPECIFIC","FERMENTED_SEASONINGS|TOFU","STINKY_TOFU","In Lake gereifte Tofuwürfel mit kräftigem, salzigem Aroma und cremiger Textur; als Würzmittel, nicht als fester Tofublock.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","In Lake gereifte Tofuwürfel mit kräftigem, salzigem Aroma und cremiger Textur; als Würzmittel, nicht als fester Tofublock."
"FETA","Feta","SPECIFIC","CHEESE","","Salzlakenkäse nach Feta-Art aus Schafmilch mit möglichem Ziegenmilchanteil; krümelig, säuerlich und salzig.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Salzlakenkäse nach Feta-Art aus Schafmilch mit möglichem Ziegenmilchanteil; krümelig, säuerlich und salzig."
"FIG","Feige","SPECIFIC","FRUIT","","Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch; frisch oder ungesüßt getrocknet verwendbar.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Feige mit weichem, samenreichem und honigartig süßem Fruchtfleisch; frisch oder ungesüßt getrocknet verwendbar."
"FINGERROOT","Fingerwurz","SPECIFIC","SPICES","","Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma; frisch, tiefgekühlt oder in Lake verwendbar. Nicht Ingwer oder Galgant.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fingerartige Rhizome von Boesenbergia rotunda mit erdig-zitrischem, leicht pfeffrig-kampferartigem Aroma; frisch, tiefgekühlt oder in Lake verwendbar. Nicht Ingwer oder Galgant."
"FIRM_TOFU","fester Tofu","SPECIFIC","TOFU","","Fester gepresster Tofu, der schneiden, braten und marinieren verträgt; nicht Seidentofu.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Fester gepresster Tofu, der schneiden, braten und marinieren verträgt; nicht Seidentofu."
"FISH","Fisch","OPEN","SEAFOOD","CARP|FISH_ROE|MILKFISH|OILY_FISH|PRESERVED_FISH|SURIMI|SWORDFISH|TUNA|WHITE_FISH","Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für Speisefisch; Art, Fettgehalt, Zuschnitt und Frisch- oder Konservenform bleiben echte Auswahlentscheidungen."
"FISH_MINT","Fischminze","SPECIFIC","FRESH_HERBS","","Frische Fischminzenblätter mit intensiv kräuterigem, zitrisch-fischigem Aroma; vor allem roh in Kräutertellern, Salaten und zu Fleisch- oder Suppengerichten. Trotz des Namens keine Minzart.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Frische Fischminzenblätter mit intensiv kräuterigem, zitrisch-fischigem Aroma; vor allem roh in Kräutertellern, Salaten und zu Fleisch- oder Suppengerichten. Trotz des Namens keine Minzart."
"FISH_ROE","Fischrogen","OPEN","FISH","SALMON_ROE|TROUT_ROE","Offene Vorgabe für essbare Fischeier; Fischart, Körnung, Salzgrad und Verarbeitung bleiben offen.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Offene Vorgabe für essbare Fischeier; Fischart, Körnung, Salzgrad und Verarbeitung bleiben offen."
"FISH_SAUCE","Fischsauce","SPECIFIC","FERMENTED_SEASONINGS|READY_SAUCES_AND_PASTES","","Salzige fermentierte Würzsauce aus Fisch und Salz mit intensivem Umami; nicht Fischfond.","APPLICABLE","Georgia | Bornheim | großer Edeka; stärkeres türkisch-/arabisches Sortiment; bekannte Spezialwege nur über konkrete Anbieter bzw. Köln/Düsseldorf","Salzige fermentierte Würzsauce aus Fisch und Salz mit intensivem Umami; nicht Fischfond."
