"concept_code"	"display_name"	"review_applicability"	"proposed_cooking_novelty"	"novelty_rationale"	"review_flags"	"approval_status"
"CHILI_CONDIMENTS"	"Chilisauce oder -paste"	"APPLICABLE"	"2"	"Die offene Familie umfasst zahlreiche vertraute Saucen- und Pastenrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHILI_CRISP"	"Chili-Crisp"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHILI_FLAKES"	"Chiliflocken"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHILI_OIL"	"Chiliöl"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHILI_POWDER"	"Chilipulver"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHIPOTLE"	"Chipotle"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHIVES"	"Schnittlauch"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CHOCOLATE"	"Schokolade"	"APPLICABLE"	"2"	"Die offene Schokoladenfamilie besitzt viele etablierte herzhafte und süße Verwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHOCOLATE_HAGELSLAG"	"Schoko-Hagelslag"	"APPLICABLE"	"3"	"Als niederländischer Brotbelag konventionell, jenseits dieser Rolle aber deutlich kontextgebunden."	"BOUNDARY_3_4"	"PROPOSED_FOR_HUMAN_REVIEW"
"CHORIZO"	"Chorizo"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CIDER"	"Cider"	"APPLICABLE"	"3"	"Apfelwein ist in Saucen, Teigen und Schmorgerichten etabliert, bleibt als Kochalkohol aber klar richtungsgebend."	"BOUNDARY_3_4"	"PROPOSED_FOR_HUMAN_REVIEW"
"CILANTRO"	"Koriandergrün"	"APPLICABLE"	"1"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CINNAMON"	"Zimt"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CITRUS_FRUIT"	"Zitrusfrucht"	"APPLICABLE"	"1"	"Die offene Zitruswahl bietet viele selbstverständliche Säure-, Aroma- und Fruchtrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLAMS"	"Venusmuscheln"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOUDBERRY"	"Moltebeere"	"APPLICABLE"	"3"	"In nordischen Süßspeisen und Saucen konventionell, gemeinsam jedoch klar kontextgebunden."	"BOUNDARY_3_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOUDBERRY_PRESERVES"	"Moltebeerkonfitüre/-kompott"	"APPLICABLE"	"3"	"Als nordischer Fruchtaufstrich oder Begleiter etabliert, darüber hinaus aber deutlich kontextgebunden."	"BOUNDARY_3_4"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOVES"	"Gewürznelken"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COCKLES"	"Herzmuscheln"	"APPLICABLE"	"2"	"Herzmuscheln folgen vertrauten Muschelrollen wie Dämpfen, Pasta, Reis oder Suppe; die konkrete Art erhöht Novelty kaum."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCOA_POWDER"	"Kakaopulver"	"APPLICABLE"	"1"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCOA_PRODUCTS"	"Kakao oder Schokolade"	"APPLICABLE"	"2"	"Die offene Kakao-/Schokoladenfamilie hat breite etablierte Back-, Saucen- und Dessertrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT"	"Kokosnuss"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_CREAM"	"Kokoscreme"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_FLAKES"	"Kokosraspeln"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_MILK"	"Kokosmilch"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_OIL"	"Kokosöl"	"APPLICABLE"	"1"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_PRODUCTS"	"Kokoszutat"	"APPLICABLE"	"2"	"Die breite Kokosfamilie lässt viele vertraute Formen zu, gibt aber eine erkennbare Geschmacksrichtung vor."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_VINEGAR"	"Kokosessig"	"APPLICABLE"	"3"	"In philippinischen und anderen tropischen Küchen eine normale Säure, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_WATER"	"Kokoswasser"	"APPLICABLE"	"4"	"Kokoswasser wird überwiegend getrunken; als erkennbare Kochzutat sind die etablierten Rollen eng."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COD"	"Kabeljau"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COFFEE"	"Kaffee"	"APPLICABLE"	"4"	"Kaffee wird überwiegend getrunken; als verpflichtende Kochzutat ist er ein deutlicher röstig-bitterer Twist."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"COGNAC"	"Cognac"	"APPLICABLE"	"3"	"Für Saucen, Flambieren und Desserts klassisch, als konkreter Weinbrand aber deutlich richtungsgebend."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COM_ME"	"Mẻ oder Cơm mẻ"	"APPLICABLE"	"4"	"Die fermentierte Reiswürze hat eine enge, stark vietnamesisch geprägte Säuerungs- und Würzrolle."	"APPROVED_ANCHOR|LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"CONDENSED_MILK"	"gezuckerte Kondensmilch"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CONFECTIONERY"	"Süßware"	"NOT_APPLICABLE_STRUCTURE"	"NOT_APPLICABLE"	"Reiner, ausdrücklich freigegebener Strukturknoten."	""	"APPROVED_NOT_APPLICABLE"
"COOKED_HAM"	"Kochschinken"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COOKING_ALCOHOL"	"Kochalkohol"	"APPLICABLE"	"3"	"Die offene Familie bietet mehrere klassische Kochwege, lenkt ein Gericht aber deutlich in Sauce, Marinade oder Schmoransatz."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COOKING_FATS"	"Kochfett"	"APPLICABLE"	"1"	"Die offene Fettvorgabe umfasst zahlreiche selbstverständliche Kochgrundlagen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CORIANDER_ROOT"	"Korianderwurzel"	"APPLICABLE"	"3"	"In südostasiatischen Pasten und Marinaden konventionell, außerhalb davon stark kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CORIANDER_SEED"	"Koriandersaat"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CORN"	"Mais"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CORNMEAL"	"Maismehl"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CORNSTARCH"	"Maisstärke"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"COUSCOUS"	"Couscous"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CRAB"	"Krabben oder Krebsfleisch"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CRANBERRY"	"Cranberry"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CRAYFISH"	"Flusskrebse"	"APPLICABLE"	"2"	"Flusskrebse haben klassische Koch-, Suppen- und Saucenrollen; mögliche Beschaffungsfragen bleiben getrennt."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CREAM"	"Sahne"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CREAM_CHEESE"	"Frischkäse"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CREME_FRAICHE"	"Crème fraîche"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CRISPBREAD"	"Knäckebrot"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CROISSANT"	"Croissant"	"APPLICABLE"	"3"	"Als Gebäck oder Sandwichbasis etabliert, als verpflichtende Gerichtskomponente aber deutlich enger als Brot."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CRUSTACEANS"	"Krustentiere"	"APPLICABLE"	"2"	"Die offene Familie besitzt mehrere konventionelle Zubereitungswege."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CUCUMBER"	"Gurke"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CULANTRO"	"Culantro oder Sägeblattkoriander"	"APPLICABLE"	"3"	"In karibischen, lateinamerikanischen und südostasiatischen Gerichten konventionelles Kraut, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CULTURED_DAIRY"	"gesäuertes Milchprodukt"	"APPLICABLE"	"1"	"Die offene Familie lässt viele vertraute säuerliche Milchprodukte und Rollen zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CUMIN"	"Kreuzkümmel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CURED_MEAT"	"gepökeltes oder luftgetrocknetes Fleisch"	"APPLICABLE"	"2"	"Die offene Familie erlaubt zahlreiche etablierte Wurst-, Schinken- und Aromatenrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"CURRY_LEAVES"	"Curryblätter"	"APPLICABLE"	"3"	"In südasiatischen Gerichten konventionell, durch ihr spezifisches Aroma aber klar richtungsgebend."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CURRY_POWDER"	"Currypulver"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"CUTTLEFISH"	"Sepia"	"APPLICABLE"	"2"	"Sepia folgt etablierten Tintenfischrollen für Grill, Pfanne, Reis und Schmorgericht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DAIKON"	"Daikon"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DAING"	"Daing"	"APPLICABLE"	"3"	"In der philippinischen Küche konventioneller Trockenfisch, gemeinsam aber klar kontextgebunden."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DAIRY_PRODUCTS"	"Milchprodukte"	"NOT_APPLICABLE_STRUCTURE"	"NOT_APPLICABLE"	"Reiner, ausdrücklich freigegebener Strukturknoten."	""	"APPROVED_NOT_APPLICABLE"
"DANABLU"	"Danablu"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DANBO"	"Danbo"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DARK_CHOCOLATE"	"Zartbitterschokolade"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DARK_SOY_SAUCE"	"dunkle Sojasauce"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DASHI"	"Dashi"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DATE"	"Dattel"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DATE_SYRUP"	"Dattelsirup"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DIJON_MUSTARD"	"Dijon-Senf"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DILL"	"Dill"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DOENJANG"	"Doenjang"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DOUBANJIANG"	"Doubanjiang"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRAGON_FRUIT"	"Drachenfrucht"	"APPLICABLE"	"3"	"Die Frucht wird überwiegend frisch oder in Desserts genutzt; erkennbare Kochrollen bleiben begrenzt."	"BOUNDARY_3_4"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_APRICOT"	"getrocknete Aprikosen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_CHILI"	"getrocknete Chili"	"APPLICABLE"	"1"	"Die offene Familie umfasst viele vertraute Würzrollen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_FISH"	"getrockneter Fisch"	"APPLICABLE"	"3"	"In vielen Küchen konventionell, als offene Trockenfischvorgabe gemeinsam aber klar kontext- und aromagebend."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_FRUIT"	"Trockenfrüchte"	"APPLICABLE"	"2"	"Die offene Familie besitzt viele etablierte süße und herzhafte Verwendungen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_SHRIMP"	"getrocknete Garnelen"	"APPLICABLE"	"3"	"In ost- und südostasiatischen Brühen, Füllungen und Würzpasten konventionell, aber deutlich richtungsgebend."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER"	"APPROVED_ANCHOR"
"DRIED_WILD_MUSHROOMS"	"getrocknete Waldpilze"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK"	"Ente"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_BREAST"	"Entenbrust"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_CONFIT"	"Entenconfit"	"APPLICABLE"	"3"	"Als französische Gar- und Konservierungsform klassisch, als fertige Pflichtkomponente aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_EGG"	"Entenei"	"APPLICABLE"	"2"	"Ein frisches Entenei erfüllt dieselben breiten Back-, Brat- und Bindefunktionen wie andere Eier, mit graduellen Unterschieden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_FAT"	"Entenfett"	"APPLICABLE"	"2"	"Entenfett besitzt klare, klassische Brat-, Confit- und Verfeinerungsrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_LEG"	"Entenkeule"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"DULSE"	"Dulse"	"APPLICABLE"	"3"	"Als Alge und Würzzutat etabliert, gemeinsam aber eine deutlich kontextgebundene Meeresnote."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DUMPLING_DOUGH"	"Dumpling-Teig"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"DUMPLING_WRAPPERS"	"Teigblatt oder Dumpling-Hülle"	"APPLICABLE"	"2"	"Die offene Hüllenwahl bietet mehrere vertraute gefüllte oder geschichtete Anwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"EDAM"	"Edamer"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"EDAMAME"	"Edamame"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"EDIBLE_SNAILS"	"essbare Schnecken"	"APPLICABLE"	"3"	"Die offene Schneckenfamilie hat klassische Zubereitungen, bleibt als Pflichtzutat aber deutlich speziell."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"EEL"	"Aal"	"APPLICABLE"	"3"	"In japanischen und europäischen Gerichten konventionell, außerhalb davon jedoch deutlich richtungsgebend."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"EGG"	"Ei"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"EGG_NOODLES"	"Eiernudeln"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"EGGPLANT"	"Aubergine"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"EGGS"	"Eier"	"APPLICABLE"	"1"	"Die offene Eierwahl lässt viele selbstverständliche Kochfunktionen zu."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"EGUSI_SEEDS"	"Egusi-Samen"	"APPLICABLE"	"3"	"In westafrikanischen Suppen und Eintöpfen als Binder konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ELDERBERRY"	"Holunderbeeren"	"APPLICABLE"	"3"	"Die notwendige Garung und die vorwiegenden Sirup-, Kompott- und Saucenrollen begrenzen die naheliegenden Anwendungen."	"BOUNDARY_3_4|PARENT_CHILD_OUTLIER"	"PROPOSED_FOR_HUMAN_REVIEW"
"ENDIVE"	"Endivie"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ENOKI"	"Enoki"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ESCARGOT"	"Weinbergschnecken"	"APPLICABLE"	"3"	"Klassische französische und regionale Schneckengerichte sind etabliert, die Zutat bleibt aber stark richtungsgebend."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"EVAPORATED_MILK"	"Kondensmilch"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FARRO"	"Emmer oder Farro"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FENALAR"	"Fenalår"	"APPLICABLE"	"3"	"Als norwegisches Trockenfleisch konventionell, gemeinsam aber auf deutlich nordisch geprägte Rollen begrenzt."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FENNEL"	"Fenchel"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FENNEL_SEED"	"Fenchelsaat"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FENUGREEK"	"Bockshornklee"	"APPLICABLE"	"3"	"In südasiatischen und nahöstlichen Gerichten konventionell, durch Bitterkeit und Aroma aber klar richtungsgebend."	"BOUNDARY_2_3"	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"APPLICABLE"	"3"	"In chinesischen Würz- und Saucenrollen konventionell, gemeinsam aber deutlich kontextgebunden."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_CUCUMBER"	"Salzgurke"	"APPLICABLE"	"1"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_SEASONINGS"	"fermentierte Würzzutat"	"APPLICABLE"	"2"	"Die offene Familie bietet viele im gemeinsamen Kochhorizont vertraute Würzrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_TOFU"	"fermentierter Tofu"	"APPLICABLE"	"3"	"In chinesischen und südostasiatischen Gerichten als Würzmittel konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FETA"	"Feta"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FIG"	"Feige"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FINGERROOT"	"Fingerwurz"	"APPLICABLE"	"3"	"In südostasiatischen Currys und Würzpasten konventionell, außerhalb davon sehr richtungsgebend."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FIRM_TOFU"	"fester Tofu"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH"	"Fisch"	"APPLICABLE"	"1"	"Die offene Fischvorgabe erlaubt sehr viele vertraute Arten und Garmethoden."	"BROAD_CONCEPT|APPROVED_ANCHOR"	"APPROVED_ANCHOR"
"FISH_MINT"	"Fischminze"	"APPLICABLE"	"3"	"In vietnamesischen Kräutertellern und Salaten konventionell, durch das intensive Aroma gemeinsam aber klar kontextgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"APPROVED_ANCHOR"
"FISH_ROE"	"Fischrogen"	"APPLICABLE"	"2"	"Die offene Rogenfamilie bietet mehrere etablierte kalte und warme Anwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_SAUCE"	"Fischsauce"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_STOCK"	"Fischfond"	"APPLICABLE"	"1"	"Fischfond ist eine selbstverständliche Flüssigkeits- und Saucenbasis; Bezugsaufwand verändert diese Rolle nicht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FIVE_SPICE"	"Fünf-Gewürze-Pulver"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBREAD"	"Fladenbrot"	"APPLICABLE"	"1"	"Die offene Familie erlaubt viele vertraute Beilagen-, Basis- und Füllrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBROD"	"Flatbrød"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FLAXSEED"	"Leinsamen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FLEUR_DE_SEL"	"Fleur de sel"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOUR"	"Mehl"	"APPLICABLE"	"1"	"Die offene Mehlwahl bietet zahlreiche selbstverständliche Teig- und Bindefunktionen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOWER_VEGETABLES"	"Blütengemüse"	"APPLICABLE"	"1"	"Die offene Familie umfasst mehrere vertraute Gemüse und Zubereitungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FOIE_GRAS"	"Foie gras"	"APPLICABLE"	"3"	"Klassische Terrinen-, Saucen- und Anrichteformen sind etabliert, die Zutat bleibt aber stark richtungsgebend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FRANKFURT_GREEN_SAUCE"	"Frankfurter Grüne Soße"	"APPLICABLE"	"3"	"Als fertige regionale Kräutersauce konventionell, jenseits ihrer typischen Begleiter aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FREEKEH"	"Freekeh"	"APPLICABLE"	"3"	"In levantinischen Getreidegerichten konventionell, im gemeinsamen Alltag aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FRENCH_FRIES"	"Pommes frites"	"APPLICABLE"	"3"	"Als fertige Beilage selbstverständlich, als erkennbare Pflichtkomponente eines eigenständigen Gerichts jedoch deutlich enger."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_DAIRY_PRODUCTS"	"frisches Milchprodukt"	"APPLICABLE"	"1"	"Die offene Familie umfasst viele vertraute Koch- und Verfeinerungsrollen."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_HERBS"	"Kräuter und Würzblätter"	"NOT_APPLICABLE_STRUCTURE"	"NOT_APPLICABLE"	"Reiner, ausdrücklich freigegebener Strukturknoten."	""	"APPROVED_NOT_APPLICABLE"
"FRESH_TURMERIC"	"frischer Kurkuma"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESHWATER_SNAILS"	"Süßwasserschnecken"	"APPLICABLE"	"3"	"In vietnamesischen und anderen regionalen Gerichten konventionell, gemeinsam aber stark kontextgebunden."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"APPROVED_ANCHOR"
"FRIED_ONIONS"	"Röstzwiebeln"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
