"concept_code"	"display_name"	"source_review_head"	"previous_proposed_cooking_novelty"	"reaudited_cooking_novelty"	"reaudit_outcome"	"reaudit_note"	"approval_status"
"CURRY_POWDER"	"Currypulver"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"CUTTLEFISH"	"Sepia"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"REAUDIT_CORRECTED_PROPOSAL"	"Sepia besitzt etablierte Tintenfischrollen, ihre konkrete Textur und mögliche Tintennutzung machen sie als Pflichtzutat dennoch klar kontextgebunden."	"PROPOSED_FOR_HUMAN_REVIEW"
"DAIKON"	"Daikon"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DAING"	"Daing"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DANABLU"	"Danablu"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"REAUDIT_CORRECTED_PROPOSAL"	"Der geschützte dänische Blauschimmelkäse ist nicht bloß irgendein Käse; Salz, Schimmelprofil und konkrete Regionalform geben die Richtung merklich vor."	"PROPOSED_FOR_HUMAN_REVIEW"
"DANBO"	"Danbo"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"REAUDIT_CORRECTED_PROPOSAL"	"Die konkrete geschützte dänische Käseform ist trotz vertrauter Käsetechniken kein selbstverständlicher gemeinsamer Standard und verlangt bewusste Einordnung."	"PROPOSED_FOR_HUMAN_REVIEW"
"DARK_CHOCOLATE"	"Zartbitterschokolade"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DARK_SOY_SAUCE"	"dunkle Sojasauce"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DASHI"	"Dashi"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DATE"	"Dattel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DATE_SYRUP"	"Dattelsirup"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DIJON_MUSTARD"	"Dijon-Senf"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DILL"	"Dill"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DOENJANG"	"Doenjang"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DOUBANJIANG"	"Doubanjiang"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRAGON_FRUIT"	"Drachenfrucht"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_APRICOT"	"getrocknete Aprikosen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_CHILI"	"getrocknete Chili"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_FISH"	"getrockneter Fisch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_FRUIT"	"Trockenfrüchte"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DRIED_SHRIMP"	"getrocknete Garnelen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"DRIED_WILD_MUSHROOMS"	"getrocknete Waldpilze"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK"	"Ente"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_BREAST"	"Entenbrust"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_CONFIT"	"Entenconfit"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_EGG"	"Entenei"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"HUMAN_CORRECTION_CHARGE_1"	"Menschliche Korrektur für Charge 1: Das konkrete größere und fettreichere Entenei bleibt trotz vertrauter Eierfunktionen merklich speziell."	"APPROVED_HUMAN_CORRECTION_CHARGE_1"
"DUCK_FAT"	"Entenfett"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUCK_LEG"	"Entenkeule"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DULSE"	"Dulse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUMPLING_DOUGH"	"Dumpling-Teig"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"DUMPLING_WRAPPERS"	"Teigblatt oder Dumpling-Hülle"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EDAM"	"Edamer"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EDAMAME"	"Edamame"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EDIBLE_SNAILS"	"essbare Schnecken"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EEL"	"Aal"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EGG"	"Ei"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EGG_NOODLES"	"Eiernudeln"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EGGPLANT"	"Aubergine"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EGGS"	"Eier"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EGUSI_SEEDS"	"Egusi-Samen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ELDERBERRY"	"Holunderbeeren"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ENDIVE"	"Endivie"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ENOKI"	"Enoki"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ESCARGOT"	"Weinbergschnecken"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"EVAPORATED_MILK"	"Kondensmilch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FARRO"	"Emmer oder Farro"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FENALAR"	"Fenalår"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FENNEL"	"Fenchel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FENNEL_SEED"	"Fenchelsaat"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FENUGREEK"	"Bockshornklee"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_CUCUMBER"	"Salzgurke"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"2"	"REAUDIT_CORRECTED_PROPOSAL"	"Die milchsauer fermentierte Salzgurke ist vertraut, als exakt abgegrenzte konservierte Form aber richtungsgebender als Gurke allgemein."	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_SEASONINGS"	"fermentierte Würzzutat"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FERMENTED_TOFU"	"fermentierter Tofu"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FETA"	"Feta"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FIG"	"Feige"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FINGERROOT"	"Fingerwurz"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FIRM_TOFU"	"fester Tofu"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH"	"Fisch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"FISH_MINT"	"Fischminze"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"FISH_ROE"	"Fischrogen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_SAUCE"	"Fischsauce"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FISH_STOCK"	"Fischfond"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FIVE_SPICE"	"Fünf-Gewürze-Pulver"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBREAD"	"Fladenbrot"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLATBROD"	"Flatbrød"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"REAUDIT_CORRECTED_PROPOSAL"	"Das sehr dünne trockene norwegische Regionalbrot besitzt vertraute Brotrollen, bleibt als konkrete Produktform aber deutlich kontextgebunden."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLAXSEED"	"Leinsamen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLEUR_DE_SEL"	"Fleur de sel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOUR"	"Mehl"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FLOWER_VEGETABLES"	"Blütengemüse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FOIE_GRAS"	"Foie gras"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRANKFURT_GREEN_SAUCE"	"Frankfurter Grüne Soße"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FREEKEH"	"Freekeh"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRENCH_FRIES"	"Pommes frites"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_DAIRY_PRODUCTS"	"frisches Milchprodukt"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESH_TURMERIC"	"frischer Kurkuma"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRESHWATER_SNAILS"	"Süßwasserschnecken"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"FRIED_ONIONS"	"Röstzwiebeln"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FROG_LEGS"	"Froschschenkel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"APPROVED_ANCHOR"
"FRUIT"	"Obst"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"FRUIT_VEGETABLES"	"Fruchtgemüse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GALANGAL"	"Galgant"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GAME_MEAT"	"Wildfleisch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GARAM_MASALA"	"Garam Masala"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC"	"Knoblauch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_BUTTER"	"Knoblauchbutter"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_CHIVES"	"Knoblauch-Schnittlauch"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"3"	"REAUDIT_CORRECTED_PROPOSAL"	"Knoblauch-Schnittlauch hat vertraute Kräuterrollen, die konkrete asiatische Art und ihr Knoblaucharoma geben der Pflichtverwendung jedoch klaren Kontext."	"PROPOSED_FOR_HUMAN_REVIEW"
"GARLIC_POWDER"	"Knoblauchpulver"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GHEE"	"Ghee"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"2"	"REAUDIT_CORRECTED_PROPOSAL"	"Ghee ist ein vielseitiges Kochfett, das nussige geklärte Milchfett bleibt als konkrete Pflichtzutat jedoch mehr als ein neutraler Alltagsstandard."	"PROPOSED_FOR_HUMAN_REVIEW"
"GINGER"	"Ingwer"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"GIO_LUA"	"Giò lụa oder Chả lụa"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
