"concept_code"	"display_name"	"review_applicability"	"previous_proposal_georgia"	"v2_proposal_georgia"	"transition_georgia"	"changed_georgia"	"previous_proposal_tobias"	"v2_proposal_tobias"	"transition_tobias"	"changed_tobias"	"person_difference"	"comparison_flags"
"CHEESE"	"Käse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHERRY"	"Kirsche"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHERRY_TOMATO"	"Kirschtomaten"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHERVIL"	"Kerbel"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"NO"	""
"CHESTNUT"	"Esskastanien"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHIA_SEEDS"	"Chiasamen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN"	"Hähnchen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN_BREAST"	"Hähnchenbrust"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN_DRUMSTICKS"	"Hähnchenunterkeulen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN_FEET"	"Hühnerfüße"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"CHICKEN_LIVER"	"Hähnchenleber"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHICKEN_STOCK"	"Hühnerbrühe"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN_THIGH"	"Hähnchenschenkel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKEN_WINGS"	"Hähnchenflügel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICKPEA_FLOUR"	"Kichererbsenmehl"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHICKPEAS"	"Kichererbsen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHICORY"	"Chicorée"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHILI"	"frische Chili"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHILI_CONDIMENTS"	"Chilisauce oder -paste"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHILI_CRISP"	"Chili-Crisp"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CHILI_FLAKES"	"Chiliflocken"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHILI_OIL"	"Chiliöl"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CHILI_POWDER"	"Chilipulver"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHIPOTLE"	"Chipotle"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CHIVES"	"Schnittlauch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHOCOLATE"	"Schokolade"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CHOCOLATE_HAGELSLAG"	"Schoko-Hagelslag"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CHORIZO"	"Chorizo"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CIDER"	"Cider"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CILANTRO"	"Koriandergrün"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CINNAMON"	"Zimt"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CITRUS_FRUIT"	"Zitrusfrucht"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CLAMS"	"Venusmuscheln"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CLOUDBERRY"	"Moltebeere"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"CLOUDBERRY_PRESERVES"	"Moltebeerkonfitüre/-kompott"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"CLOVES"	"Gewürznelken"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCKLES"	"Herzmuscheln"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"COCOA_POWDER"	"Kakaopulver"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCOA_PRODUCTS"	"Kakao oder Schokolade"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCONUT"	"Kokosnuss"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"COCONUT_CREAM"	"Kokoscreme"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"COCONUT_FLAKES"	"Kokosraspeln"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCONUT_MILK"	"Kokosmilch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCONUT_OIL"	"Kokosöl"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCONUT_PRODUCTS"	"Kokoszutat"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COCONUT_VINEGAR"	"Kokosessig"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"COCONUT_WATER"	"Kokoswasser"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COD"	"Kabeljau"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COFFEE"	"Kaffee"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COGNAC"	"Cognac"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"COM_ME"	"Mẻ oder Cơm mẻ"	"APPLICABLE"	"UNAVAILABLE"	"UNAVAILABLE"	"UNAVAILABLE->UNAVAILABLE"	"NO"	"UNAVAILABLE"	"UNAVAILABLE"	"UNAVAILABLE->UNAVAILABLE"	"NO"	"NO"	""
"CONDENSED_MILK"	"gezuckerte Kondensmilch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CONFECTIONERY"	"Süßware"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""
"COOKED_HAM"	"Kochschinken"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COOKING_ALCOHOL"	"Kochalkohol"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COOKING_FATS"	"Kochfett"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CORIANDER_ROOT"	"Korianderwurzel"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"CORIANDER_SEED"	"Koriandersaat"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CORN"	"Mais"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CORNMEAL"	"Maismehl"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"CORNSTARCH"	"Maisstärke"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"COUSCOUS"	"Couscous"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CRAB"	"Krabben oder Krebsfleisch"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CRANBERRY"	"Cranberry"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CRAYFISH"	"Flusskrebse"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"CREAM"	"Sahne"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CREAM_CHEESE"	"Frischkäse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CREME_FRAICHE"	"Crème fraîche"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CRISPBREAD"	"Knäckebrot"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CROISSANT"	"Croissant"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CRUSTACEANS"	"Krustentiere"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CUCUMBER"	"Gurke"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CULANTRO"	"Culantro oder Sägeblattkoriander"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"CULTURED_DAIRY"	"gesäuertes Milchprodukt"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CUMIN"	"Kreuzkümmel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CURED_MEAT"	"gepökeltes oder luftgetrocknetes Fleisch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CURRY_LEAVES"	"Curryblätter"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"CURRY_POWDER"	"Currypulver"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"CUTTLEFISH"	"Sepia"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"DAIKON"	"Daikon"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DAING"	"Daing"	"APPLICABLE"	"DIFFICULT"	"DIFFICULT"	"DIFFICULT->DIFFICULT"	"NO"	"DIFFICULT"	"DIFFICULT"	"DIFFICULT->DIFFICULT"	"NO"	"NO"	""
"DAIRY_PRODUCTS"	"Milchprodukte"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""
"DANABLU"	"Danablu"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"NO"	""
"DANBO"	"Danbo"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"DARK_CHOCOLATE"	"Zartbitterschokolade"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DARK_SOY_SAUCE"	"dunkle Sojasauce"	"APPLICABLE"	"EASY"	"SPECIALTY"	"EASY->SPECIALTY"	"YES"	"EASY"	"SPECIALTY"	"EASY->SPECIALTY"	"YES"	"NO"	""
"DASHI"	"Dashi"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"DATE"	"Dattel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DATE_SYRUP"	"Dattelsirup"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"YES"	"REQUIRES_PERSON_SPECIFIC_JUSTIFICATION"
"DIJON_MUSTARD"	"Dijon-Senf"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DILL"	"Dill"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DOENJANG"	"Doenjang"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"DOUBANJIANG"	"Doubanjiang"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"DRAGON_FRUIT"	"Drachenfrucht"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DRIED_APRICOT"	"getrocknete Aprikosen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DRIED_CHILI"	"getrocknete Chili"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DRIED_FISH"	"getrockneter Fisch"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"DRIED_FRUIT"	"Trockenfrüchte"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"DRIED_SHRIMP"	"getrocknete Garnelen"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"DRIED_WILD_MUSHROOMS"	"getrocknete Waldpilze"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DUCK"	"Ente"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DUCK_BREAST"	"Entenbrust"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DUCK_CONFIT"	"Entenconfit"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"DUCK_EGG"	"Entenei"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"NO"	""
"DUCK_FAT"	"Entenfett"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"DUCK_LEG"	"Entenkeule"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"DULSE"	"Dulse"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"DUMPLING_DOUGH"	"Dumpling-Teig"	"APPLICABLE"	"DIFFICULT"	"PLANNED"	"DIFFICULT->PLANNED"	"YES"	"DIFFICULT"	"PLANNED"	"DIFFICULT->PLANNED"	"YES"	"NO"	""
"DUMPLING_WRAPPERS"	"Teigblatt oder Dumpling-Hülle"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"EDAM"	"Edamer"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"EDAMAME"	"Edamame"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"EDIBLE_SNAILS"	"essbare Schnecken"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"EEL"	"Aal"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"EGG"	"Ei"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"EGG_NOODLES"	"Eiernudeln"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"EGGPLANT"	"Aubergine"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"EGGS"	"Eier"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"EGUSI_SEEDS"	"Egusi-Samen"	"APPLICABLE"	"SPECIALTY"	"SPECIALTY"	"SPECIALTY->SPECIALTY"	"NO"	"SPECIALTY"	"SPECIALTY"	"SPECIALTY->SPECIALTY"	"NO"	"NO"	""
"ELDERBERRY"	"Holunderbeeren"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"ENDIVE"	"Endivie"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ENOKI"	"Enoki"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"ESCARGOT"	"Weinbergschnecken"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"EVAPORATED_MILK"	"Kondensmilch"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"FARRO"	"Emmer oder Farro"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"FENALAR"	"Fenalår"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"FENNEL"	"Fenchel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"FENNEL_SEED"	"Fenchelsaat"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"FENUGREEK"	"Bockshornklee"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"FERMENTED_BLACK_BEANS"	"fermentierte schwarze Bohnen"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"FERMENTED_CUCUMBER"	"Salzgurke"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"FERMENTED_SEASONINGS"	"fermentierte Würzzutat"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"FERMENTED_TOFU"	"fermentierter Tofu"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"FETA"	"Feta"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"FIG"	"Feige"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"FINGERROOT"	"Fingerwurz"	"APPLICABLE"	"SPECIALTY"	"SPECIALTY"	"SPECIALTY->SPECIALTY"	"NO"	"SPECIALTY"	"SPECIALTY"	"SPECIALTY->SPECIALTY"	"NO"	"NO"	""
"FIRM_TOFU"	"fester Tofu"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
