"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class"	"market_basis"	"proposed_availability"	"availability_note"	"evidence_requirement"	"evidence_search_terms"	"availability_evidence"	"review_flags"	"approval_status"
"CITRUS_FRUIT"	"Zitrusfrucht"	"APPLICABLE"	"Offene Vorgabe für Zitrusfrüchte; Saft, Fruchtfleisch und unbehandelte Schale können je nach Wahl genutzt werden."	"GENERAL_LOCAL"	"Für „Zitrusfrucht“ wird das Angebot über die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts kontrolliert."	"EASY"	"Beim Rostocker Einkauf setzt Tobias für „Zitrusfrucht“ auf die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Offene Vorgabe für Zitrusfrüchte; Saft, Fruchtfleisch und unbehandelte Schale können je nach Wahl genutzt werden.“"	"OPTIONAL"	"Zitrusfrucht Offene Vorgabe für Zitrusfrüchte; Saft, Fruchtfleisch und unbehandelte Schale…; Tobias Rostock Obst frisch TK genaue Sorte; Obst; Die Obstabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLAMS"	"Venusmuscheln"	"APPLICABLE"	"Venusmuscheln beziehungsweise vergleichbare kleine essbare Muscheln; frisch, tiefgekühlt oder ausgelöst verwendbar."	"GENERAL_BROAD"	"Deutsche See – frische Venusmuscheln belegt: Deutsche See führt frische, von Hand gesammelte Venusmuscheln mit 50 bis 60 Tieren je Korb aktuell verfügbar und liefert sie gekühlt zum Wunschtermin. Der Bezug erfolgt über Deutschland und Österreich; gekühlte GO!-Express-Lieferung zum Wunschtermin; maßgeblich ist CHILLED_SHIPPING. Der Nachweis gilt für lebende frische Venusmuscheln; Tagesbestand und kurze Haltbarkeit müssen unmittelbar vor dem Termin kontrolliert werden."	"PLANNED"	"Die Rostocker Beschaffung für Tobias beginnt mit dem formgenauen Nachweis: Deutsche See führt frische, von Hand gesammelte Venusmuscheln mit 50 bis 60 Tieren je Korb aktuell verfügbar und liefert sie gekühlt zum Wunschtermin. Der Nachweis gilt für lebende frische Venusmuscheln; Tagesbestand und kurze Haltbarkeit müssen unmittelbar vor dem Termin kontrolliert werden."	"REQUIRED"	"Venusmuscheln frisch Deutsche See verfügbar gekühlte Wunschlieferung Bornheim Rostock | Tobias Rostock | Deutsche See – frische Venusmuscheln | IN_STOCK CHILLED_SHIPPING"	"AV2N-A-0045"	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOUDBERRY"	"Moltebeere"	"APPLICABLE"	"Moltebeeren (Rubus chamaemorus), frisch oder ungesüßt tiefgekühlt. Nicht gesüßte Moltebeerkonfitüre, Likör oder lediglich Moltebeer-Aroma."	"NICHE_IMPORT"	"Tobias prüft „Moltebeere“ in Rostock über Schweden-Markt – Beeren tiefgekühlt, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Tiefkühlversand ausweist."	"DIFFICULT"	"Über Schweden-Markt – Beeren tiefgekühlt (Evidenzstand: eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Tiefkühlversand) prüft Tobias in Rostock „Moltebeere“, wobei folgende Abgrenzung gilt: „Moltebeeren (Rubus chamaemorus), frisch oder ungesüßt tiefgekühlt. Nicht gesüßte Moltebeerkonfitüre, Likör oder lediglich Moltebeer-Aroma.“"	"REQUIRED"	"Moltebeere Moltebeeren (Rubus chamaemorus), frisch oder ungesüßt tiefgekühlt; Tobias Rostock Obst frisch TK genaue Sorte; Beeren; Schweden-Markt – Beeren tiefgekühlt; Bestand Produktform Versandlogistik; die zugelassene Frisch- oder Tiefkühlform"	"AV2N-A-0046"	"TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|FORM_SENSITIVE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOUDBERRY_PRESERVES"	"Moltebeerkonfitüre/-kompott"	"APPLICABLE"	"Gesüßte Moltebeerzubereitung wie Konfitüre, Kompott oder vergleichbarer Fruchtaufstrich. Nicht bloßes Moltebeer-Aroma oder Moltebeerlikör."	"NICHE_IMPORT"	"Tobias prüft „Moltebeerkonfitüre/-kompott“ in Rostock über Arctic Delice – Berry Products, wobei die Evidenz beim Abruf verfügbaren Bestand und Standardversand ausweist."	"DIFFICULT"	"Über Arctic Delice – Berry Products (Evidenzstand: beim Abruf verfügbaren Bestand und Standardversand) prüft Tobias in Rostock „Moltebeerkonfitüre/-kompott“, wobei folgende Abgrenzung gilt: „Gesüßte Moltebeerzubereitung wie Konfitüre, Kompott oder vergleichbarer Fruchtaufstrich. Nicht bloßes Moltebeer-Aroma oder Moltebeerlikör.“"	"REQUIRED"	"Moltebeerkonfitüre/-kompott Gesüßte Moltebeerzubereitung wie Konfitüre, Kompott oder vergleichbarer…; Tobias Rostock Sauergemüse Konserve Ferment exakte Form; Moltebeere / konservierte pflanzliche Zutat; Arctic Delice – Berry Products; Bestand Produktform Versandlogistik; die exakt festgelegte Darreichung"	"AV2N-A-0047"	"TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"CLOVES"	"Gewürznelken"	"APPLICABLE"	"Getrocknete Blütenknospen mit sehr intensivem warm-süßlichem Aroma; ganz oder gemahlen sparsam verwenden."	"GENERAL_LOCAL"	"Die Rostocker Warenprüfung für „Gewürznelken“ erfolgt über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Tobias organisiert über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts die Rostocker Prüfung von „Gewürznelken“, wobei folgende Abgrenzung gilt: „Getrocknete Blütenknospen mit sehr intensivem warm-süßlichem Aroma; ganz oder gemahlen sparsam verwenden.“"	"OPTIONAL"	"Gewürznelken Getrocknete Blütenknospen mit sehr intensivem warm-süßlichem Aroma; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; Gewürz oder trockenes Würzmittel; Das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die getrocknete Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCKLES"	"Herzmuscheln"	"APPLICABLE"	"Essbare Herzmuscheln (Cockles), frisch, tiefgekühlt oder naturbelassen konserviert; nicht Venusmuscheln, Miesmuscheln oder Jakobsmuscheln."	"NICHE_IMPORT"	"Tobias prüft „Herzmuscheln“ in Rostock über Deutsche See, wobei die Evidenz keinen aktuellen formgenauen Treffer und Kühlversand ausweist."	"DIFFICULT"	"Über Deutsche See (Evidenzstand: keinen aktuellen formgenauen Treffer und Kühlversand) prüft Tobias in Rostock „Herzmuscheln“, wobei folgende Abgrenzung gilt: „Essbare Herzmuscheln (Cockles), frisch, tiefgekühlt oder naturbelassen konserviert; nicht Venusmuscheln, Miesmuscheln oder Jakobsmuscheln.“"	"REQUIRED"	"Herzmuscheln Essbare Herzmuscheln (Cockles), frisch, tiefgekühlt oder naturbelassen…; Tobias Rostock Fisch Seafood Frische TK genauer Zuschnitt; Muscheln; Deutsche See; Bestand Produktform Versandlogistik; die verlangte frische Form"	"AV2N-A-0048"	"TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|FORM_SENSITIVE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCOA_POWDER"	"Kakaopulver"	"APPLICABLE"	"Entfettetes oder teilentfettetes Kakaopulver, ungesüßt und zum Backen oder Würzen geeignet; kein kakaohaltiges Getränkepulver."	"GENERAL_LOCAL"	"Der konkrete Bezug von „Kakaopulver“ läuft über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Das Angebot zu „Kakaopulver“ über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts kontrolliert Tobias in Rostock, wobei folgende Abgrenzung gilt: „Entfettetes oder teilentfettetes Kakaopulver, ungesüßt und zum Backen oder Würzen geeignet; kein kakaohaltiges Getränkepulver.“"	"OPTIONAL"	"Kakaopulver Entfettetes oder teilentfettetes Kakaopulver, ungesüßt und zum Backen oder…; Tobias Rostock Backware Süßungsmittel exakte Form; Kakao oder Schokolade; Das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die gemahlene oder pulverisierte Form"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCOA_PRODUCTS"	"Kakao oder Schokolade"	"APPLICABLE"	"Offene Familie für Kakaoerzeugnisse von Kakaopulver bis Schokoladenprodukten; konkrete Form und Süße bleiben offen."	"GENERAL_LOCAL"	"Kakao oder Schokolade: Gewöhnliche große Rostocker Supermärkte führen die offene Familie aus Kakaopulver und Schokoladenprodukten regulär im Back- und Süßwarenregal; Form und Süße werden erst durch das jeweilige Rezept festgelegt."	"EASY"	"Für Tobias in Rostock decken normale Back- und Süßwarenregale sowohl Kakaopulver als auch Schokoladenprodukte ab; weil die Konzeptform bewusst offen ist, darf die Prüfung weder auf Pulver noch auf eine bestimmte Süße verengt werden."	"OPTIONAL"	"Kakao oder Schokolade Offene Familie für Kakaoerzeugnisse von Kakaopulver bis Schokoladenprodukten; Tobias Rostock Backware Süßungsmittel exakte Form; Süßungsmittel und Backwaren; Das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die gemahlene oder pulverisierte Form"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT"	"Kokosnuss"	"APPLICABLE"	"Kokosnuss beziehungsweise frisches Kokosfleisch; Kokosmilch, -wasser und -öl sind getrennte Produktformen."	"GENERAL_BROAD"	"Für „Kokosnuss“ führt der Rostocker Marktweg über gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler."	"PLANNED"	"Den Weg über gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler nutzt Tobias in Rostock für „Kokosnuss“, wobei folgende Abgrenzung gilt: „Kokosnuss beziehungsweise frisches Kokosfleisch; Kokosmilch, -wasser und -öl sind getrennte Produktformen.“"	"OPTIONAL"	"Kokosnuss Kokosnuss beziehungsweise frisches Kokosfleisch; Tobias Rostock Obst frisch TK genaue Sorte; Kokoszutat / Tropenfrucht; gut sortierte Vollsortimenter und etablierte deutsche Frucht- oder Frischehändler; gezielter Einkauf Deutschland Wochenvorlauf; die verlangte frische Form"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_CREAM"	"Kokoscreme"	"APPLICABLE"	"Dickflüssige, fettreiche Kokosextraktion mit höherem Fettanteil als Kokosmilch; nicht gesüßte Cream of Coconut."	"GENERAL_BROAD"	"Tobias prüft „Kokoscreme“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Händler für Kokosprodukte."	"PLANNED"	"Über gut sortierte Vollsortimenter und etablierte deutsche Händler für Kokosprodukte prüft Tobias in Rostock „Kokoscreme“, wobei folgende Abgrenzung gilt: „Dickflüssige, fettreiche Kokosextraktion mit höherem Fettanteil als Kokosmilch; nicht gesüßte Cream of Coconut.“"	"OPTIONAL"	"Kokoscreme Dickflüssige, fettreiche Kokosextraktion mit höherem Fettanteil als Kokosmilch; Tobias Rostock Kokosprodukt genaue flüssige feste frische Form; Kokoszutat; gut sortierte Vollsortimenter und etablierte deutsche Händler für Kokosprodukte; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_FLAKES"	"Kokosraspeln"	"APPLICABLE"	"Getrocknete Kokosraspeln oder -chips, bevorzugt ungesüßt; nicht frisches Kokosfleisch."	"GENERAL_LOCAL"	"Tobias prüft „Kokosraspeln“ in Rostock über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Kokosraspeln“, wobei folgende Abgrenzung gilt: „Getrocknete Kokosraspeln oder -chips, bevorzugt ungesüßt; nicht frisches Kokosfleisch.“"	"OPTIONAL"	"Kokosraspeln Getrocknete Kokosraspeln oder -chips, bevorzugt ungesüßt; Tobias Rostock Kokosprodukt genaue flüssige feste frische Form; Kokoszutat; Das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die getrocknete Produktform"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_MILK"	"Kokosmilch"	"APPLICABLE"	"Weiße Emulsion aus zerkleinertem Kokosfleisch und Wasser; nicht Kokosdrink oder Kokoswasser."	"GENERAL_LOCAL"	"Für „Kokosmilch“ führt der Rostocker Marktweg über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Kokosmilch“, wobei folgende Abgrenzung gilt: „Weiße Emulsion aus zerkleinertem Kokosfleisch und Wasser; nicht Kokosdrink oder Kokoswasser.“"	"OPTIONAL"	"Kokosmilch Weiße Emulsion aus zerkleinertem Kokosfleisch und Wasser; Tobias Rostock Kokosprodukt genaue flüssige feste frische Form; Kokoszutat; Das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_OIL"	"Kokosöl"	"APPLICABLE"	"Bei Raumtemperatur häufig festes Kokosfett; raffiniert neutral oder nativ kokosaromatisch verwendbar."	"GENERAL_LOCAL"	"Die Beschaffung von „Kokosöl“ erfolgt in Rostock über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „Kokosöl“ kontrolliert Tobias den Rostocker Bezug über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Bei Raumtemperatur häufig festes Kokosfett; raffiniert neutral oder nativ kokosaromatisch verwendbar.“"	"OPTIONAL"	"Kokosöl Bei Raumtemperatur häufig festes Kokosfett; Tobias Rostock Kokosprodukt genaue flüssige feste frische Form; Kokoszutat / Speiseöl; Das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_PRODUCTS"	"Kokoszutat"	"APPLICABLE"	"Offene Familie für Kokosfrucht, Kokoswasser, daraus gewonnene Emulsionen, Fett und weitere verarbeitete Kokosprodukte."	"GENERAL_LOCAL"	"Beim Einkauf von „Kokoszutat“ nutzt Tobias das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Die Beschaffung von „Kokoszutat“ über das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock, wobei folgende Abgrenzung gilt: „Offene Familie für Kokosfrucht, Kokoswasser, daraus gewonnene Emulsionen, Fett und weitere verarbeitete Kokosprodukte.“"	"OPTIONAL"	"Kokoszutat Offene Familie für Kokosfrucht, Kokoswasser, daraus gewonnene Emulsionen, Fett…; Tobias Rostock Kokosprodukt genaue flüssige feste frische Form; Kokosprodukte; Das international ausgerichtete Kochzutatenregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_VINEGAR"	"Kokosessig"	"APPLICABLE"	"Offene Kokosessigfamilie für natürlich fermentierten Essig auf Kokoswasser- und/oder Kokospalmensaftbasis. Nicht gewöhnlicher Branntweinessig mit Kokosaroma."	"SPECIALTY_BROAD"	"Tobias prüft „Kokosessig“ in Rostock über Asia4Friends – Saucen und AsiaFoodland – Saucen und Pasten, wobei die Evidenz eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand ausweist."	"SPECIALTY"	"Über Asia4Friends – Saucen und AsiaFoodland – Saucen und Pasten (Evidenzstand: eine vor dem Einkauf erneut zu prüfende Verfügbarkeit und Standardversand) prüft Tobias in Rostock „Kokosessig“, wobei folgende Abgrenzung gilt: „Offene Kokosessigfamilie für natürlich fermentierten Essig auf Kokoswasser- und/oder Kokospalmensaftbasis. Nicht gewöhnlicher Branntweinessig mit Kokosaroma.“"	"REQUIRED"	"Kokosessig Offene Kokosessigfamilie für natürlich fermentierten Essig auf Kokoswasser-…; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Kokoszutat / Essig; Asia4Friends – Saucen | AsiaFoodland – Saucen und Pasten; mehrere unabhängige Fachhändler Marktbreite; die exakt festgelegte Darreichung"	"AV2N-A-0049|AV2N-A-0050"	"TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"COCONUT_WATER"	"Kokoswasser"	"APPLICABLE"	"Klare Flüssigkeit aus dem Inneren junger Kokosnüsse; nicht Kokosmilch oder gesüßter Kokosdrink."	"GENERAL_LOCAL"	"Tobias prüft „Kokoswasser“ in Rostock über Saft-, Wasser- oder internationales Getränkeregal gewöhnlicher großer Rostocker Supermärkte."	"EASY"	"Über Saft-, Wasser- oder internationales Getränkeregal gewöhnlicher großer Rostocker Supermärkte prüft Tobias in Rostock „Kokoswasser“, wobei folgende Abgrenzung gilt: „Klare Flüssigkeit aus dem Inneren junger Kokosnüsse; nicht Kokosmilch oder gesüßter Kokosdrink.“"	"OPTIONAL"	"Kokoswasser Klare Flüssigkeit aus dem Inneren junger Kokosnüsse; Tobias Rostock Kokoswasser klare Flüssigkeit Getränkeregal Saft Wasser; Kokoszutat; Saft-, Wasser- oder internationales Getränkeregal gewöhnlicher großer Rostocker Supermärkte; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"COD"	"Kabeljau"	"APPLICABLE"	"Kabeljau als mildes, blättriges Weißfischfleisch; frisch oder tiefgekühlt, nicht gesalzen und getrocknet."	"GENERAL_LOCAL"	"Tobias prüft „Kabeljau“ in Rostock über die Fischkühlung, Tiefkühltruhe oder Fischtheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über die Fischkühlung, Tiefkühltruhe oder Fischtheke eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Kabeljau“, wobei folgende Abgrenzung gilt: „Kabeljau als mildes, blättriges Weißfischfleisch; frisch oder tiefgekühlt, nicht gesalzen und getrocknet.“"	"OPTIONAL"	"Kabeljau Kabeljau als mildes, blättriges Weißfischfleisch; Tobias Rostock Fisch Seafood Frische TK genauer Zuschnitt; weißfleischiger Fisch; Die Fischkühlung, Tiefkühltruhe oder Fischtheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die zugelassene Frisch- oder Tiefkühlform"	""	"TOBIAS_ROSTOCK_PROFILE|FORM_SENSITIVE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COFFEE"	"Kaffee"	"APPLICABLE"	"Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat."	"GENERAL_LOCAL"	"Tobias prüft „Kaffee“ in Rostock über das Kaffee- oder Teeregal eines gewöhnlichen großen Rostocker Supermarkts, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und eine lokale Standortprüfung ausweist."	"EASY"	"Über das Kaffee- oder Teeregal eines gewöhnlichen großen Rostocker Supermarkts (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und eine lokale Standortprüfung) prüft Tobias in Rostock „Kaffee“, wobei folgende Abgrenzung gilt: „Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen als bitter-röstige Kochzutat.“"	"OPTIONAL"	"Kaffee Gebrühter Kaffee oder gemahlene beziehungsweise ganze geröstete Kaffeebohnen…; Tobias Rostock Kaffee Tee genaue Röstung Sorte Form; Kaffee und Tee; Das Kaffee- oder Teeregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die gemahlene oder pulverisierte Form"	"AV2E-008"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
"COGNAC"	"Cognac"	"APPLICABLE"	"Geschützter französischer Weinbrand aus Cognac mit charakteristisch gereiftem Aroma; nicht beliebiger Brandy oder Weinbrand."	"GENERAL_BROAD"	"Geografisch echter Cognac im allgemeinen Spirituosenversand; Conalco listet Landy Cognac XO No. 1 lagernd und deutschlandweit lieferbar."	"PLANNED"	"Für Tobias ist gereifter Cognac über die konkrete Landy-XO-Seite planbar; ein jederzeitiger Rostocker Regalzugriff wird daraus nicht abgeleitet."	"REQUIRED"	"Landy Cognac XO No. 1 Conalco lagernd Deutschland Rostock"	"AV2N-A-0051"	"TOBIAS_ROSTOCK_PROFILE|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"COM_ME"	"Mẻ oder Cơm mẻ"	"APPLICABLE"	"Milchsauer fermentierte vietnamesische Reiswürze mit breiig-cremiger Konsistenz und ausgeprägter, komplexer Säure. Als Säuerungs- und Würzmittel gemeint; nicht Reisessig, Reiswein oder fermentierter süßer Reis."	"NO_REAL_ROUTE"	"Tobias prüft „Mẻ oder Cơm mẻ“ in Rostock über deutsche und europäische Endkundenanbieter mit formgenauer Ware, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Importbeschränkungen ausweist."	"UNAVAILABLE"	"Über deutsche und europäische Endkundenanbieter mit formgenauer Ware (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und Importbeschränkungen) prüft Tobias in Rostock „Mẻ oder Cơm mẻ“, wobei folgende Abgrenzung gilt: „Milchsauer fermentierte vietnamesische Reiswürze mit breiig-cremiger Konsistenz und ausgeprägter, komplexer Säure. Als Säuerungs- und Würzmittel gemeint; nicht Reisessig, Reiswein oder fermentierter süßer Reis.“"	"REQUIRED"	"Mẻ oder Cơm mẻ Milchsauer fermentierte vietnamesische Reiswürze mit breiig-cremiger…; Tobias Rostock Würzsauce Paste Essig exakte Sorte; fermentierte Würzzutat / fertige Sauce oder Würzpaste; deutsche und EU-Endkundenwege exakte Ware; Negativsuche keine Ersatzware; die exakt festgelegte Darreichung"	"AV2E-093"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|NEGATIVE_ROUTE_SEARCH|RESEARCH_REQUIRED|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
"CONDENSED_MILK"	"gezuckerte Kondensmilch"	"APPLICABLE"	"Stark eingedickte und gezuckerte Kuhmilch mit sirupartiger Konsistenz; nicht ungesüßte Kondensmilch."	"GENERAL_LOCAL"	"Die Beschaffung von „gezuckerte Kondensmilch“ erfolgt in Rostock über die Molkereikühlung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Für „gezuckerte Kondensmilch“ kontrolliert Tobias den Rostocker Bezug über die Molkereikühlung eines gewöhnlichen großen Rostocker Supermarkts, wobei folgende Abgrenzung gilt: „Stark eingedickte und gezuckerte Kuhmilch mit sirupartiger Konsistenz; nicht ungesüßte Kondensmilch.“"	"OPTIONAL"	"gezuckerte Kondensmilch Stark eingedickte und gezuckerte Kuhmilch mit sirupartiger Konsistenz; Tobias Rostock Milchprodukt genaue Sorte Fettstufe; Milchprodukte / Süßungsmittel; Die Molkereikühlung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise gekühlte oder tierische Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"CONFECTIONERY"	"Süßware"	"NOT_APPLICABLE_STRUCTURE"	""	""	""	""	""	""	""	""	""	"APPROVED_NOT_APPLICABLE"
"COOKED_HAM"	"Kochschinken"	"APPLICABLE"	"Gepökelter und gegarter Schinken mit saftiger Textur; nicht luftgetrockneter Rohschinken."	"GENERAL_LOCAL"	"Der konkrete Bezug von „Kochschinken“ läuft über die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Beim Rostocker Einkauf setzt Tobias für „Kochschinken“ auf die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts mit diesem inhaltlichen Maßstab: „Gepökelter und gegarter Schinken mit saftiger Textur; nicht luftgetrockneter Rohschinken.“"	"OPTIONAL"	"Kochschinken Gepökelter und gegarter Schinken mit saftiger Textur; Tobias Rostock Fleisch Wurst exakte Tierart Zuschnitt; Schinken; Die Fleischkühlung oder Bedientheke eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die präzise tierische Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"COOKING_ALCOHOL"	"Kochalkohol"	"APPLICABLE"	"Offene Vorgabe für alkoholische Getränke, deren Aroma beim Kochen genutzt wird; Bier, Wein und Spirituosen sind mögliche Wege."	"GENERAL_LOCAL"	"Für „Kochalkohol“ führt der Rostocker Marktweg über das Spirituosen- oder Weinregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über das Spirituosen- oder Weinregal eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Kochalkohol“, wobei folgende Abgrenzung gilt: „Offene Vorgabe für alkoholische Getränke, deren Aroma beim Kochen genutzt wird; Bier, Wein und Spirituosen sind mögliche Wege.“"	"OPTIONAL"	"Kochalkohol Offene Vorgabe für alkoholische Getränke, deren Aroma beim Kochen genutzt wird; Tobias Rostock Getränkehandel Kochalkohol genaue Sorte; Kochalkohol und Spirituosen; Das Spirituosen- oder Weinregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
