"concept_code"	"display_name"	"previous_cooking_novelty"	"proposed_cooking_novelty"	"delta"	"absolute_delta"	"novelty_rationale"	"review_flags"
"HARZER_CHEESE"	"Harzer Käse"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"HEMP_SEEDS"	"Hanfsamen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"HERBES_DE_PROVENCE"	"Kräuter der Provence"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"HERRING"	"Hering"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"HERVE_CHEESE"	"Herve-Käse"	"4"	"2"	"-2"	"2"	"Trotz intensiver Regionalität bleiben Schmelzen, Überbacken, Sauce und kalte Käserolle vertraut."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"HIJIKI"	"Hijiki"	"4"	"3"	"-1"	"1"	"In japanischen Beilagen konventionell, gemeinsam aber durch Form und Meeresaroma klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"HOLY_BASIL"	"Krapao"	"4"	"3"	"-1"	"1"	"In thailändischen Gerichten konventionelles Würzkraut, dessen Aroma die Richtung deutlich festlegt."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"HONEYDEW_MELON"	"Honigmelone"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"HORSERADISH"	"Meerrettich"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"IBERICO_HAM"	"Jamón ibérico"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"INVERTEBRATES"	"wirbellose Tiere"	"1"	"2"	"1"	"1"	"Die sehr breite offene Familie lässt vertraute Muschel- und Krebstierwege zu, obwohl einzelne Konkretisierungen deutlich ungewöhnlicher sein können."	"BROAD_CONCEPT|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"JALAPENO"	"Jalapeño"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"JENEVER"	"Jenever"	"3"	"4"	"1"	"1"	"Die Spirituose wird überwiegend getrunken; als erkennbare Kochzutat sind ihre Wacholder- und Getreiderollen sehr eng."	"LEVEL_4|CHANGED_FROM_BASELINE"
"JERK_SEASONING"	"Jerk-Gewürzmischung"	"4"	"2"	"-2"	"2"	"Die Gewürzmischung besitzt klare und vielseitige Marinaden-, Grill- und Schmorrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"JERUSALEM_ARTICHOKE"	"Topinambur"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"KAFFIR_LIME_LEAVES"	"Makrut-Limettenblätter"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"KASHMIRI_CHILI_POWDER"	"Kashmiri-Chilipulver"	"4"	"2"	"-2"	"2"	"Es erfüllt die vertraute Rolle eines fruchtigen Chilipulvers; der Sortenname oder Bezugsweg erhöht Novelty nicht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"KIMCHI"	"Kimchi"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"KIWI"	"Kiwi"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"KLIPPFISH"	"Klippfisch"	"4"	"3"	"-1"	"1"	"Als gesalzener Trockenfisch in mehreren europäischen Küchen konventionell, gemeinsam aber klar kontextgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"KOLACHE"	"Kolatschen"	"3"	"4"	"1"	"1"	"Das bereits gefüllte Gebäck ist fast ein fertiges Gericht; eine neue erkennbare Rolle muss stark darum konstruiert werden."	"LEVEL_4|CHANGED_FROM_BASELINE"
"KOMBU"	"Kombu"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"LA_LOT_LEAVES"	"Lá-lốt-Blätter"	"5"	"3"	"-2"	"2"	"In vietnamesischen Grill- und Wickelgerichten konventionell, außerhalb davon stark technik- und richtungsgebunden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"LAKSA_PASTE"	"Laksa-Paste"	"4"	"3"	"-1"	"1"	"Die fertige Paste hat eine klare konventionelle Laksa-Rolle, legt das Gericht aber sehr stark auf diese Familie fest."	"CHANGED_FROM_BASELINE"
"LAMBIC"	"Lambic"	"3"	"4"	"1"	"1"	"Der spezielle Bierstil wird überwiegend getrunken; seine saure, malzige Kochrolle ist eng und stark prägend."	"LEVEL_4|CHANGED_FROM_BASELINE"
"LAND_SNAILS"	"Landschnecken"	"4"	"3"	"-1"	"1"	"Die offene Familie besitzt klassische Schneckengerichte, bleibt als Pflichtvorgabe aber deutlich speziell."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"LARD"	"Schweineschmalz"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"LEBERKAESE"	"Leberkäse"	"2"	"3"	"1"	"1"	"Als fertiges regionales Fleischprodukt konventionell, als verpflichtende Gerichtskomponente aber deutlich enger als rohes Fleisch."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"LIEGE_WAFFLE"	"Lütticher Waffel"	"2"	"4"	"2"	"2"	"Die fertige Zuckerwaffel ist normalerweise Gebäck; ihre erkennbare Integration in ein Gericht verlangt eine konstruierte Rolle."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"LIQUORICE"	"Lakritz"	"3"	"5"	"2"	"2"	"Lakritz ist überwiegend Süßware; eine sinnvolle erkennbare Kochrolle ist ausgesprochen nischig und konstruktionsprägend."	"APPROVED_ANCHOR|LEVEL_5|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"LIVER_PATE"	"Leberpastete"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"LOBSTER"	"Hummer"	"5"	"2"	"-3"	"3"	"Hummer hat mehrere klassische Gar-, Suppen-, Pasta- und Saucenrollen; Luxus und Beschaffung sind keine Novelty-Signale."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"LONGGANISA"	"Longganisa"	"4"	"3"	"-1"	"1"	"Die philippinische Wurstfamilie hat klare konventionelle Rollen, prägt das Gericht gemeinsam aber deutlich."	"APPROVED_ANCHOR|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"LOTUS_ROOT"	"Lotuswurzel"	"4"	"2"	"-2"	"2"	"Lotuswurzel besitzt mehrere etablierte Pfannen-, Suppen-, Schmor- und Pickle-Rollen im gemeinsamen Kochhorizont."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"LOTUS_SEEDS"	"Lotussamen"	"4"	"3"	"-1"	"1"	"In ost- und südostasiatischen Suppen, Reisgerichten und Süßspeisen etabliert, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"LOVAGE"	"Liebstöckel"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"LUTEFISK"	"Lutefisk"	"5"	"4"	"-1"	"1"	"Das laugenbehandelte Fischprodukt besitzt eine enge traditionelle Gerichtsfamilie und ist als Pflichtkomponente ein deutlicher Twist."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"MACAPUNO"	"Macapuno"	"5"	"3"	"-2"	"2"	"In philippinischen Süßspeisen konventionell, außerhalb dieser Rollen aber deutlich kontextgebunden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MAITAKE"	"Maitake"	"4"	"2"	"-2"	"2"	"Maitake lässt sich in vertrauten Pilzrollen braten, rösten, schmoren oder in Brühen einsetzen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MALT_VINEGAR"	"Malzessig"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MAM_NEM"	"Mắm nêm"	"5"	"3"	"-2"	"2"	"In vietnamesischen Dips und Würzrollen konventionell, gemeinsam aber klar kontextgebunden und intensiv."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MAM_RUOC"	"Mắm ruốc"	"5"	"3"	"-2"	"2"	"In vietnamesischen Gerichten konventionelle Garnelenwürze, gemeinsam aber klar kontextgebunden und intensiv."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MAM_TOM"	"Mắm tôm"	"5"	"3"	"-2"	"2"	"In vietnamesischen Dips und Gerichten konventionelle Garnelenwürze, gemeinsam aber klar kontextgebunden und intensiv."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MANGO"	"Mango"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MAPLE_SYRUP"	"Ahornsirup"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"MARZIPAN"	"Marzipan"	"2"	"3"	"1"	"1"	"Als Back- und Füllmasse etabliert, als erkennbare Pflichtzutat aber klar auf süße oder kontrastierende Rollen begrenzt."	"BOUNDARY_3_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"MASA_HARINA"	"Masa Harina"	"4"	"2"	"-2"	"2"	"Nixtamalisiertes Maismehl hat klare, etablierte Teigrollen; die Zutat selbst verlangt keine experimentelle Konstruktion."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MEAT_ASPIC"	"Fleischsülze"	"3"	"4"	"1"	"1"	"Die fertige kalte Sülze hat nur wenige naheliegende Rollen; eine neue erkennbare Gerichtsintegration ist stark konstruiert."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"MELONS"	"Melone"	"1"	"2"	"1"	"1"	"Die offene Melonenwahl besitzt mehrere vertraute kalte, süße und salzige Anwendungen."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"MERGUEZ"	"Merguez"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MILK_CHOCOLATE"	"Milchschokolade"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"MILKFISH"	"Milchfisch oder Bangus"	"4"	"2"	"-2"	"2"	"Bangus folgt vertrauten Fischrollen wie Braten, Grillen, Säuern und Schmoren; die Art ist nicht selbst ungewöhnlich zu verwenden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MOLASSES"	"Melasse"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MOLE_PASTE"	"Mole-Paste"	"5"	"3"	"-2"	"2"	"In mexikanischen Mole-Saucen konventionell, als konzentrierte Pflichtpaste aber stark richtungsgebend."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MONKFISH"	"Seeteufel"	"4"	"2"	"-2"	"2"	"Seeteufel ist ein klassischer festfleischiger Fisch für Pfanne, Grill, Suppe und Sauce."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MOOSE"	"Elchfleisch"	"4"	"3"	"-1"	"1"	"Als nordisches Wildfleisch konventionell, im gemeinsamen Alltag aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"MORCILLA"	"Morcilla"	"4"	"3"	"-1"	"1"	"Als spanische Blutwurst konventionell, gemeinsam aber durch Blut, Würzung und fertige Form deutlich richtungsgebend."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"MOREL"	"Morcheln"	"5"	"2"	"-3"	"3"	"Morcheln besitzen klassische Pilzrollen in Rahmsaucen, Ragouts, Pasta und Füllungen; Seltenheit bleibt außen vor."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MORINGA_LEAVES"	"Moringablätter oder Malunggay"	"4"	"3"	"-1"	"1"	"In philippinischen Suppen und Gemüsegerichten konventionell, gemeinsam aber klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"MSG"	"Mononatriumglutamat"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MULBERRY"	"Maulbeeren"	"4"	"2"	"-2"	"2"	"Maulbeeren folgen vertrauten Beerenrollen in Kompott, Sauce, Backwerk und Salat."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"MUOI_TOM"	"Muối tôm"	"4"	"3"	"-1"	"1"	"Als vietnamesisches Dip- und Snackgewürz konventionell, gemeinsam aber durch Garnelen-Chili-Salz klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"MUSHROOM_STOCK"	"Pilzfond"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MUSTARD_SEED"	"Senfsaat"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"MYCOPROTEIN"	"Mykoprotein"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"NATTO"	"Nattō"	"5"	"4"	"-1"	"1"	"Die klebrige fermentierte Sojabohne hat nur wenige naheliegende traditionelle Rollen und ist ein deutlicher Twist."	"APPROVED_ANCHOR|LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"NDUJA"	"’Nduja"	"4"	"2"	"-2"	"2"	"’Nduja hat etablierte Rollen als streichfähige Würzwurst in Sauce, Füllung, Belag und Schmoransatz."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"NECTARINE"	"Nektarine"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"NIPA_PALM_VINEGAR"	"Nipapalmenessig"	"5"	"3"	"-2"	"2"	"In philippinischen Säuerungs- und Würzrollen konventionell, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"NORA_PEPPER"	"Ñora-Paprika"	"4"	"3"	"-1"	"1"	"In spanischen Reis- und Saucengerichten als getrocknete Paprika konventionell, außerhalb davon klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"NORI"	"Nori"	"3"	"1"	"-2"	"2"	"Nori ist im gemeinsamen ostasiatischen Kochhorizont eine selbstverständliche Hülle, Einlage und Würzkomponente."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"NORTHERN_PRAWN"	"Eismeergarnele"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"NORWEGIAN_WAFFLE"	"Norwegische Waffel"	"2"	"4"	"2"	"2"	"Die fertige weiche Waffel ist normalerweise Gebäck; ihre erkennbare Integration in ein Gericht verlangt eine konstruierte Rolle."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"OAT_DRINK"	"Haferdrink"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"OCTOPUS"	"Oktopus"	"4"	"2"	"-2"	"2"	"Oktopus besitzt mehrere klassische Grill-, Salat-, Schmor- und Reisrollen; die Gartechnik ist etabliert."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"OILY_FISH"	"fettreicher Fisch"	"2"	"1"	"-1"	"1"	"Die offene Familie lässt zahlreiche vertraute Fischarten und Zubereitungen zu."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"OKRA"	"Okra"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"OLOMOUC_TVARUZKY"	"Olmützer Quargel"	"4"	"3"	"-1"	"1"	"Als tschechischer Reifkäse konventionell, gemeinsam aber durch das intensive Aroma und regionale Profil klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"OOLONG_TEA"	"Oolongtee"	"2"	"4"	"2"	"2"	"Oolong wird überwiegend getrunken; seine erkennbare Kochrolle ist auf wenige Aufguss-, Räucher- und Dessertanwendungen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"ORZO"	"Kritharaki oder Orzo"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"OXTAIL"	"Ochsenschwanz"	"4"	"2"	"-2"	"2"	"Ochsenschwanz besitzt eine klassische Brühen- und Schmorrolle; der Zuschnitt macht die Verwendung nicht experimentell."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"OYSTER"	"Austern"	"5"	"2"	"-3"	"3"	"Austern haben klare rohe, gratinierte, gebratene und Saucenrollen; Luxus und Beschaffung bleiben getrennt."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PAK_CHOI"	"Pak Choi"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PANCETTA"	"Pancetta"	"3"	"1"	"-2"	"2"	"Pancetta ist eine breit etablierte Fett-, Würz- und Fleischkomponente in Pasta, Gemüse und Schmoransätzen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PANDAN_LEAVES"	"Pandanblätter"	"4"	"3"	"-1"	"1"	"In südostasiatischen Reis- und Süßspeisen konventionell, außerhalb davon klar aromatisch und technikgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"PARSNIP"	"Pastinake"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PASSION_FRUIT"	"Passionsfrucht"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PASTIS"	"Pastis"	"3"	"4"	"1"	"1"	"Die anisbetonte Spirituose wird überwiegend getrunken; als Kochzutat sind die etablierten Saucen- und Meeresfrüchterollen eng."	"LEVEL_4|CHANGED_FROM_BASELINE"
"PEA_EGGPLANT"	"Erbsenaubergine"	"5"	"3"	"-2"	"2"	"In thailändischen Currys konventionell, durch Bitterkeit und Form aber gemeinsam klar kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PEACH"	"Pfirsich"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"PEARL_BARLEY"	"Graupen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"PERILLA_LEAVES"	"Perillablätter"	"4"	"3"	"-1"	"1"	"In koreanischen und japanischen Wickel-, Salat- und Würzrollen konventionell, gemeinsam aber klar kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"PICKLED_MUSHROOMS"	"eingelegte Pilze"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PICKLED_SAUSAGE"	"eingelegte Wurst"	"3"	"4"	"1"	"1"	"Die essiggereifte fertige Wurst hat eine enge kalte Snack- und Brotzeitrolle und ist als Pflichtzutat ein deutlicher Twist."	"APPROVED_ANCHOR|LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"PIKEPERCH"	"Zander"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PILSNER_LAGER"	"Pilsner"	"1"	"4"	"3"	"3"	"Pilsner wird überwiegend getrunken; als verpflichtende Kochzutat sind die hopfenbetonten Anwendungen eng."	"LEVEL_4|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PIMENT_D_ESPELETTE"	"Piment d’Espelette"	"4"	"2"	"-2"	"2"	"Das Produkt erfüllt eine vertraute Rolle als mild-fruchtiges Chilipulver; die Herkunftsbindung erhöht Novelty nicht."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PINE_NUT"	"Pinienkerne"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PINNEKJOTT"	"Pinnekjøtt"	"5"	"3"	"-2"	"2"	"Als norwegisches Festtagsfleisch konventionell, gemeinsam aber durch Pökelung und Trocknung stark kontextgebunden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PIQUILLO_PEPPER"	"Piquillo-Paprika"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PLA_RA"	"Pla Ra"	"5"	"3"	"-2"	"2"	"In der Isan-Küche konventionelle fermentierte Fischwürze, gemeinsam aber klar kontextgebunden und intensiv."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PLAICE"	"Scholle"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PLUM"	"Pflaume"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"POBLANO"	"Poblano"	"4"	"2"	"-2"	"2"	"Poblano besitzt etablierte Rollen zum Füllen, Rösten, Braten und für Saucen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"POLENTA"	"Polenta"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PONZU"	"Ponzu"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_BELLY"	"Schweinebauch"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_CHEEK"	"Schweinebäckchen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_LIVER"	"Schweineleber"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_RIBS"	"Schweinerippchen"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_STOCK"	"Schweinefond"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PORK_TONGUE"	"Schweinezunge"	"5"	"3"	"-2"	"2"	"Klassische Innereienküche bietet klare Wege, bleibt im gemeinsamen Alltag aber stark kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"PORT_WINE"	"Portwein"	"2"	"3"	"1"	"1"	"Als Kochwein in Saucen, Reduktionen und Desserts klassisch, durch Süße und Aroma aber stark richtungsgebend."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"
"PRESERVED_LEMON"	"Salzzitrone"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PRETZEL"	"Laugenbrezel"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"PROSCIUTTO"	"Prosciutto"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"PRUNE"	"Trockenpflaumen"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"PURSLANE"	"Portulak"	"4"	"2"	"-2"	"2"	"Portulak folgt vertrauten Blattgemüse- und Kräuterrollen in Salat, Suppe und kurzer Garung."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"QUAIL"	"Wachtel"	"4"	"2"	"-2"	"2"	"Wachtel ist kleines Geflügel mit klassischen Brat-, Grill- und Schmorwegen; die Tierart allein erhöht Novelty nicht stark."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"QUAIL_EGG"	"Wachtelei"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RABBIT"	"Kaninchen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RADISH"	"Rettich"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RAKFISK"	"Rakfisk"	"5"	"4"	"-1"	"1"	"Der verzehrfertige fermentierte Fisch besitzt eine enge norwegische Tradition und ist sensorisch wie technisch ein deutlicher Twist."	"LEVEL_4|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"RAMEN_NOODLES"	"Ramennudeln"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RAS_EL_HANOUT"	"Ras el-Hanout"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RAZOR_CLAMS"	"Schwertmuscheln"	"5"	"2"	"-3"	"3"	"Schwertmuscheln folgen etablierten Muschelrollen für Grill, Pfanne, Pasta und Reis."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"RED_WINE"	"Rotwein"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"REINDEER"	"Rentierfleisch"	"4"	"3"	"-1"	"1"	"Als nordisches Wildfleisch konventionell, im gemeinsamen Alltag aber deutlich kontextgebunden."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE"
"RENDANG_PASTE"	"Rendang-Paste"	"4"	"3"	"-1"	"1"	"Die fertige Paste hat eine klare konventionelle Rendang-Rolle, legt das Gericht aber sehr stark auf diese Familie fest."	"CHANGED_FROM_BASELINE"
"RICE_CAKES"	"koreanische Reiskuchen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RICE_NOODLES"	"Reisnudeln"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RICE_PADDY_HERB"	"Reisfeldkraut"	"5"	"3"	"-2"	"2"	"In vietnamesischen sauren Suppen konventionell, außerhalb davon sehr klar aromatisch und kontextgebunden."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"RICE_VINEGAR"	"Reisessig"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ROASTED_RED_PEPPER"	"geröstete Paprika"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ROMANESCO"	"Romanesco"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ROMESCO"	"Romesco-Sauce"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"RUM"	"Rum"	"2"	"3"	"1"	"1"	"In Desserts, Marinaden und Saucen etabliert, als konkrete Spirituose aber deutlich kontextgebunden."	"BOUNDARY_3_4|CHANGED_FROM_BASELINE"
"SAFFRON"	"Safran"	"5"	"3"	"-2"	"2"	"In bestimmten Reis-, Fisch- und Schmorgerichten klassisch, zugleich stark richtungsgebend."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SAGE"	"Salbei"	"2"	"1"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"SAI_UA"	"Sai Ua"	"4"	"3"	"-1"	"1"	"Als nordthailändische Kräuterwurst konventionell, gemeinsam aber durch die fertige Form und Aromatik deutlich kontextgebunden."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"SALMON_ROE"	"Lachsrogen"	"4"	"2"	"-2"	"2"	"Lachsrogen besitzt vertraute Rollen als Topping, Einlage und salzige Akzentkomponente."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SALTED_DUCK_EGG"	"gesalzenes Entenei"	"4"	"3"	"-1"	"1"	"In philippinischen und chinesischen Gerichten konventionell, gemeinsam aber durch Salzgrad und Form klar kontextgebunden."	"CHANGED_FROM_BASELINE"
"SALTY_LIQUORICE"	"Salzlakritz"	"4"	"5"	"1"	"1"	"Salzlakritz ist nahezu ausschließlich Süßware; eine sinnvolle erkennbare Kochrolle ist ausgesprochen nischig und konstruktionsprägend."	"PARENT_CHILD_OUTLIER|LEVEL_5|CHANGED_FROM_BASELINE"
"SAMBAL_BRANDAL"	"Sambal Brandal"	"4"	"2"	"-2"	"2"	"Das gebratene Sambal erfüllt eine vertraute Rolle als Würzpaste, Dip und Saucenbasis."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
"SAUCES_AND_PASTES"	"Sauce, Würzmittel oder Paste"	"1"	"2"	"1"	"1"	"Die breite offene Vorgabe erlaubt viele vertraute Würzwege, gibt dem Gericht aber stets ein prägendes Geschmacksprofil."	"BROAD_CONCEPT|CHANGED_FROM_BASELINE"
"SAUERKRAUT"	"Sauerkraut"	"1"	"2"	"1"	"1"	""	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"
"SCALLOPS"	"Jakobsmuscheln"	"4"	"2"	"-2"	"2"	"Jakobsmuscheln besitzen klassische Kurzbrat-, Grill-, Gratinier- und Rohrollen."	"CHANGED_FROM_BASELINE|LARGE_CHANGE"
